"","page_number","word","sent_count","sentiment","category"
"1",110,"Debt",29,"Negative","Sentiment"
"2",110,"Debt",29,"Sadness","Emotion"
"3",24,"Debt",28,"Negative","Sentiment"
"4",24,"Debt",28,"Sadness","Emotion"
"5",506,"Debt",26,"Negative","Sentiment"
"6",506,"Debt",26,"Sadness","Emotion"
"7",505,"Debt",24,"Negative","Sentiment"
"8",505,"Debt",24,"Sadness","Emotion"
"9",46,"Budget",21,"Trust","Emotion"
"10",466,"Debt",21,"Negative","Sentiment"
"11",466,"Debt",21,"Sadness","Emotion"
"12",71,"Choice",20,"Positive","Sentiment"
"13",6,"Budget",19,"Trust","Emotion"
"14",6,"County",18,"Trust","Emotion"
"15",504,"County",18,"Trust","Emotion"
"16",507,"County",18,"Trust","Emotion"
"17",41,"County",17,"Trust","Emotion"
"18",507,"Debt",17,"Negative","Sentiment"
"19",507,"Debt",17,"Sadness","Emotion"
"20",7,"County",16,"Trust","Emotion"
"21",52,"County",16,"Trust","Emotion"
"22",223,"Customer",16,"Positive","Sentiment"
"23",508,"Debt",16,"Negative","Sentiment"
"24",508,"Debt",16,"Sadness","Emotion"
"25",510,"County",16,"Trust","Emotion"
"26",44,"Budget",15,"Trust","Emotion"
"27",96,"County",15,"Trust","Emotion"
"28",98,"Tax",15,"Negative","Sentiment"
"29",98,"Tax",15,"Sadness","Emotion"
"30",283,"Tax",15,"Negative","Sentiment"
"31",283,"Tax",15,"Sadness","Emotion"
"32",505,"County",15,"Trust","Emotion"
"33",511,"County",15,"Trust","Emotion"
"34",516,"Balance",15,"Positive","Sentiment"
"35",521,"Vaccine",15,"Positive","Sentiment"
"36",465,"Debt",14,"Negative","Sentiment"
"37",465,"Debt",14,"Sadness","Emotion"
"38",503,"Debt",14,"Negative","Sentiment"
"39",503,"Debt",14,"Sadness","Emotion"
"40",31,"Budget",13,"Trust","Emotion"
"41",83,"Budget",13,"Trust","Emotion"
"42",117,"County",13,"Trust","Emotion"
"43",464,"Maintenance",13,"Trust","Emotion"
"44",509,"County",13,"Trust","Emotion"
"45",532,"County",13,"Trust","Emotion"
"46",7,"Budget",12,"Trust","Emotion"
"47",84,"Budget",12,"Trust","Emotion"
"48",86,"Specialist",12,"Trust","Emotion"
"49",102,"Fire",12,"Fear","Emotion"
"50",109,"County",12,"Trust","Emotion"
"51",474,"School",12,"Trust","Emotion"
"52",478,"Library",12,"Positive","Sentiment"
"53",506,"County",12,"Trust","Emotion"
"54",508,"County",12,"Trust","Emotion"
"55",512,"County",12,"Trust","Emotion"
"56",513,"Risk",12,"Anticipation","Emotion"
"57",513,"Risk",12,"Fear","Emotion"
"58",513,"Risk",12,"Negative","Sentiment"
"59",9,"Budget",11,"Trust","Emotion"
"60",9,"County",11,"Trust","Emotion"
"61",105,"Tax",11,"Negative","Sentiment"
"62",105,"Tax",11,"Sadness","Emotion"
"63",460,"County",11,"Trust","Emotion"
"64",511,"Exchange",11,"Positive","Sentiment"
"65",511,"Interest",11,"Positive","Sentiment"
"66",511,"Exchange",11,"Trust","Emotion"
"67",12,"Budget",10,"Trust","Emotion"
"68",42,"County",10,"Trust","Emotion"
"69",62,"County",10,"Trust","Emotion"
"70",120,"County",10,"Trust","Emotion"
"71",503,"Bonds",10,"Negative","Sentiment"
"72",516,"General",10,"Positive","Sentiment"
"73",516,"General",10,"Trust","Emotion"
"74",520,"Vaccine",10,"Positive","Sentiment"
"75",531,"Budget",10,"Trust","Emotion"
"76",15,"County",9,"Trust","Emotion"
"77",17,"Increase",9,"Positive","Sentiment"
"78",20,"Tax",9,"Negative","Sentiment"
"79",20,"Tax",9,"Sadness","Emotion"
"80",29,"Community",9,"Positive","Sentiment"
"81",33,"County",9,"Trust","Emotion"
"82",36,"County",9,"Trust","Emotion"
"83",52,"Budget",9,"Trust","Emotion"
"84",53,"County",9,"Trust","Emotion"
"85",55,"Budget",9,"Trust","Emotion"
"86",62,"Forecast",9,"Anticipation","Emotion"
"87",62,"Budget",9,"Trust","Emotion"
"88",62,"Forecast",9,"Trust","Emotion"
"89",63,"Balance",9,"Positive","Sentiment"
"90",85,"Analyst",9,"Anticipation","Emotion"
"91",85,"Analyst",9,"Positive","Sentiment"
"92",85,"Analyst",9,"Trust","Emotion"
"93",89,"Budget",9,"Trust","Emotion"
"94",93,"Budget",9,"Trust","Emotion"
"95",97,"Tax",9,"Negative","Sentiment"
"96",97,"Tax",9,"Sadness","Emotion"
"97",99,"Lottery",9,"Anticipation","Emotion"
"98",100,"Budget",9,"Trust","Emotion"
"99",114,"County",9,"Trust","Emotion"
"100",120,"Reserve",9,"Positive","Sentiment"
"101",338,"Library",9,"Positive","Sentiment"
"102",474,"Renovation",9,"Anticipation","Emotion"
"103",474,"Renovation",9,"Joy","Emotion"
"104",474,"Renovation",9,"Positive","Sentiment"
"105",497,"County",9,"Trust","Emotion"
"106",498,"Debt",9,"Negative","Sentiment"
"107",498,"Debt",9,"Sadness","Emotion"
"108",498,"County",9,"Trust","Emotion"
"109",509,"Debt",9,"Negative","Sentiment"
"110",509,"Debt",9,"Sadness","Emotion"
"111",512,"Agreement",9,"Positive","Sentiment"
"112",512,"Agreement",9,"Trust","Emotion"
"113",513,"Interest",9,"Positive","Sentiment"
"114",515,"Balance",9,"Positive","Sentiment"
"115",515,"General",9,"Positive","Sentiment"
"116",515,"General",9,"Trust","Emotion"
"117",533,"County",9,"Trust","Emotion"
"118",3,"County",8,"Trust","Emotion"
"119",11,"Budget",8,"Trust","Emotion"
"120",13,"Budget",8,"Trust","Emotion"
"121",14,"Budget",8,"Trust","Emotion"
"122",14,"County",8,"Trust","Emotion"
"123",16,"County",8,"Trust","Emotion"
"124",18,"Budget",8,"Trust","Emotion"
"125",19,"Budget",8,"Trust","Emotion"
"126",23,"County",8,"Trust","Emotion"
"127",25,"Maintenance",8,"Trust","Emotion"
"128",44,"Strategic",8,"Positive","Sentiment"
"129",46,"Public",8,"Anticipation","Emotion"
"130",46,"Public",8,"Positive","Sentiment"
"131",49,"County",8,"Trust","Emotion"
"132",54,"Budget",8,"Trust","Emotion"
"133",71,"Board",8,"Anticipation","Emotion"
"134",73,"County",8,"Trust","Emotion"
"135",75,"Management",8,"Positive","Sentiment"
"136",75,"Management",8,"Trust","Emotion"
"137",82,"Tax",8,"Negative","Sentiment"
"138",82,"Tax",8,"Sadness","Emotion"
"139",85,"Administrative",8,"Trust","Emotion"
"140",103,"Tax",8,"Negative","Sentiment"
"141",103,"Tax",8,"Sadness","Emotion"
"142",111,"Maintenance",8,"Trust","Emotion"
"143",118,"County",8,"Trust","Emotion"
"144",120,"Technology",8,"Positive","Sentiment"
"145",121,"Building",8,"Positive","Sentiment"
"146",153,"Community",8,"Positive","Sentiment"
"147",182,"Justice",8,"Positive","Sentiment"
"148",182,"Justice",8,"Trust","Emotion"
"149",192,"Public",8,"Anticipation","Emotion"
"150",192,"Public",8,"Positive","Sentiment"
"151",252,"Waste",8,"Disgust","Emotion"
"152",252,"Waste",8,"Negative","Sentiment"
"153",254,"Customer",8,"Positive","Sentiment"
"154",285,"Tax",8,"Negative","Sentiment"
"155",285,"Tax",8,"Sadness","Emotion"
"156",460,"Plan",8,"Anticipation","Emotion"
"157",497,"Budget",8,"Trust","Emotion"
"158",502,"County",8,"Trust","Emotion"
"159",517,"Tax",8,"Negative","Sentiment"
"160",517,"Tax",8,"Sadness","Emotion"
"161",522,"Fee",8,"Anger","Emotion"
"162",522,"Fee",8,"Negative","Sentiment"
"163",524,"Resident",8,"Positive","Sentiment"
"164",531,"County",8,"Trust","Emotion"
"165",2,"Budget",7,"Trust","Emotion"
"166",10,"Public",7,"Anticipation","Emotion"
"167",10,"Public",7,"Positive","Sentiment"
"168",10,"Budget",7,"Trust","Emotion"
"169",10,"County",7,"Trust","Emotion"
"170",12,"County",7,"Trust","Emotion"
"171",22,"Tax",7,"Negative","Sentiment"
"172",22,"Tax",7,"Sadness","Emotion"
"173",32,"County",7,"Trust","Emotion"
"174",36,"Board",7,"Anticipation","Emotion"
"175",48,"Community",7,"Positive","Sentiment"
"176",50,"Court",7,"Anger","Emotion"
"177",50,"Court",7,"Anticipation","Emotion"
"178",50,"Court",7,"Fear","Emotion"
"179",64,"Balance",7,"Positive","Sentiment"
"180",71,"County",7,"Trust","Emotion"
"181",77,"Community",7,"Positive","Sentiment"
"182",81,"Public",7,"Anticipation","Emotion"
"183",81,"Public",7,"Positive","Sentiment"
"184",88,"Administrative",7,"Trust","Emotion"
"185",90,"Budget",7,"Trust","Emotion"
"186",91,"Recreation",7,"Anticipation","Emotion"
"187",91,"Recreation",7,"Joy","Emotion"
"188",91,"Recreation",7,"Positive","Sentiment"
"189",91,"Budget",7,"Trust","Emotion"
"190",92,"Maintenance",7,"Trust","Emotion"
"191",102,"County",7,"Trust","Emotion"
"192",107,"County",7,"Trust","Emotion"
"193",115,"Budget",7,"Trust","Emotion"
"194",115,"County",7,"Trust","Emotion"
"195",119,"County",7,"Trust","Emotion"
"196",120,"Fleet",7,"Positive","Sentiment"
