,page_number,word,organization
0,1,approved,Durham County
1,1,budget,Durham County
2,1,fy,Durham County
3,2,durham,Durham County
4,2,county,Durham County
5,2,north,Durham County
6,2,carolina,Durham County
7,2,fy,Durham County
8,2,approved,Durham County
9,2,budget,Durham County
10,2,board,Durham County
11,2,of,Durham County
12,2,county,Durham County
13,2,commissioners,Durham County
14,2,wendy,Durham County
15,2,jacobs,Durham County
16,2,chair,Durham County
17,2,james,Durham County
18,2,hill,Durham County
19,2,vicechair,Durham County
20,2,heidi,Durham County
21,2,carter,Durham County
22,2,brenda,Durham County
23,2,howerton,Durham County
24,2,ellen,Durham County
25,2,w,Durham County
26,2,reckhow,Durham County
27,2,county,Durham County
28,2,officials,Durham County
29,2,budget,Durham County
30,2,and,Durham County
31,2,management,Durham County
32,2,staff,Durham County
33,2,s,Durham County
34,2,keith,Durham County
35,2,lane,Durham County
36,2,budget,Durham County
37,2,director,Durham County
38,2,wendell,Durham County
39,2,davis,Durham County
40,2,county,Durham County
41,2,manager,Durham County
42,2,drew,Durham County
43,2,cummings,Durham County
44,2,chief,Durham County
45,2,of,Durham County
46,2,staff,Durham County
47,2,david,Durham County
48,2,ades,Durham County
49,2,assistant,Durham County
50,2,budget,Durham County
51,2,director,Durham County
52,2,claudia,Durham County
53,2,hager,Durham County
54,2,general,Durham County
55,2,manager,Durham County
56,2,lowell,Durham County
57,2,siler,Durham County
58,2,county,Durham County
59,2,attorney,Durham County
60,2,kim,Durham County
61,2,connally,Durham County
62,2,sr,Durham County
63,2,budget,Durham County
64,2,analyst,Durham County
65,2,jay,Durham County
66,2,gibson,Durham County
67,2,general,Durham County
68,2,manager,Durham County
69,2,monica,Durham County
70,2,toomer,Durham County
71,2,clerk,Durham County
72,2,to,Durham County
73,2,the,Durham County
74,2,board,Durham County
75,2,josh,Durham County
76,2,edwards,Durham County
77,2,budget,Durham County
78,2,analyst,Durham County
79,2,jodi,Durham County
80,2,miller,Durham County
81,2,general,Durham County
82,2,manager,Durham County
83,2,susan,Durham County
84,2,tezai,Durham County
85,2,chief,Durham County
86,2,financial,Durham County
87,2,officer,Durham County
88,2,jonathan,Durham County
89,2,yeomans,Durham County
90,2,budget,Durham County
91,2,analyst,Durham County
92,2,gayle,Durham County
93,2,harris,Durham County
94,2,general,Durham County
95,2,manager,Durham County
96,2,matt,Durham County
97,2,hunt,Durham County
98,2,budget,Durham County
99,2,analyst,Durham County
100,2,deborah,Durham County
101,2,craigray,Durham County
102,2,general,Durham County
103,2,manager,Durham County
104,2,bethany,Durham County
105,2,shewmaker,Durham County
106,2,performance,Durham County
107,2,analyst,Durham County
108,3,citizens,Durham County
109,3,county,Durham County
110,3,bocc,Durham County
111,3,clerk,Durham County
112,3,to,Durham County
113,3,board,Durham County
114,3,attorney,Durham County
115,3,tax,Durham County
116,3,administrator,Durham County
117,3,county,Durham County
118,3,human,Durham County
119,3,manager,Durham County
120,3,internal,Durham County
121,3,resources,Durham County
122,3,auditor,Durham County
123,3,chief,Durham County
124,3,of,Durham County
125,3,staff,Durham County
126,3,gmstrategic,Durham County
127,3,mgmt,Durham County
128,3,gmenvironmental,Durham County
129,3,gmfin,Durham County
130,3,affairs,Durham County
131,3,gmpublic,Durham County
132,3,health,Durham County
133,3,gmcmty,Durham County
134,3,public,Durham County
135,3,public,Durham County
136,3,affairs,Durham County
137,3,stewardship,Durham County
138,3,process,Durham County
139,3,impvm,Durham County
140,3,cmty,Durham County
141,3,wellbeing,Durham County
142,3,safety,Durham County
143,3,special,Durham County
144,3,projects,Durham County
145,3,cmty,Durham County
