"","page_number","word","sent_count","sentiment","category"
"1",263,"Fire",34,"Fear","Emotion"
"2",264,"Fire",32,"Fear","Emotion"
"3",45,"Director",25,"Positive","Sentiment"
"4",45,"Director",25,"Trust","Emotion"
"5",58,"Debt",25,"Negative","Sentiment"
"6",58,"Debt",25,"Sadness","Emotion"
"7",59,"Debt",23,"Negative","Sentiment"
"8",59,"Debt",23,"Sadness","Emotion"
"9",441,"Fire",23,"Fear","Emotion"
"10",473,"County",23,"Trust","Emotion"
"11",79,"Balance",22,"Positive","Sentiment"
"12",114,"County",22,"Trust","Emotion"
"13",167,"Library",21,"Positive","Sentiment"
"14",465,"Debt",21,"Negative","Sentiment"
"15",465,"Debt",21,"Sadness","Emotion"
"16",48,"Budget",20,"Trust","Emotion"
"17",312,"Debt",20,"Negative","Sentiment"
"18",312,"Debt",20,"Sadness","Emotion"
"19",112,"County",19,"Trust","Emotion"
"20",348,"Debt",19,"Negative","Sentiment"
"21",348,"Debt",19,"Sadness","Emotion"
"22",427,"County",19,"Trust","Emotion"
"23",44,"Director",18,"Positive","Sentiment"
"24",44,"Director",18,"Trust","Emotion"
"25",266,"Fire",18,"Fear","Emotion"
"26",321,"Fire",18,"Fear","Emotion"
"27",322,"Fire",17,"Fear","Emotion"
"28",57,"County",16,"Trust","Emotion"
"29",86,"Budget",16,"Trust","Emotion"
"30",9,"Budget",15,"Trust","Emotion"
"31",47,"Budget",15,"Trust","Emotion"
"32",59,"County",15,"Trust","Emotion"
"33",80,"Tax",15,"Negative","Sentiment"
"34",80,"Tax",15,"Sadness","Emotion"
"35",81,"Tax",15,"Negative","Sentiment"
"36",81,"Tax",15,"Sadness","Emotion"
"37",109,"County",15,"Trust","Emotion"
"38",201,"County",15,"Trust","Emotion"
"39",305,"School",15,"Trust","Emotion"
"40",312,"County",15,"Trust","Emotion"
"41",405,"Library",15,"Positive","Sentiment"
"42",417,"County",15,"Trust","Emotion"
"43",65,"Board",14,"Anticipation","Emotion"
"44",84,"Tax",14,"Negative","Sentiment"
"45",84,"Tax",14,"Sadness","Emotion"
"46",110,"County",14,"Trust","Emotion"
"47",111,"County",14,"Trust","Emotion"
"48",264,"County",14,"Trust","Emotion"
"49",313,"Debt",14,"Negative","Sentiment"
"50",313,"Debt",14,"Sadness","Emotion"
"51",314,"Public",14,"Anticipation","Emotion"
"52",314,"Improvement",14,"Joy","Emotion"
"53",314,"Bonds",14,"Negative","Sentiment"
"54",314,"Improvement",14,"Positive","Sentiment"
"55",314,"Public",14,"Positive","Sentiment"
"56",314,"Improvement",14,"Trust","Emotion"
"57",438,"School",14,"Trust","Emotion"
"58",455,"Waste",14,"Disgust","Emotion"
"59",455,"Waste",14,"Negative","Sentiment"
"60",470,"Tax",14,"Negative","Sentiment"
"61",470,"Tax",14,"Sadness","Emotion"
"62",477,"Budget",14,"Trust","Emotion"
"63",86,"General",13,"Positive","Sentiment"
"64",86,"General",13,"Trust","Emotion"
"65",119,"Building",13,"Positive","Sentiment"
"66",140,"Time",13,"Anticipation","Emotion"
"67",217,"Child",13,"Anticipation","Emotion"
"68",217,"Child",13,"Joy","Emotion"
"69",217,"Child",13,"Positive","Sentiment"
"70",221,"Youth",13,"Anger","Emotion"
"71",221,"Youth",13,"Anticipation","Emotion"
"72",221,"Youth",13,"Fear","Emotion"
"73",221,"Youth",13,"Joy","Emotion"
"74",221,"Youth",13,"Positive","Sentiment"
"75",221,"Youth",13,"Surprise","Emotion"
"76",251,"County",13,"Trust","Emotion"
"77",287,"Detention",13,"Negative","Sentiment"
