"","page_number","word","sent_count","sentiment","category"
"1",168,"Sewer",24,"Disgust","Emotion"
"2",192,"Budget",22,"Trust","Emotion"
"3",6,"Budget",21,"Trust","Emotion"
"4",78,"Planning",19,"Anticipation","Emotion"
"5",78,"Planning",19,"Positive","Sentiment"
"6",78,"Planning",19,"Trust","Emotion"
"7",182,"Fee",18,"Anger","Emotion"
"8",182,"Fee",18,"Negative","Sentiment"
"9",172,"Fee",17,"Anger","Emotion"
"10",172,"Fee",17,"Negative","Sentiment"
"11",43,"Tax",15,"Negative","Sentiment"
"12",43,"Tax",15,"Sadness","Emotion"
"13",153,"Debt",15,"Negative","Sentiment"
"14",153,"Debt",15,"Sadness","Emotion"
"15",18,"Budget",14,"Trust","Emotion"
"16",33,"Center",14,"Positive","Sentiment"
"17",33,"Center",14,"Trust","Emotion"
"18",61,"Crime",14,"Anger","Emotion"
"19",61,"Crime",14,"Negative","Sentiment"
"20",13,"Budget",13,"Trust","Emotion"
"21",29,"Sewer",13,"Disgust","Emotion"
"22",112,"Tax",13,"Negative","Sentiment"
"23",112,"Tax",13,"Sadness","Emotion"
"24",173,"Fee",13,"Anger","Emotion"
"25",173,"Fee",13,"Negative","Sentiment"
"26",192,"Council",13,"Anticipation","Emotion"
"27",192,"Council",13,"Positive","Sentiment"
"28",192,"Council",13,"Trust","Emotion"
"29",30,"Increase",12,"Positive","Sentiment"
"30",92,"Council",12,"Anticipation","Emotion"
"31",92,"Council",12,"Positive","Sentiment"
"32",92,"Council",12,"Trust","Emotion"
"33",111,"Budget",12,"Trust","Emotion"
"34",167,"Main",12,"Positive","Sentiment"
"35",25,"Plan",11,"Anticipation","Emotion"
"36",29,"Fee",11,"Anger","Emotion"
"37",29,"Fee",11,"Negative","Sentiment"
"38",63,"Fire",11,"Fear","Emotion"
"39",192,"Plan",11,"Anticipation","Emotion"
"40",3,"Debt",10,"Negative","Sentiment"
"41",3,"Debt",10,"Sadness","Emotion"
"42",20,"Budget",10,"Trust","Emotion"
"43",26,"General",10,"Positive","Sentiment"
"44",26,"General",10,"Trust","Emotion"
"45",29,"Fixed",10,"Trust","Emotion"
"46",32,"Increase",10,"Positive","Sentiment"
"47",33,"Tax",10,"Negative","Sentiment"
"48",33,"Tax",10,"Sadness","Emotion"
"49",79,"Planning",10,"Anticipation","Emotion"
"50",79,"Planning",10,"Positive","Sentiment"
"51",79,"Planning",10,"Trust","Emotion"
"52",113,"Payment",10,"Negative","Sentiment"
"53",164,"Terminal",10,"Fear","Emotion"
"54",164,"Terminal",10,"Negative","Sentiment"
"55",164,"Terminal",10,"Sadness","Emotion"
"56",166,"Storm",10,"Anger","Emotion"
"57",166,"Storm",10,"Negative","Sentiment"
"58",172,"Regulatory",10,"Fear","Emotion"
"59",172,"Regulatory",10,"Negative","Sentiment"
"60",177,"Fee",10,"Anger","Emotion"
"61",177,"Fee",10,"Negative","Sentiment"
"62",4,"Plan",9,"Anticipation","Emotion"
"63",12,"Tax",9,"Negative","Sentiment"
"64",12,"Tax",9,"Sadness","Emotion"
"65",18,"General",9,"Positive","Sentiment"
"66",18,"General",9,"Trust","Emotion"
"67",26,"Tax",9,"Negative","Sentiment"
"68",26,"Tax",9,"Sadness","Emotion"
"69",31,"Increase",9,"Positive","Sentiment"
"70",65,"Fire",9,"Fear","Emotion"
"71",75,"Management",9,"Positive","Sentiment"
"72",75,"Management",9,"Trust","Emotion"
"73",97,"Budget",9,"Trust","Emotion"
"74",143,"Grant",9,"Anticipation","Emotion"
"75",143,"Grant",9,"Joy","Emotion"
"76",143,"Grant",9,"Positive","Sentiment"
"77",143,"Grant",9,"Trust","Emotion"
"78",148,"Increase",9,"Positive","Sentiment"
"79",173,"Regulatory",9,"Fear","Emotion"
"80",173,"Regulatory",9,"Negative","Sentiment"
"81",194,"Budget",9,"Trust","Emotion"
"82",6,"Council",8,"Anticipation","Emotion"
"83",6,"Council",8,"Positive","Sentiment"
"84",6,"Council",8,"Trust","Emotion"
"85",8,"Budget",8,"Trust","Emotion"
"86",13,"Plan",8,"Anticipation","Emotion"
"87",14,"Budget",8,"Trust","Emotion"
"88",27,"Fee",8,"Anger","Emotion"
"89",27,"Fee",8,"Negative","Sentiment"
"90",30,"Budget",8,"Trust","Emotion"
"91",35,"Tax",8,"Negative","Sentiment"
"92",35,"Tax",8,"Sadness","Emotion"
"93",36,"General",8,"Positive","Sentiment"
"94",36,"General",8,"Trust","Emotion"
"95",44,"Plan",8,"Anticipation","Emotion"
"96",48,"Fire",8,"Fear","Emotion"
"97",82,"Passenger",8,"Anticipation","Emotion"
"98",110,"Budget",8,"Trust","Emotion"
"99",112,"Payment",8,"Negative","Sentiment"
"100",120,"Tax",8,"Negative","Sentiment"
"101",120,"Tax",8,"Sadness","Emotion"
