"","page_number","word"
"1",2,"table"
"2",2,"of"
"3",2,"contents"
"4",2,"readers"
"5",2,"guide"
"6",2,"i"
"7",2,"budget"
"8",2,"process"
"9",2,"iii"
"10",2,"executive"
"11",2,"summary"
"12",2,"managers"
"13",2,"transmittal"
"14",2,"letter"
"15",2,"adopted"
"16",2,"managers"
"17",2,"transmittal"
"18",2,"letter"
"19",2,"recommended"
"20",2,"budget"
"21",2,"organizational"
"22",2,"chart"
"23",2,"introduction"
"24",2,"council"
"25",2,"focus"
"26",2,"areas"
"27",2,"general"
"28",2,"fund"
"29",2,"overview"
"30",2,"general"
"31",2,"fund"
"32",2,"budget"
"33",2,"decreases"
"34",2,"and"
"35",2,"increases"
"36",2,"financial"
"37",2,"partners"
"38",2,"employee"
"39",2,"compensation"
"40",2,"revenues"
"41",2,"general"
"42",2,"fund"
"43",2,"nongeneral"
"44",2,"fund"
"45",2,"summary"
"46",2,"enterprise"
"47",2,"funds"
"48",2,"other"
"49",2,"operating"
"50",2,"funds"
"51",2,"capital"
"52",2,"investment"
"53",2,"plan"
"54",2,"summary"
"55",2,"summary"
"56",2,"of"
"57",2,"expenditures"
"58",2,"summary"
"59",2,"of"
"60",2,"position"
"61",2,"allocations"
"62",2,"city"
"63",2,"profile"
"64",2,"corporate"
"65",2,"strategy"
"66",2,"and"
"67",2,"priorities"
"68",2,"city"
"69",2,"strategy"
"70",2,"corporate"
"71",2,"objectives"
"72",2,"community"
"73",2,"safety"
"74",2,"focus"
"75",2,"area"
"76",2,"plan"
"77",2,"housing"
"78",2,"and"
"79",2,"neighborhood"
"80",2,"development"
"81",2,"focus"
"82",2,"area"
"83",2,"plan"
"84",2,"environment"
"85",2,"focus"
"86",2,"area"
"87",2,"plan"
"88",2,"transportation"
"89",2,"economic"
"90",2,"development"
"91",2,"focus"
"92",2,"area"
"93",2,"plan"
"94",2,"operating"
"95",2,"budgets"
"96",2,"general"
"97",2,"fund"
"98",2,"operations"
"99",2,"police"
"100",2,"fire"
"101",2,"solid"
"102",2,"waste"
"103",2,"services"
"104",2,"transportation"
"105",2,"neighborhood"
"106",2,"business"
"107",2,"services"
"108",2,"engineering"
"109",2,"property"
"110",2,"management"
"111",2,"charlottemecklenburg"
"112",2,"planning"
"113",2,"enterprise"
"114",2,"operations"
"115",2,"aviation"
"116",2,"charlotte"
"117",2,"area"
"118",2,"transit"
"119",2,"system"
"120",2,"charlottemecklenburg"
"121",2,"utilities"
"122",2,"department"
"123",2,"support"
"124",2,"departments"
"125",2,"mayor"
"126",2,"and"
"127",2,"city"
"128",2,"council"
"129",2,"city"
"130",2,"attorney"
"131",2,"city"
"132",2,"clerk"
"133",2,"city"
"134",2,"manager"
"135",2,"budget"
"136",2,"and"
"137",2,"evaluation"
