"","page_number","word"
"1",1,"city"
"2",1,"of"
"3",1,"raleigh"
"4",1,"adopted"
"5",1,"budget"
"6",2,"annual"
"7",2,"budget"
"8",2,"city"
"9",2,"of"
"10",2,"raleigh"
"11",2,"north"
"12",2,"carolina"
"13",2,"fiscal"
"14",2,"year"
"15",2,"beginning"
"16",2,"july"
"17",2,"recommended"
"18",2,"to"
"19",2,"the"
"20",2,"city"
"21",2,"council"
"22",2,"by"
"23",2,"the"
"24",2,"city"
"25",2,"manager"
"26",2,"may"
"27",2,"adopted"
"28",2,"by"
"29",2,"the"
"30",2,"city"
"31",2,"council"
"32",2,"june"
"33",2,"the"
"34",2,"city"
"35",2,"council"
"36",2,"nancy"
"37",2,"mcfarlane"
"38",2,"mayor"
"39",2,"eugene"
"40",2,"weeks"
"41",2,"mayor"
"42",2,"pro"
"43",2,"tem"
"44",2,"maryann"
"45",2,"baldwin"
"46",2,"thomas"
"47",2,"g"
"48",2,"crowder"
"49",2,"bonner"
"50",2,"gaylord"
"51",2,"john"
"52",2,"odom"
"53",2,"randall"
"54",2,"k"
"55",2,"stagner"
"56",2,"russ"
"57",2,"stephenson"
"58",2,"executive"
"59",2,"staff"
"60",2,"j"
"61",2,"russell"
"62",2,"allen"
"63",2,"city"
"64",2,"manager"
"65",2,"perry"
"66",2,"e"
"67",2,"james"
"68",2,"iii"
"69",2,"chief"
"70",2,"financial"
"71",2,"officer"
"72",2,"joyce"
"73",2,"l"
"74",2,"munro"
"75",2,"budget"
"76",2,"management"
"77",2,"services"
"78",2,"director"
"79",2,"kirsten"
"80",2,"m"
"81",2,"larson"
"82",2,"operating"
"83",2,"budget"
"84",2,"manager"
"85",2,"ben"
"86",2,"canada"
"87",2,"capital"
"88",2,"improvement"
"89",2,"program"
"90",2,"manager"
"91",2,"catherine"
"92",2,"m"
"93",2,"clark"
"94",2,"grants"
"95",2,"program"
"96",2,"administrative"
"97",2,"manager"
"98",2,"jamie"
"99",2,"a"
"100",2,"brown"
"101",2,"special"
"102",2,"assistant"
"103",2,"to"
"104",2,"the"
"105",2,"mayor"
"106",2,"heather"
"107",2,"a"
"108",2,"drennan"
"109",2,"budget"
"110",2,"analyst"
"111",2,"clayton"
"112",2,"t"
"113",2,"hainline"
"114",2,"budget"
"115",2,"analyst"
"116",2,"kathryn"
"117",2,"e"
"118",2,"hertel"
"119",2,"budget"
"120",2,"analyst"
"121",2,"amber"
"122",2,"b"
"123",2,"smith"
"124",2,"budget"
"125",2,"analyst"
"126",3,"the"
"127",3,"following"
"128",3,"individuals"
"129",3,"whose"
"130",3,"assistance"
"131",3,"and"
"132",3,"contributions"
"133",3,"to"
"134",3,"the"
"135",3,"annual"
"136",3,"budget"
"137",3,"development"
"138",3,"process"
"139",3,"are"
"140",3,"immeasurable"
"141",3,"are"
"142",3,"hereby"
"143",3,"acknowledged"
"144",3,"fred"
"145",3,"m"
"146",3,"blackwood"
"147",3,"debt"
"148",3,"manager"
"149",3,"allison"
"150",3,"bradsher"
"151",3,"controller"
"152",3,"david"
"153",3,"p"
"154",3,"erwin"
"155",3,"assistant"
"156",3,"controller"
"157",3,"tyrone"
"158",3,"s"
"159",3,"williamson"
"160",3,"business"
"161",3,"analyst"
"162",3,"cover"
"163",3,"design"
"164",3,"by"
"165",3,"jorge"
"166",3,"gao"
"167",3,"planning"
"168",3,"and"
"169",3,"development"
"170",3,"department"
"171",4,"table"
"172",4,"of"
"173",4,"contents"
"174",4,"introduction"
"175",4,"adopted"
"176",4,"budget"
"177",4,"message"
"178",4,"a"
"179",4,"proposed"
"180",4,"budget"
"181",4,"message"
"182",4,"a"
"183",4,"introduction"
"184",4,"a"
"185",4,"budget"
"186",4,"and"
"187",4,"fiscal"
"188",4,"framework"
"189",4,"a"
"190",4,"financial"
"191",4,"policies"
"192",4,"a"
"193",4,"budget"
"194",4,"guide"
"195",4,"a"
"196",4,"city"
"197",4,"council"
"198",4,"information"
"199",4,"a"
"200",4,"mission"
"201",4,"statement"
"202",4,"a"
"203",4,"profile"
"204",4,"of"
"205",4,"city"
"206",4,"of"
"207",4,"raleigh"
"208",4,"a"
"209",4,"urban"
"210",4,"measures"
"211",4,"a"
"212",4,"organization"
"213",4,"chart"
"214",4,"a"
"215",4,"customer"
"216",4,"costs"
"217",4,"for"
"218",4,"municipal"
"219",4,"services"
"220",4,"a"
"221",4,"budget"
"222",4,"summary"
"223",4,"revenue"
"224",4,"expenditure"
"225",4,"summary"
"226",4,"b"
"227",4,"total"
"228",4,"budget"
"229",4,"summary"
"230",4,"b"
"231",4,"general"
"232",4,"fund"
"233",4,"summary"
"234",4,"b"
"235",4,"appropriations"
"236",4,"by"
"237",4,"fund"
"238",4,"b"
"239",4,"general"
"240",4,"fund"
"241",4,"appropriations"
"242",4,"by"
"243",4,"division"
"244",4,"b"
"245",4,"general"
"246",4,"fund"
"247",4,"appropriations"
"248",4,"by"
"249",4,"type"
"250",4,"b"
"251",4,"public"
"252",4,"utilities"
"253",4,"fund"
"254",4,"appropriations"
"255",4,"by"
"256",4,"division"
"257",4,"b"
"258",4,"statement"
"259",4,"on"
"260",4,"fund"
"261",4,"balance"
"262",4,"b"
"263",4,"position"
"264",4,"summary"
"265",4,"b"
"266",4,"position"
"267",4,"count"
"268",4,"changes"
"269",4,"b"
"270",4,"position"
"271",4,"classification"
"272",4,"changes"
"273",4,"b"
"274",4,"revenue"
"275",4,"revenue"
"276",4,"summary"
"277",4,"c"
"278",4,"revenue"
"279",4,"estimates"
"280",4,"c"
"281",4,"tax"
"282",4,"values"
"283",4,"rates"
"284",4,"and"
"285",4,"collections"
"286",4,"c"
"287",4,"general"
"288",4,"government"
"289",4,"city"
"290",4,"council"
"291",4,"d"
"292",4,"city"
"293",4,"clerk"
"294",4,"d"
"295",4,"city"
"296",4,"attorney"
"297",4,"d"
"298",4,"city"
"299",4,"manager"
"300",4,"d"
"301",4,"agency"
"302",4,"appropriations"
"303",4,"d"
"304",4,"economic"
"305",4,"development"
"306",4,"fund"
"307",4,"d"
"308",4,"budget"
"309",4,"management"
"310",4,"services"
"311",4,"d"
"312",4,"finance"
"313",4,"d"
"314",4,"risk"
"315",4,"management"
"316",4,"fund"
"317",4,"d"
"318",4,"information"
"319",4,"technology"
"320",4,"d"
"321",4,"human"
"322",4,"resources"
"323",4,"d"
"324",4,"healthdental"
"325",4,"trust"
"326",4,"and"
"327",4,"opeb"
"328",4,"trust"
"329",4,"funds"
"330",4,"d"
"331",4,"public"
"332",4,"affairs"
"333",4,"d"
"334",4,"special"
"335",4,"appropriations"
"336",4,"d"
"337",5,"infrastructure"
"338",5,"and"
"339",5,"public"
"340",5,"services"
"341",5,"infrastructure"
"342",5,"services"
"343",5,"map"
"344",5,"e"
"345",5,"community"
"346",5,"development"
"347",5,"funds"
"348",5,"e"
"349",5,"community"
"350",5,"services"
"351",5,"e"
"352",5,"planning"
"353",5,"and"
"354",5,"development"
"355",5,"e"
"356",5,"public"
"357",5,"works"
"358",5,"e"
"359",5,"parking"
"360",5,"facilities"
"361",5,"fund"
"362",5,"e"
"363",5,"stormwater"
"364",5,"utility"
"365",5,"fund"
"366",5,"e"
"367",5,"public"
"368",5,"transit"
"369",5,"fund"
"370",5,"e"
"371",5,"vehicle"
"372",5,"fleet"
"373",5,"services"
"374",5,"internal"
"375",5,"service"
"376",5,"fund"
"377",5,"e"
"378",5,"solid"
"379",5,"waste"
"380",5,"services"
"381",5,"fund"
"382",5,"e"
"383",5,"public"
"384",5,"safety"
"385",5,"public"
"386",5,"safety"
"387",5,"station"
"388",5,"map"
"389",5,"f"
"390",5,"emergency"
"391",5,"communications"
"392",5,"f"
"393",5,"emergency"
"394",5,"telephone"
"395",5,"system"
"396",5,"fund"
"397",5,"f"
"398",5,"fire"
"399",5,"f"
"400",5,"police"
