"","page_number","word"
"1",1,"mecklenburg"
"2",1,"county"
"3",1,"north"
"4",1,"carolina"
"5",1,"fiscal"
"6",1,"year"
"7",1,"adopted"
"8",1,"budget"
"9",1,"wwwmecklenburgcountyncgov"
"10",2,"adopted"
"11",2,"budget"
"12",2,"fiscal"
"13",2,"year"
"14",2,"july"
"15",2,"the"
"16",2,"government"
"17",2,"finance"
"18",2,"officers"
"19",2,"association"
"20",2,"of"
"21",2,"the"
"22",2,"united"
"23",2,"states"
"24",2,"and"
"25",2,"canada"
"26",2,"gfoa"
"27",2,"presented"
"28",2,"an"
"29",2,"award"
"30",2,"for"
"31",2,"distinguished"
"32",2,"budget"
"33",2,"presentation"
"34",2,"to"
"35",2,"mecklenburg"
"36",2,"county"
"37",2,"for"
"38",2,"its"
"39",2,"annual"
"40",2,"budget"
"41",2,"for"
"42",2,"the"
"43",2,"fiscal"
"44",2,"year"
"45",2,"beginning"
"46",2,"july"
"47",2,"in"
"48",2,"order"
"49",2,"to"
"50",2,"receive"
"51",2,"this"
"52",2,"award"
"53",2,"a"
"54",2,"governmental"
"55",2,"unit"
"56",2,"must"
"57",2,"publish"
"58",2,"a"
"59",2,"budget"
"60",2,"document"
"61",2,"that"
"62",2,"meets"
"63",2,"program"
"64",2,"criteria"
"65",2,"as"
"66",2,"a"
"67",2,"policy"
"68",2,"document"
"69",2,"as"
"70",2,"an"
"71",2,"operations"
"72",2,"guide"
"73",2,"as"
"74",2,"a"
"75",2,"financial"
"76",2,"plan"
"77",2,"and"
"78",2,"as"
"79",2,"a"
"80",2,"communications"
"81",2,"medium"
"82",2,"the"
"83",2,"award"
"84",2,"is"
"85",2,"valid"
"86",2,"for"
"87",2,"a"
"88",2,"period"
"89",2,"of"
"90",2,"one"
"91",2,"year"
"92",2,"only"
"93",2,"we"
"94",2,"believe"
"95",2,"our"
"96",2,"current"
"97",2,"budget"
"98",2,"continues"
"99",2,"to"
"100",2,"conform"
"101",2,"to"
"102",2,"program"
"103",2,"requirements"
"104",2,"and"
"105",2,"we"
"106",2,"are"
"107",2,"submitting"
"108",2,"it"
"109",2,"to"
"110",2,"gfoa"
"111",2,"to"
"112",2,"determine"
"113",2,"its"
"114",2,"eligibility"
"115",2,"for"
"116",2,"another"
"117",2,"award"
"118",2,"m"
"119",2,"e"
"120",2,"c"
"121",2,"k"
"122",2,"l"
"123",2,"e"
"124",2,"n"
"125",2,"b"
"126",2,"u"
"127",2,"r"
"128",2,"g"
"129",2,"c"
"130",2,"o"
"131",2,"u"
"132",2,"n"
"133",2,"t"
"134",2,"y"
"135",2,"change"
"136",2,"work"
"137",3,"adopted"
"138",3,"budget"
"139",3,"fiscal"
