"","page_number","word","sent_count","sentiment","category"
"1",291,"Surcharge",38,"Anger","Emotion"
"2",291,"Surcharge",38,"Negative","Sentiment"
"3",291,"Technology",38,"Positive","Sentiment"
"4",46,"Tax",36,"Negative","Sentiment"
"5",46,"Tax",36,"Sadness","Emotion"
"6",292,"Surcharge",36,"Anger","Emotion"
"7",292,"Surcharge",36,"Negative","Sentiment"
"8",293,"Surcharge",32,"Anger","Emotion"
"9",293,"Surcharge",32,"Negative","Sentiment"
"10",291,"Letter",30,"Anticipation","Emotion"
"11",292,"Technology",30,"Positive","Sentiment"
"12",293,"Technology",30,"Positive","Sentiment"
"13",334,"Budget",30,"Trust","Emotion"
"14",244,"Library",28,"Positive","Sentiment"
"15",46,"County",24,"Trust","Emotion"
"16",325,"Budget",24,"Trust","Emotion"
"17",154,"Fire",22,"Fear","Emotion"
"18",292,"Fee",22,"Anger","Emotion"
"19",292,"Fee",22,"Negative","Sentiment"
"20",335,"Budget",22,"Trust","Emotion"
"21",26,"Fee",18,"Anger","Emotion"
"22",26,"Fee",18,"Negative","Sentiment"
"23",86,"County",18,"Trust","Emotion"
"24",174,"County",18,"Trust","Emotion"
"25",326,"County",18,"Trust","Emotion"
"26",327,"County",18,"Trust","Emotion"
"27",102,"County",17,"Trust","Emotion"
"28",151,"Fire",17,"Fear","Emotion"
"29",157,"Fire",17,"Fear","Emotion"
"30",68,"County",16,"Trust","Emotion"
"31",118,"Budget",16,"Trust","Emotion"
"32",274,"Fire",16,"Fear","Emotion"
"33",279,"Bonds",16,"Negative","Sentiment"
"34",324,"Balance",16,"Positive","Sentiment"
"35",327,"Debt",16,"Negative","Sentiment"
"36",327,"Debt",16,"Sadness","Emotion"
"37",2,"County",15,"Trust","Emotion"
"38",156,"Fire",15,"Fear","Emotion"
"39",188,"County",15,"Trust","Emotion"
"40",334,"County",15,"Trust","Emotion"
"41",30,"Preventive",14,"Negative","Sentiment"
"42",37,"Fire",14,"Fear","Emotion"
"43",62,"County",14,"Trust","Emotion"
"44",108,"County",14,"Trust","Emotion"
"45",120,"Veteran",14,"Positive","Sentiment"
"46",120,"Veteran",14,"Trust","Emotion"
"47",244,"County",14,"Trust","Emotion"
"48",327,"Bonds",14,"Negative","Sentiment"
"49",45,"Tax",13,"Negative","Sentiment"
"50",45,"Tax",13,"Sadness","Emotion"
"51",69,"Balance",13,"Positive","Sentiment"
"52",72,"County",13,"Trust","Emotion"
"53",80,"Tax",13,"Negative","Sentiment"
"54",80,"Tax",13,"Sadness","Emotion"
"55",90,"Court",13,"Anger","Emotion"
"56",90,"Court",13,"Anticipation","Emotion"
"57",90,"Court",13,"Fear","Emotion"
"58",154,"County",13,"Trust","Emotion"
"59",158,"Emergency",13,"Fear","Emotion"
"60",158,"Emergency",13,"Negative","Sentiment"
"61",158,"Emergency",13,"Sadness","Emotion"
"62",158,"Emergency",13,"Surprise","Emotion"
"63",279,"County",13,"Trust","Emotion"
"64",308,"Community",13,"Positive","Sentiment"
"65",317,"Community",13,"Positive","Sentiment"
"66",324,"General",13,"Positive","Sentiment"
"67",324,"General",13,"Trust","Emotion"
"68",329,"Plan",13,"Anticipation","Emotion"
"69",329,"Budget",13,"Trust","Emotion"
"70",25,"Fee",12,"Anger","Emotion"
"71",25,"Fee",12,"Negative","Sentiment"
"72",108,"Information",12,"Positive","Sentiment"
"73",148,"Emergency",12,"Fear","Emotion"
"74",148,"Emergency",12,"Negative","Sentiment"
"75",148,"Emergency",12,"Sadness","Emotion"
"76",148,"Emergency",12,"Surprise","Emotion"
"77",170,"Youth",12,"Anger","Emotion"
"78",170,"Youth",12,"Anticipation","Emotion"
