"","page_number","word","sent_count","sentiment","category"
"1",99,"Debt",30,"Negative","Sentiment"
"2",99,"Debt",30,"Sadness","Emotion"
"3",32,"Budget",29,"Trust","Emotion"
"4",612,"Debt",27,"Negative","Sentiment"
"5",612,"Debt",27,"Sadness","Emotion"
"6",613,"Debt",25,"Negative","Sentiment"
"7",613,"Debt",25,"Sadness","Emotion"
"8",600,"Tax",22,"Negative","Sentiment"
"9",600,"Tax",22,"Sadness","Emotion"
"10",16,"Debt",21,"Negative","Sentiment"
"11",16,"Debt",21,"Sadness","Emotion"
"12",53,"Choice",21,"Positive","Sentiment"
"13",474,"Debt",21,"Negative","Sentiment"
"14",474,"Debt",21,"Sadness","Emotion"
"15",6,"County",19,"Trust","Emotion"
"16",471,"County",19,"Trust","Emotion"
"17",611,"Debt",17,"Negative","Sentiment"
"18",611,"Debt",17,"Sadness","Emotion"
"19",6,"Budget",16,"Trust","Emotion"
"20",26,"County",15,"Trust","Emotion"
"21",172,"Public",15,"Anticipation","Emotion"
"22",172,"Public",15,"Positive","Sentiment"
"23",385,"Tax",15,"Negative","Sentiment"
"24",385,"Tax",15,"Sadness","Emotion"
"25",615,"Debt",15,"Negative","Sentiment"
"26",615,"Debt",15,"Sadness","Emotion"
"27",15,"County",14,"Trust","Emotion"
"28",32,"Board",14,"Anticipation","Emotion"
"29",40,"County",14,"Trust","Emotion"
"30",622,"Balance",14,"Positive","Sentiment"
"31",630,"Fee",14,"Anger","Emotion"
"32",630,"Fee",14,"Negative","Sentiment"
"33",7,"County",13,"Trust","Emotion"
"34",20,"Budget",13,"Trust","Emotion"
"35",65,"Tax",13,"Negative","Sentiment"
"36",65,"Tax",13,"Sadness","Emotion"
"37",83,"County",13,"Trust","Emotion"
"38",473,"Debt",13,"Negative","Sentiment"
"39",473,"Debt",13,"Sadness","Emotion"
"40",626,"Tax",13,"Negative","Sentiment"
"41",626,"Tax",13,"Sadness","Emotion"
"42",631,"Resident",13,"Positive","Sentiment"
"43",9,"County",12,"Trust","Emotion"
"44",59,"Management",12,"Positive","Sentiment"
"45",59,"Management",12,"Trust","Emotion"
"46",612,"County",12,"Trust","Emotion"
"47",613,"County",12,"Trust","Emotion"
"48",616,"County",12,"Trust","Emotion"
"49",617,"County",12,"Trust","Emotion"
"50",619,"Risk",12,"Anticipation","Emotion"
"51",619,"Risk",12,"Fear","Emotion"
"52",619,"Risk",12,"Negative","Sentiment"
"53",9,"Budget",11,"Trust","Emotion"
"54",12,"Budget",11,"Trust","Emotion"
"55",58,"Tax",11,"Negative","Sentiment"
"56",58,"Tax",11,"Sadness","Emotion"
"57",94,"Tax",11,"Negative","Sentiment"
"58",94,"Tax",11,"Sadness","Emotion"
"59",98,"County",11,"Trust","Emotion"
"60",614,"Debt",11,"Negative","Sentiment"
"61",614,"Debt",11,"Sadness","Emotion"
"62",618,"County",11,"Trust","Emotion"
"63",36,"County",10,"Trust","Emotion"
"64",88,"County",10,"Trust","Emotion"
"65",380,"Mail",10,"Anticipation","Emotion"
"66",617,"Exchange",10,"Positive","Sentiment"
"67",617,"Interest",10,"Positive","Sentiment"
"68",617,"Exchange",10,"Trust","Emotion"
"69",619,"Interest",10,"Positive","Sentiment"
"70",621,"Balance",10,"Positive","Sentiment"
"71",622,"General",10,"Positive","Sentiment"
"72",622,"General",10,"Trust","Emotion"
"73",626,"County",10,"Trust","Emotion"
"74",640,"Debt",10,"Negative","Sentiment"
"75",640,"Debt",10,"Sadness","Emotion"
"76",7,"Budget",9,"Trust","Emotion"
"77",9,"Tax",9,"Negative","Sentiment"
"78",9,"Tax",9,"Sadness","Emotion"
"79",41,"County",9,"Trust","Emotion"
"80",68,"County",9,"Trust","Emotion"
"81",70,"Community",9,"Positive","Sentiment"
"82",77,"Fee",9,"Anger","Emotion"
"83",77,"Fee",9,"Negative","Sentiment"
"84",78,"Budget",9,"Trust","Emotion"
"85",84,"Tax",9,"Negative","Sentiment"
"86",84,"Tax",9,"Sadness","Emotion"
"87",91,"Tax",9,"Negative","Sentiment"
"88",91,"Tax",9,"Sadness","Emotion"
"89",102,"Increase",9,"Positive","Sentiment"
"90",104,"Reserve",9,"Positive","Sentiment"
"91",104,"County",9,"Trust","Emotion"
"92",172,"Defender",9,"Positive","Sentiment"
"93",172,"Defender",9,"Trust","Emotion"
"94",387,"Tax",9,"Negative","Sentiment"
"95",387,"Tax",9,"Sadness","Emotion"
"96",471,"Choice",9,"Positive","Sentiment"
"97",485,"August",9,"Positive","Sentiment"
"98",486,"School",9,"Trust","Emotion"
"99",497,"School",9,"Trust","Emotion"
"100",606,"Debt",9,"Negative","Sentiment"
"101",606,"Debt",9,"Sadness","Emotion"
"102",614,"County",9,"Trust","Emotion"
"103",615,"County",9,"Trust","Emotion"
"104",618,"Agreement",9,"Positive","Sentiment"
"105",618,"Agreement",9,"Trust","Emotion"
"106",621,"General",9,"Positive","Sentiment"
"107",621,"General",9,"Trust","Emotion"
"108",638,"County",9,"Trust","Emotion"
"109",7,"Tax",8,"Negative","Sentiment"
"110",7,"Tax",8,"Sadness","Emotion"
"111",10,"County",8,"Trust","Emotion"
"112",11,"County",8,"Trust","Emotion"
"113",12,"County",8,"Trust","Emotion"
"114",19,"Community",8,"Positive","Sentiment"
"115",24,"County",8,"Trust","Emotion"
"116",27,"County",8,"Trust","Emotion"
"117",32,"Public",8,"Anticipation","Emotion"
"118",32,"Public",8,"Positive","Sentiment"
"119",53,"Board",8,"Anticipation","Emotion"
"120",60,"Community",8,"Positive","Sentiment"
"121",68,"Community",8,"Positive","Sentiment"
"122",76,"Budget",8,"Trust","Emotion"
"123",77,"Time",8,"Anticipation","Emotion"
"124",88,"Cap",8,"Anticipation","Emotion"
"125",88,"Cap",8,"Trust","Emotion"
