"","page_number","word"
"1",1,"adopted"
"2",1,"operating"
"3",1,"budget"
"4",1,"and"
"5",1,"community"
"6",1,"improvement"
"7",1,"plan"
"8",1,"for"
"9",1,"the"
"10",1,"fiscal"
"11",1,"year"
"12",1,"july"
"13",1,"through"
"14",1,"june"
"15",2,"wake"
"16",2,"county"
"17",2,"north"
"18",2,"carolina"
"19",2,"board"
"20",2,"of"
"21",2,"county"
"22",2,"commissioners"
"23",2,"james"
"24",2,"west"
"25",2,"caroline"
"26",2,"sullivan"
"27",2,"chairman"
"28",2,"vice"
"29",2,"chair"
"30",2,"john"
"31",2,"d"
"32",2,"burns"
"33",2,"matt"
"34",2,"calabria"
"35",2,"jessica"
"36",2,"holmes"
"37",2,"sig"
"38",2,"hutchinson"
"39",2,"betty"
"40",2,"lou"
"41",2,"ward"
"42",2,"county"
"43",2,"administration"
"44",2,"county"
"45",2,"attorney"
"46",2,"scott"
"47",2,"w"
"48",2,"warren"
"49",2,"county"
"50",2,"manager"
"51",2,"jim"
"52",2,"hartmann"
"53",2,"deputy"
"54",2,"county"
"55",2,"manager"
"56",2,"david"
"57",2,"ellis"
"58",2,"clerk"
"59",2,"to"
"60",2,"the"
"61",2,"board"
"62",2,"denise"
"63",2,"hogan"
"64",2,"deputy"
"65",2,"county"
"66",2,"manager"
"67",2,"johnna"
"68",2,"l"
"69",2,"rogers"
"70",2,"fiscal"
"71",2,"year"
"72",2,"adopted"
"73",2,"budget"
"74",3,"table"
"75",3,"of"
"76",3,"contents"
"77",3,"table"
"78",3,"of"
"79",3,"contents"
"80",3,"county"
"81",3,"manager"
"82",3,"county"
"83",3,"attorney"
"84",3,"gfoa"
"85",3,"distinguished"
"86",3,"budget"
"87",3,"board"
"88",3,"of"
"89",3,"elections"
"90",3,"presentation"
"91",3,"award"
"92",3,"budget"
"93",3,"and"
"94",3,"management"
"95",3,"services"
"96",3,"gfoa"
"97",3,"distinguished"
"98",3,"budget"
"99",3,"presentation"
"100",3,"award"
"101",3,"facilities"
"102",3,"design"
"103",3,"construction"
"104",3,"finance"
"105",3,"department"
"106",3,"budget"
"107",3,"message"
"108",3,"human"
"109",3,"resources"
"110",3,"information"
"111",3,"services"
"112",3,"ordinance"
"113",3,"register"
"114",3,"of"
"115",3,"deeds"
"116",3,"revenue"
"117",3,"department"
"118",3,"process"
"119",3,"and"
"120",3,"policies"
"121",3,"readers"
"122",3,"guide"
"123",3,"to"
"124",3,"the"
"125",3,"budget"
"126",3,"community"
"127",3,"services"
"128",3,"budget"
"129",3,"process"
"130",3,"community"
"131",3,"services"
"132",3,"management"
"133",3,"and"
"134",3,"budget"
"135",3,"office"
"136",3,"budget"
"137",3,"calendar"
"138",3,"for"
"139",3,"fiscal"
"140",3,"year"
"141",3,"fund"
"142",3,"structure"
"143",3,"parks"
"144",3,"recreation"
"145",3,"and"
"146",3,"open"
"147",3,"space"
"148",3,"fund"
"149",3,"structure"
"150",3,"charts"
"151",3,"planning"
"152",3,"development"
"153",3,"and"
"154",3,"inspections"
"155",3,"wake"
"156",3,"county"
"157",3,"government"
"158",3,"fy"
"159",3,"organizational"
"160",3,"chart"
"161",3,"veterans"
"162",3,"services"
"163",3,"geographic"
"164",3,"information"
"165",3,"basis"
"166",3,"of"
"167",3,"budgeting"
"168",3,"and"
"169",3,"basis"
"170",3,"of"
"171",3,"accounting"
"172",3,"libraries"
"173",3,"financial"
"174",3,"policies"
"175",3,"financial"
"176",3,"models"
"177",3,"environmental"
"178",3,"services"
"179",3,"longrange"
"180",3,"planning"
"181",3,"environmental"
"182",3,"services"
"183",3,"administration"
"184",3,"environmental"
"185",3,"health"
"186",3,"safety"
"187",3,"budget"
"188",3,"highlights"
"189",3,"water"
"190",3,"quality"
"191",3,"total"
"192",3,"revenues"
"193",3,"by"
"194",3,"fund"
"195",3,"animal"
