"","page_number","word","sent_count","sentiment","category"
"1",16,"Budget",30,"Trust","Emotion"
"2",164,"Debt",27,"Negative","Sentiment"
"3",164,"Debt",27,"Sadness","Emotion"
"4",66,"Tax",24,"Negative","Sentiment"
"5",66,"Tax",24,"Sadness","Emotion"
"6",166,"Bonds",24,"Negative","Sentiment"
"7",134,"Fire",23,"Fear","Emotion"
"8",17,"Budget",22,"Trust","Emotion"
"9",60,"Recreation",22,"Anticipation","Emotion"
"10",60,"Recreation",22,"Joy","Emotion"
"11",60,"Recreation",22,"Positive","Sentiment"
"12",67,"Tax",21,"Negative","Sentiment"
"13",67,"Tax",21,"Sadness","Emotion"
"14",60,"Resources",20,"Joy","Emotion"
"15",60,"Resources",20,"Positive","Sentiment"
"16",60,"Resources",20,"Trust","Emotion"
"17",166,"Council",20,"Anticipation","Emotion"
"18",166,"Council",20,"Positive","Sentiment"
"19",166,"Council",20,"Trust","Emotion"
"20",32,"Debt",15,"Negative","Sentiment"
"21",32,"Debt",15,"Sadness","Emotion"
"22",58,"Planning",15,"Anticipation","Emotion"
"23",58,"Planning",15,"Positive","Sentiment"
"24",58,"Planning",15,"Trust","Emotion"
"25",78,"Council",15,"Anticipation","Emotion"
"26",78,"Council",15,"Positive","Sentiment"
"27",78,"Council",15,"Trust","Emotion"
"28",107,"Planning",15,"Anticipation","Emotion"
"29",107,"Planning",15,"Positive","Sentiment"
"30",107,"Planning",15,"Trust","Emotion"
"31",145,"Center",15,"Positive","Sentiment"
"32",145,"Center",15,"Trust","Emotion"
"33",146,"Center",15,"Positive","Sentiment"
"34",146,"Center",15,"Trust","Emotion"
"35",165,"Council",14,"Anticipation","Emotion"
"36",165,"Council",14,"Positive","Sentiment"
"37",165,"Council",14,"Trust","Emotion"
"38",167,"Debt",14,"Negative","Sentiment"
"39",167,"Debt",14,"Sadness","Emotion"
"40",17,"Council",13,"Anticipation","Emotion"
"41",17,"Council",13,"Positive","Sentiment"
"42",17,"Council",13,"Trust","Emotion"
"43",20,"Budget",13,"Trust","Emotion"
"44",61,"Public",13,"Anticipation","Emotion"
"45",61,"Public",13,"Positive","Sentiment"
"46",73,"Utility",13,"Positive","Sentiment"
"47",26,"Population",12,"Positive","Sentiment"
"48",120,"Waste",12,"Disgust","Emotion"
"49",120,"Waste",12,"Negative","Sentiment"
"50",136,"Police",12,"Fear","Emotion"
"51",136,"Police",12,"Positive","Sentiment"
"52",136,"Police",12,"Trust","Emotion"
