"","page_number","word"
"1",1,"city"
"2",1,"of"
"3",1,"durham"
"4",1,"budget"
"5",1,"ta"
"6",1,"k"
"7",1,"i"
"8",1,"n"
"9",1,"g"
"10",1,"i"
"11",1,"t"
"12",1,"t"
"13",1,"o"
"14",1,"t"
"15",1,"h"
"16",1,"e"
"17",1,"s"
"18",1,"t"
"19",1,"r"
"20",1,"e"
"21",1,"e"
"22",1,"t"
"23",1,"s"
"24",2,"city"
"25",2,"of"
"26",2,"durham"
"27",2,"north"
"28",2,"carolina"
"29",2,"budget"
"30",2,"fiscal"
"31",2,"year"
"32",2,"durham"
"33",2,"where"
"34",2,"great"
"35",2,"things"
"36",2,"happen"
"37",3,"city"
"38",3,"vision"
"39",3,"statement"
"40",3,"durham"
"41",3,"is"
"42",3,"the"
"43",3,"leading"
"44",3,"city"
"45",3,"in"
"46",3,"providing"
"47",3,"an"
"48",3,"excellent"
"49",3,"and"
"50",3,"sustainable"
"51",3,"quality"
"52",3,"of"
"53",3,"life"
"54",3,"city"
"55",3,"mission"
"56",3,"statement"
"57",3,"to"
"58",3,"provide"
"59",3,"quality"
"60",3,"services"
"61",3,"to"
"62",3,"make"
"63",3,"durham"
"64",3,"a"
"65",3,"great"
"66",3,"place"
"67",3,"to"
"68",3,"live"
"69",3,"work"
"70",3,"and"
"71",3,"play"
"72",3,"council"
"73",3,"goals"
"74",3,"strong"
"75",3,"and"
"76",3,"diverse"
"77",3,"economy"
"78",3,"safe"
"79",3,"and"
"80",3,"secure"
"81",3,"community"
"82",3,"thriving"
"83",3,"livable"
"84",3,"neighborhoods"
"85",3,"innovative"
"86",3,"high"
"87",3,"performing"
"88",3,"organization"
"89",3,"stewardship"
"90",3,"of"
"91",3,"citys"
"92",3,"physical"
"93",3,"and"
"94",3,"environmental"
"95",3,"assets"
"96",3,"a"
"97",3,"b"
"98",3,"o"
"99",3,"u"
"100",3,"t"
"101",3,"th"
"102",3,"e"
"103",3,"c"
"104",3,"o"
"105",3,"v"
"106",3,"e"
"107",3,"r"
"108",3,"taking"
"109",3,"it"
"110",3,"to"
"111",3,"the"
"112",3,"streets"
"113",3,"was"
"114",3,"the"
"115",3,"theme"
"116",3,"of"
"117",3,"the"
"118",3,"city"
"119",3,"managers"
"120",3,"fy"
"121",3,"budget"
"122",3,"presentation"
"123",3,"to"
"124",3,"the"
"125",3,"mayor"
"126",3,"and"
"127",3,"city"
"128",3,"council"
"129",3,"here"
"130",3,"are"
"131",3,"excerpts"
"132",3,"from"
"133",3,"his"
"134",3,"presentation"
"135",3,"this"
"136",3,"year"
"137",3,"many"
"138",3,"new"
"139",3,"initiatives"
"140",3,"will"
"141",3,"focus"
"142",3,"on"
"143",3,"taking"
"144",3,"our"
"145",3,"message"
"146",3,"our"
"147",3,"services"
"148",3,"and"
"149",3,"programs"
"150",3,"to"
"151",3,"the"
"152",3,"people"
"153",3,"engagi"
"154",3,"engaging"
"155",3,"them"
"156",3,"where"
"157",3,"they"
"158",3,"are"
"159",3,"in"
"160",3,"their"
"161",3,"neighborhoods"
"162",3,"on"
"163",3,"mobile"
"164",3,"devices"
"165",3,"on"
"166",3,"social"
"167",3,"media"
"168",3,"to"
"169",3,"enhance"
"170",3,"a"
"171",3,"more"
"172",3,"complete"
"173",3,"and"
"174",3,"transparent"
"175",3,"relationship"
"176",3,"with"
"177",3,"durham"
"178",3,"city"
"179",3,"government"
"180",3,"in"
"181",3,"my"
"182",3,"year"
"183",3,"lifetime"
"184",3,"taking"
"185",3,"your"
"186",3,"message"
"187",3,"to"
"188",3,"the"
"189",3,"streets"
"190",3,"or"
"191",3,"to"
"192",3,"the"
"193",3,"people"
"194",3,"has"
"195",3,"been"
"196",3,"responsible"
"197",3,"for"
"198",3,"moving"
"199",3,"our"
"200",3,"society"
"201",3,"forward"
"202",3,"in"
"203",3,"so"
"204",3,"many"
"205",3,"different"
"206",3,"ways"
"207",3,"and"
"208",3,"yes"
"209",3,"i"
"210",3,"have"
"211",3,"participated"
"212",3,"in"
"213",3,"a"
"214",3,"few"
"215",3,"myself"
"216",3,"that"
"217",3,"will"
"218",3,"be"
"219",3,"the"
"220",3,"citys"
"221",3,"goal"
"222",3,"over"
"223",3,"the"
"224",3,"next"
"225",3,"yearto"
"226",3,"take"
"227",3,"our"
"228",3,"city"
"229",3,"services"
"230",3,"and"
"231",3,"message"
"232",3,"figuratively"
"233",3,"and"
"234",3,"literally"
"235",3,"to"
"236",3,"the"
"237",3,"streets"
"238",3,"we"
"239",3,"are"
"240",3,"hitting"
"241",3,"the"
"242",3,"streets"
"243",3,"to"
"244",3,"come"
"245",3,"to"
"246",3,"you"
"247",3,"both"
"248",3,"literally"
"249",3,"and"
"250",3,"figuratively"
"251",3,"and"
"252",3,"we"
"253",3,"encourage"
"254",3,"you"
"255",3,"to"
"256",3,"meet"
"257",3,"us"
"258",3,"halfway"
"259",3,"and"
"260",3,"meet"
"261",3,"us"
"262",3,"often"
"263",4,"mayor"
"264",4,"william"
"265",4,"v"
"266",4,"bill"
"267",4,"bell"
"268",4,"city"
"269",4,"council"
"270",4,"cora"
"271",4,"m"
"272",4,"colemcfadden"
"273",4,"eddie"
"274",4,"davis"
"275",4,"jillian"
"276",4,"johnson"
"277",4,"don"
"278",4,"l"
"279",4,"moffitt"
"280",4,"charlie"
"281",4,"reece"
"282",4,"steve"
"283",4,"schewel"
"284",4,"city"
"285",4,"managers"
"286",4,"office"
"287",4,"thomas"
"288",4,"j"
"289",4,"bonfield"
"290",4,"city"
"291",4,"manager"
"292",4,"wanda"
"293",4,"page"
"294",4,"deputy"
"295",4,"city"
"296",4,"manager"
"297",4,"keith"
"298",4,"chadwell"
"299",4,"deputy"
"300",4,"city"
"301",4,"manager"
"302",4,"w"
"303",4,"bowman"
"304",4,"ferguson"
"305",4,"deputy"
"306",4,"city"
"307",4,"manager"
"308",4,"budget"
"309",4,"and"
"310",4,"management"
"311",4,"services"
"312",4,"staff"
"313",4,"bertha"
"314",4,"t"
"315",4,"johnson"
"316",4,"director"
"317",4,"budget"
"318",4,"and"
"319",4,"management"
"320",4,"services"
"321",4,"john"
"322",4,"allore"
"323",4,"assistant"
"324",4,"director"
"325",4,"budget"
"326",4,"and"
"327",4,"management"
"328",4,"services"
"329",4,"jim"
"330",4,"reingruber"
"331",4,"corporate"
"332",4,"principal"
"333",4,"budget"
"334",4,"and"
"335",4,"management"
"336",4,"analyst"
"337",4,"christina"
"338",4,"tookes"
"339",4,"corporate"
"340",4,"senior"
"341",4,"budget"
"342",4,"and"
"343",4,"management"
"344",4,"analyst"
"345",4,"melinda"
"346",4,"squiresnelson"
"347",4,"corporate"
"348",4,"senior"
"349",4,"budget"
"350",4,"and"
"351",4,"management"
"352",4,"analyst"
"353",4,"lisa"
"354",4,"henty"
"355",4,"corporate"
"356",4,"senior"
"357",4,"budget"
"358",4,"and"
"359",4,"management"
"360",4,"analyst"
"361",4,"shari"
"362",4,"metcalfe"
"363",4,"corporate"
"364",4,"senior"
"365",4,"budget"
"366",4,"and"
"367",4,"management"
"368",4,"analyst"
"369",4,"jay"
"370",4,"fullenwider"
"371",4,"corporate"
"372",4,"budget"
"373",4,"and"
"374",4,"management"
"375",4,"analyst"
"376",4,"josh"
"377",4,"edwards"
"378",4,"strategic"
"379",4,"initiatives"
"380",4,"manager"
"381",4,"rafael"
"382",4,"baptista"
"383",4,"icma"
"384",4,"fellow"
"385",4,"vivienne"
"386",4,"bass"
"387",4,"senior"
"388",4,"executive"
"389",4,"assistant"
"390",4,"sonja"
"391",4,"owens"
"392",4,"administrative"
"393",4,"assistant"
"394",4,"cover"
"395",4,"design"
"396",4,"by"
"397",4,"technical"
"398",4,"solutions"
"399",4,"and"
"400",4,"budget"
"401",4,"management"
"402",4,"services"
"403",4,"pictures"
"404",4,"by"
