"","page_number","word"
"1",1,"fy"
"2",1,"adopted"
"3",1,"budget"
"4",1,"july"
"5",1,"june"
"6",1,"guilford"
"7",1,"county"
"8",1,"state"
"9",1,"of"
"10",1,"north"
"11",1,"carolina"
"12",2,"there"
"13",2,"are"
"14",2,"children"
"15",2,"in"
"16",2,"guilford"
"17",2,"county"
"18",2,"between"
"19",2,"ages"
"20",2,"and"
"21",2,"for"
"22",2,"every"
"23",2,"children"
"24",2,"live"
"25",2,"in"
"26",2,"households"
"27",2,"receiving"
"28",2,"some"
"29",2,"form"
"30",2,"are"
"31",2,"school"
"32",2,"aged"
"33",2,"of"
"34",2,"public"
"35",2,"assistance"
"36",2,"are"
"37",2,"enrolled"
"38",2,"in"
"39",2,"school"
"40",2,"live"
"41",2,"in"
"42",2,"households"
"43",2,"with"
"44",2,"income"
"45",2,"below"
"46",2,"are"
"47",2,"not"
"48",2,"enrolled"
"49",2,"in"
"50",2,"school"
"51",2,"the"
"52",2,"poverty"
"53",2,"level"
"54",2,"is"
"55",2,"a"
"56",2,"foster"
"57",2,"child"
"58",2,"are"
"59",2,"born"
"60",2,"with"
"61",2,"a"
"62",2,"disability"
"63",2,"are"
"64",2,"foreign"
"65",2,"born"
"66",2,"live"
"67",2,"in"
"68",2,"a"
"69",2,"singleparent"
"70",2,"household"
"71",2,"and"
"72",2,"of"
"73",2,"these"
"74",2,"live"
"75",2,"with"
"76",2,"a"
"77",2,"female"
"78",2,"householder"
"79",2,"live"
"80",2,"with"
"81",2,"a"
"82",2,"male"
"83",2,"householder"
"84",2,"live"
"85",2,"in"
"86",2,"a"
"87",2,"home"
"88",2,"that"
"89",2,"is"
"90",2,"owned"
"91",2,"live"
"92",2,"in"
"93",2,"a"
"94",2,"home"
"95",2,"that"
"96",2,"is"
"97",2,"rented"
"98",2,"are"
"99",2,"years"
"100",2,"old"
"101",2,"are"
"102",2,"years"
"103",2,"old"
"104",2,"are"
"105",2,"years"
"106",2,"old"
