"","page_number","word","sent_count","sentiment","category"
"1",537,"Fire",46,"Fear","Emotion"
"2",414,"Fire",44,"Fear","Emotion"
"3",415,"Fire",36,"Fear","Emotion"
"4",534,"Fire",31,"Fear","Emotion"
"5",531,"Fire",29,"Fear","Emotion"
"6",529,"Fire",27,"Fear","Emotion"
"7",504,"War",25,"Fear","Emotion"
"8",504,"War",25,"Negative","Sentiment"
"9",152,"Grant",23,"Anticipation","Emotion"
"10",152,"Grant",23,"Joy","Emotion"
"11",152,"Grant",23,"Positive","Sentiment"
"12",152,"Grant",23,"Trust","Emotion"
"13",38,"Budget",22,"Trust","Emotion"
"14",505,"Income",21,"Anticipation","Emotion"
"15",505,"Income",21,"Joy","Emotion"
"16",505,"Income",21,"Negative","Sentiment"
"17",505,"Income",21,"Positive","Sentiment"
"18",505,"Income",21,"Sadness","Emotion"
"19",505,"Income",21,"Trust","Emotion"
"20",31,"Budget",20,"Trust","Emotion"
"21",36,"Budget",20,"Trust","Emotion"
"22",98,"Tax",19,"Negative","Sentiment"
"23",98,"Tax",19,"Sadness","Emotion"
"24",407,"Debt",19,"Negative","Sentiment"
"25",407,"Debt",19,"Sadness","Emotion"
"26",499,"School",19,"Trust","Emotion"
"27",151,"Grant",18,"Anticipation","Emotion"
"28",151,"Grant",18,"Joy","Emotion"
"29",151,"Grant",18,"Positive","Sentiment"
"30",151,"Grant",18,"Trust","Emotion"
"31",445,"Building",18,"Positive","Sentiment"
"32",101,"Balance",17,"Positive","Sentiment"
"33",443,"Building",17,"Positive","Sentiment"
"34",528,"Fire",17,"Fear","Emotion"
"35",182,"Agree",16,"Positive","Sentiment"
"36",357,"County",16,"Trust","Emotion"
"37",532,"Fire",16,"Fear","Emotion"
"38",92,"Tax",15,"Negative","Sentiment"
"39",92,"Tax",15,"Sadness","Emotion"
"40",188,"School",15,"Trust","Emotion"
"41",512,"Spent",15,"Negative","Sentiment"
"42",535,"Fire",15,"Fear","Emotion"
"43",202,"Budget",14,"Trust","Emotion"
"44",408,"Debt",14,"Negative","Sentiment"
"45",408,"Debt",14,"Sadness","Emotion"
"46",433,"Building",14,"Positive","Sentiment"
"47",437,"Building",14,"Positive","Sentiment"
"48",446,"Building",14,"Positive","Sentiment"
"49",447,"Building",14,"Positive","Sentiment"
"50",485,"School",14,"Trust","Emotion"
"51",60,"County",13,"Trust","Emotion"
"52",78,"County",13,"Trust","Emotion"
"53",94,"Tax",13,"Negative","Sentiment"
"54",94,"Tax",13,"Sadness","Emotion"
"55",201,"Budget",13,"Trust","Emotion"
"56",346,"County",13,"Trust","Emotion"
"57",409,"Debt",13,"Negative","Sentiment"
"58",409,"Debt",13,"Sadness","Emotion"
