"","page_number","word","sent_count","sentiment","category"
"1",103,"Debt",28,"Negative","Sentiment"
"2",103,"Debt",28,"Sadness","Emotion"
"3",582,"Debt",27,"Negative","Sentiment"
"4",582,"Debt",27,"Sadness","Emotion"
"5",583,"Debt",25,"Negative","Sentiment"
"6",583,"Debt",25,"Sadness","Emotion"
"7",22,"Debt",22,"Negative","Sentiment"
"8",22,"Debt",22,"Sadness","Emotion"
"9",472,"Debt",22,"Negative","Sentiment"
"10",472,"Debt",22,"Sadness","Emotion"
"11",570,"Tax",22,"Negative","Sentiment"
"12",570,"Tax",22,"Sadness","Emotion"
"13",39,"Budget",20,"Trust","Emotion"
"14",62,"Choice",20,"Positive","Sentiment"
"15",479,"School",20,"Trust","Emotion"
"16",6,"County",17,"Trust","Emotion"
"17",568,"Reserve",17,"Positive","Sentiment"
"18",581,"Debt",17,"Negative","Sentiment"
"19",581,"Debt",17,"Sadness","Emotion"
"20",7,"County",16,"Trust","Emotion"
"21",216,"Customer",16,"Positive","Sentiment"
"22",34,"County",15,"Trust","Emotion"
"23",401,"Tax",15,"Negative","Sentiment"
"24",401,"Tax",15,"Sadness","Emotion"
"25",585,"Debt",15,"Negative","Sentiment"
"26",585,"Debt",15,"Sadness","Emotion"
"27",592,"Balance",15,"Positive","Sentiment"
"28",602,"Fee",15,"Anger","Emotion"
"29",602,"Fee",15,"Negative","Sentiment"
"30",6,"Budget",14,"Trust","Emotion"
"31",44,"County",14,"Trust","Emotion"
"32",471,"Debt",14,"Negative","Sentiment"
"33",471,"Debt",14,"Sadness","Emotion"
"34",12,"Community",13,"Positive","Sentiment"
"35",89,"County",13,"Trust","Emotion"
"36",596,"Tax",13,"Negative","Sentiment"
"37",596,"Tax",13,"Sadness","Emotion"
"38",21,"County",12,"Trust","Emotion"
"39",565,"Tax",12,"Negative","Sentiment"
"40",565,"Tax",12,"Sadness","Emotion"
"41",582,"County",12,"Trust","Emotion"
"42",583,"County",12,"Trust","Emotion"
"43",586,"County",12,"Trust","Emotion"
"44",587,"County",12,"Trust","Emotion"
"45",589,"Risk",12,"Anticipation","Emotion"
"46",589,"Risk",12,"Fear","Emotion"
"47",589,"Risk",12,"Negative","Sentiment"
"48",601,"Fee",12,"Anger","Emotion"
"49",601,"Fee",12,"Negative","Sentiment"
"50",28,"Budget",11,"Trust","Emotion"
"51",98,"Tax",11,"Negative","Sentiment"
"52",98,"Tax",11,"Sadness","Emotion"
"53",483,"Library",11,"Positive","Sentiment"
"54",567,"County",11,"Trust","Emotion"
"55",584,"Debt",11,"Negative","Sentiment"
"56",584,"Debt",11,"Sadness","Emotion"
"57",588,"County",11,"Trust","Emotion"
"58",7,"Budget",10,"Trust","Emotion"
"59",17,"Budget",10,"Trust","Emotion"
"60",24,"Debt",10,"Negative","Sentiment"
"61",24,"Debt",10,"Sadness","Emotion"
"62",84,"Recreation",10,"Anticipation","Emotion"
"63",84,"Recreation",10,"Joy","Emotion"
"64",84,"Recreation",10,"Positive","Sentiment"
"65",102,"County",10,"Trust","Emotion"
"66",533,"Jail",10,"Fear","Emotion"
"67",533,"Jail",10,"Negative","Sentiment"
"68",533,"Jail",10,"Sadness","Emotion"
"69",535,"Library",10,"Positive","Sentiment"
"70",566,"Fire",10,"Fear","Emotion"
"71",587,"Exchange",10,"Positive","Sentiment"
"72",587,"Interest",10,"Positive","Sentiment"
"73",587,"Exchange",10,"Trust","Emotion"
"74",589,"Interest",10,"Positive","Sentiment"
"75",592,"General",10,"Positive","Sentiment"
"76",592,"General",10,"Trust","Emotion"
"77",596,"County",10,"Trust","Emotion"
"78",608,"Debt",10,"Negative","Sentiment"
"79",608,"Debt",10,"Sadness","Emotion"
"80",15,"County",9,"Trust","Emotion"
"81",83,"Budget",9,"Trust","Emotion"
"82",90,"Tax",9,"Negative","Sentiment"
"83",90,"Tax",9,"Sadness","Emotion"
"84",95,"Fire",9,"Fear","Emotion"
"85",106,"Debt",9,"Negative","Sentiment"
"86",106,"Debt",9,"Sadness","Emotion"
"87",110,"Reserve",9,"Positive","Sentiment"
"88",331,"Library",9,"Positive","Sentiment"
"89",395,"Mail",9,"Anticipation","Emotion"
"90",466,"County",9,"Trust","Emotion"
"91",479,"Renovation",9,"Anticipation","Emotion"
"92",479,"Renovation",9,"Joy","Emotion"
"93",479,"Renovation",9,"Positive","Sentiment"
"94",566,"County",9,"Trust","Emotion"
"95",568,"Board",9,"Anticipation","Emotion"
"96",576,"Debt",9,"Negative","Sentiment"
"97",576,"Debt",9,"Sadness","Emotion"
"98",584,"County",9,"Trust","Emotion"
"99",585,"County",9,"Trust","Emotion"
"100",588,"Agreement",9,"Positive","Sentiment"
