"","page_number","word"
"1",1,"adopted"
"2",1,"operating"
"3",1,"budget"
"4",1,"and"
"5",1,"community"
"6",1,"improvement"
"7",1,"plan"
"8",1,"for"
"9",1,"the"
"10",1,"fiscal"
"11",1,"year"
"12",1,"july"
"13",1,"through"
"14",1,"june"
"15",2,"fiscal"
"16",2,"year"
"17",2,"adopted"
"18",2,"budget"
"19",3,"table"
"20",3,"of"
"21",3,"contents"
"22",3,"gfoa"
"23",3,"distinguished"
"24",3,"budget"
"25",3,"county"
"26",3,"manager"
"27",3,"presentation"
"28",3,"award"
"29",3,"county"
"30",3,"attorney"
"31",3,"gfoa"
"32",3,"distinguished"
"33",3,"budget"
"34",3,"presentation"
"35",3,"award"
"36",3,"board"
"37",3,"of"
"38",3,"elections"
"39",3,"budget"
"40",3,"and"
"41",3,"management"
"42",3,"services"
"43",3,"wake"
"44",3,"county"
"45",3,"government"
"46",3,"facilities"
"47",3,"design"
"48",3,"construction"
"49",3,"board"
"50",3,"of"
"51",3,"county"
"52",3,"commissioners"
"53",3,"finance"
"54",3,"department"
"55",3,"wake"
"56",3,"county"
"57",3,"government"
"58",3,"organizational"
"59",3,"chart"
"60",3,"human"
"61",3,"resources"
"62",3,"goals"
"63",3,"objectives"
"64",3,"initiatives"
"65",3,"information"
"66",3,"services"
"67",3,"register"
"68",3,"of"
"69",3,"deeds"
"70",3,"budget"
"71",3,"message"
"72",3,"revenue"
"73",3,"department"
"74",3,"quasigovernmental"
"75",3,"ordinances"
"76",3,"soil"
"77",3,"water"
"78",3,"conservation"
"79",3,"district"
"80",3,"cooperative"
"81",3,"extension"
"82",3,"executive"
"83",3,"summary"
"84",3,"general"
"85",3,"fund"
"86",3,"overview"
"87",3,"community"
"88",3,"services"
"89",3,"revenue"
"90",3,"overview"
"91",3,"community"
"92",3,"services"
"93",3,"management"
"94",3,"and"
"95",3,"budget"
"96",3,"office"
"97",3,"expenditure"
"98",3,"overview"
"99",3,"wake"
"100",3,"county"
"101",3,"public"
"102",3,"school"
"103",3,"system"
"104",3,"parks"
"105",3,"recreation"
"106",3,"and"
"107",3,"open"
"108",3,"space"
"109",3,"wake"
"110",3,"county"
"111",3,"community"
"112",3,"college"
"113",3,"planning"
"114",3,"development"
"115",3,"and"
"116",3,"inspections"
"117",3,"capital"
"118",3,"and"
"119",3,"debt"
"120",3,"service"
"121",3,"transfersallocations"
"122",3,"veterans"
"123",3,"services"
"124",3,"county"
"125",3,"departments"
"126",3,"geographic"
"127",3,"information"
"128",3,"services"
"129",3,"annual"
"130",3,"operating"
"131",3,"funds"
"132",3,"libraries"
"133",3,"fy"
"134",3,"capital"
"135",3,"improvement"
"136",3,"program"
"137",3,"county"
"138",3,"department"
"139",3,"general"
"140",3,"fund"
"141",3,"requests"
"142",3,"funded"
"143",3,"environmental"
"144",3,"services"
"145",3,"general"
"146",3,"fund"
"147",3,"requests"
"148",3,"not"
"149",3,"funded"
"150",3,"environmental"
"151",3,"services"
"152",3,"administration"
"153",3,"personnel"
"154",3,"summary"
"155",3,"environmental"
"156",3,"health"
"157",3,"safety"
"158",3,"personnel"
"159",3,"changes"
"160",3,"summary"
"161",3,"water"
"162",3,"quality"
"163",3,"animal"
"164",3,"care"
"165",3,"control"
"166",3,"and"
"167",3,"adoption"
"168",3,"center"
"169",3,"processes"
"170",3,"and"
"171",3,"policies"
"172",3,"readers"
"173",3,"guide"
"174",3,"to"
"175",3,"the"
"176",3,"budget"
"177",3,"general"
"178",3,"services"
"179",3,"administration"
"180",3,"budget"
"181",3,"process"
"182",3,"administration"
"183",3,"support"
"184",3,"budget"
"185",3,"calendar"
"186",3,"for"
"187",3,"fiscal"
"188",3,"year"
"189",3,"physical"
"190",3,"plant"
"191",3,"fund"
"192",3,"structure"
"193",3,"central"
"194",3,"services"
"195",3,"fund"
"196",3,"structure"
