"","page_number","word","sent_count","sentiment","category"
"1",367,"Budget",28,"Trust","Emotion"
"2",10,"Budget",24,"Trust","Emotion"
"3",110,"County",24,"Trust","Emotion"
"4",270,"Recreation",21,"Anticipation","Emotion"
"5",270,"Recreation",21,"Joy","Emotion"
"6",270,"Recreation",21,"Positive","Sentiment"
"7",104,"Tax",20,"Negative","Sentiment"
"8",104,"Tax",20,"Sadness","Emotion"
"9",239,"Fire",20,"Fear","Emotion"
"10",286,"Waste",20,"Disgust","Emotion"
"11",286,"Waste",20,"Negative","Sentiment"
"12",313,"Series",20,"Trust","Emotion"
"13",66,"Budget",19,"Trust","Emotion"
"14",115,"Sewer",19,"Disgust","Emotion"
"15",270,"Center",18,"Positive","Sentiment"
"16",270,"Center",18,"Trust","Emotion"
"17",67,"Budget",17,"Trust","Emotion"
"18",240,"Fire",16,"Fear","Emotion"
"19",217,"Community",15,"Positive","Sentiment"
"20",9,"Grant",14,"Anticipation","Emotion"
"21",9,"Grant",14,"Joy","Emotion"
"22",9,"Grant",14,"Positive","Sentiment"
"23",9,"Grant",14,"Trust","Emotion"
"24",9,"Ordinance",14,"Trust","Emotion"
"25",11,"Budget",14,"Trust","Emotion"
"26",93,"Tax",14,"Negative","Sentiment"
"27",93,"Tax",14,"Sadness","Emotion"
"28",94,"Tax",14,"Negative","Sentiment"
"29",94,"Tax",14,"Sadness","Emotion"
"30",141,"Legal",14,"Positive","Sentiment"
"31",141,"Legal",14,"Trust","Emotion"
"32",285,"Waste",14,"Disgust","Emotion"
"33",285,"Waste",14,"Negative","Sentiment"
"34",214,"Art",13,"Anticipation","Emotion"
"35",214,"Art",13,"Joy","Emotion"
"36",214,"Art",13,"Positive","Sentiment"
"37",214,"Art",13,"Sadness","Emotion"
"38",214,"Art",13,"Surprise","Emotion"
"39",238,"Fire",13,"Fear","Emotion"
"40",255,"Fleet",13,"Positive","Sentiment"
"41",268,"Management",13,"Positive","Sentiment"
"42",268,"Management",13,"Trust","Emotion"
"43",402,"University",13,"Anticipation","Emotion"
"44",402,"University",13,"Positive","Sentiment"
"45",95,"Balance",12,"Positive","Sentiment"
"46",235,"Emergency",12,"Fear","Emotion"
"47",235,"Emergency",12,"Negative","Sentiment"
"48",235,"Emergency",12,"Sadness","Emotion"
"49",235,"Emergency",12,"Surprise","Emotion"
"50",301,"Maintenance",12,"Trust","Emotion"
"51",313,"Bonds",12,"Negative","Sentiment"
"52",108,"Fire",11,"Fear","Emotion"
"53",112,"Debt",11,"Negative","Sentiment"
"54",112,"Debt",11,"Sadness","Emotion"
"55",190,"Center",11,"Positive","Sentiment"
"56",190,"Center",11,"Trust","Emotion"
"57",193,"Planning",11,"Anticipation","Emotion"
"58",193,"Planning",11,"Positive","Sentiment"
"59",193,"County",11,"Trust","Emotion"
"60",193,"Planning",11,"Trust","Emotion"
"61",214,"Facilitate",11,"Positive","Sentiment"
"62",246,"Responsible",11,"Positive","Sentiment"
"63",246,"Responsible",11,"Trust","Emotion"
"64",257,"Maintenance",11,"Trust","Emotion"
"65",303,"Continue",11,"Anticipation","Emotion"
"66",303,"Continue",11,"Positive","Sentiment"
"67",303,"Continue",11,"Trust","Emotion"
"68",404,"Duke",11,"Positive","Sentiment"
"69",405,"Duke",11,"Positive","Sentiment"
"70",76,"Debt",10,"Negative","Sentiment"
"71",76,"Debt",10,"Sadness","Emotion"
"72",105,"Tax",10,"Negative","Sentiment"
"73",105,"Tax",10,"Sadness","Emotion"
"74",117,"Sewer",10,"Disgust","Emotion"
"75",175,"Team",10,"Trust","Emotion"
"76",181,"Management",10,"Positive","Sentiment"
"77",181,"Management",10,"Trust","Emotion"
"78",231,"Emergency",10,"Fear","Emotion"
"79",231,"Emergency",10,"Negative","Sentiment"
"80",231,"Emergency",10,"Sadness","Emotion"
"81",231,"Emergency",10,"Surprise","Emotion"
"82",238,"Medical",10,"Anticipation","Emotion"
"83",238,"Medical",10,"Fear","Emotion"
"84",238,"Medical",10,"Positive","Sentiment"
"85",238,"Medical",10,"Trust","Emotion"
"86",255,"Fire",10,"Fear","Emotion"
"87",256,"Fleet",10,"Positive","Sentiment"
"88",257,"Fleet",10,"Positive","Sentiment"
"89",301,"Sewer",10,"Disgust","Emotion"
"90",311,"Debt",10,"Negative","Sentiment"
"91",311,"Debt",10,"Sadness","Emotion"
