"","page_number","word","sent_count","sentiment","category"
"1",447,"Fire",46,"Fear","Emotion"
"2",302,"Fire",44,"Fear","Emotion"
"3",303,"Fire",36,"Fear","Emotion"
"4",444,"Fire",31,"Fear","Emotion"
"5",389,"County",30,"Trust","Emotion"
"6",439,"Fire",29,"Fear","Emotion"
"7",441,"Fire",29,"Fear","Emotion"
"8",36,"Budget",22,"Trust","Emotion"
"9",35,"County",21,"Trust","Emotion"
"10",244,"County",21,"Trust","Emotion"
"11",29,"Budget",20,"Trust","Emotion"
"12",34,"Budget",20,"Trust","Emotion"
"13",35,"Budget",19,"Trust","Emotion"
"14",97,"Tax",19,"Negative","Sentiment"
"15",97,"Tax",19,"Sadness","Emotion"
"16",295,"Debt",18,"Negative","Sentiment"
"17",295,"Debt",18,"Sadness","Emotion"
"18",438,"Fire",17,"Fear","Emotion"
"19",100,"Balance",16,"Positive","Sentiment"
"20",321,"Building",16,"Positive","Sentiment"
"21",442,"Fire",16,"Fear","Emotion"
"22",457,"Trade",16,"Trust","Emotion"
"23",324,"Building",15,"Positive","Sentiment"
"24",330,"Building",15,"Positive","Sentiment"
"25",374,"School",15,"Trust","Emotion"
"26",445,"Fire",15,"Fear","Emotion"
"27",462,"Full",15,"Positive","Sentiment"
"28",296,"Debt",14,"Negative","Sentiment"
"29",296,"Debt",14,"Sadness","Emotion"
"30",329,"Building",14,"Positive","Sentiment"
"31",332,"Building",14,"Positive","Sentiment"
"32",333,"Building",14,"Positive","Sentiment"
"33",25,"County",13,"Trust","Emotion"
"34",78,"County",13,"Trust","Emotion"
"35",93,"Tax",13,"Negative","Sentiment"
"36",93,"Tax",13,"Sadness","Emotion"
"37",322,"Building",13,"Positive","Sentiment"
"38",325,"Interior",13,"Disgust","Emotion"
"39",325,"Building",13,"Positive","Sentiment"
"40",325,"Interior",13,"Positive","Sentiment"
"41",325,"Interior",13,"Trust","Emotion"
"42",328,"Interior",13,"Disgust","Emotion"
"43",328,"Building",13,"Positive","Sentiment"
"44",328,"Interior",13,"Positive","Sentiment"
"45",328,"Interior",13,"Trust","Emotion"
"46",329,"Interior",13,"Disgust","Emotion"
"47",329,"Interior",13,"Positive","Sentiment"
"48",329,"Interior",13,"Trust","Emotion"
"49",456,"Fee",13,"Anger","Emotion"
"50",456,"Fee",13,"Negative","Sentiment"
"51",33,"Budget",12,"Trust","Emotion"
"52",35,"Board",12,"Anticipation","Emotion"
"53",39,"Budget",12,"Trust","Emotion"
"54",42,"County",12,"Trust","Emotion"
