"","page_number","word"
"1",1,"adopted"
"2",1,"budget"
"3",1,"fy"
"4",2,"durham"
"5",2,"county"
"6",2,"north"
"7",2,"carolina"
"8",2,"fy"
"9",2,"approved"
"10",2,"budget"
"11",2,"board"
"12",2,"of"
"13",2,"county"
"14",2,"commissioners"
"15",2,"wendy"
"16",2,"jacobs"
"17",2,"chair"
"18",2,"james"
"19",2,"hill"
"20",2,"vicechair"
"21",2,"heidi"
"22",2,"carter"
"23",2,"brenda"
"24",2,"howerton"
"25",2,"ellen"
"26",2,"w"
"27",2,"reckhow"
"28",2,"county"
"29",2,"officials"
"30",2,"budget"
"31",2,"and"
"32",2,"management"
"33",2,"staff"
"34",2,"wendell"
"35",2,"davis"
"36",2,"county"
"37",2,"manager"
"38",2,"drew"
"39",2,"cummings"
"40",2,"chief"
"41",2,"of"
"42",2,"staff"
"43",2,"s"
"44",2,"keith"
"45",2,"lane"
"46",2,"budget"
"47",2,"director"
"48",2,"claudia"
"49",2,"hager"
"50",2,"general"
"51",2,"manager"
"52",2,"lowell"
"53",2,"siler"
"54",2,"county"
"55",2,"attorney"
"56",2,"kim"
"57",2,"connally"
"58",2,"sr"
"59",2,"budget"
"60",2,"analyst"
"61",2,"jay"
"62",2,"gibson"
"63",2,"general"
"64",2,"manager"
"65",2,"terri"
"66",2,"hugie"
"67",2,"clerk"
"68",2,"to"
"69",2,"the"
"70",2,"board"
"71",2,"david"
"72",2,"ades"
"73",2,"budget"
"74",2,"analyst"
"75",2,"ii"
"76",2,"jodi"
"77",2,"miller"
"78",2,"general"
"79",2,"manager"
"80",2,"susan"
"81",2,"tezai"
"82",2,"chief"
"83",2,"financial"
"84",2,"officer"
"85",2,"josh"
"86",2,"edwards"
"87",2,"budget"
"88",2,"analyst"
"89",2,"gayle"
"90",2,"harris"
"91",2,"general"
"92",2,"manager"
"93",2,"bethany"
"94",2,"shewmaker"
"95",2,"performance"
"96",2,"analyst"
"97",2,"deborah"
"98",2,"craigray"
"99",2,"general"
"100",2,"manager"
"101",2,"matt"
"102",2,"schnars"
"103",2,"performance"
"104",2,"analyst"
"105",3,"citizens"
"106",3,"county"
"107",3,"bocc"
"108",3,"clerk"
"109",3,"to"
"110",3,"board"
"111",3,"attorney"
"112",3,"tax"
"113",3,"administrator"
"114",3,"county"
"115",3,"human"
"116",3,"manager"
"117",3,"internal"
"118",3,"resources"
"119",3,"auditor"
"120",3,"chief"
"121",3,"of"
"122",3,"staff"
"123",3,"goal"
"124",3,"goal"
"125",3,"goal"
"126",3,"goal"
"127",3,"goal"
"128",3,"accountable"
"129",3,"community"
"130",3,"health"
"131",3,"safe"
"132",3,"secure"
"133",3,"environmental"
"134",3,"efficient"
"135",3,"family"
"136",3,"wellbeing"
"137",3,"for"
"138",3,"community"
"139",3,"stewardship"
"140",3,"visionary"
"141",3,"prosperity"
"142",3,"all"
"143",3,"government"
"144",3,"gm"
"145",3,"strategic"
"146",3,"mgmt"
"147",3,"gm"
"148",3,"environmental"
"149",3,"gm"
"150",3,"fin"
"151",3,"affairs"
"152",3,"gm"
"153",3,"public"
"154",3,"health"
"155",3,"gm"
"156",3,"cmty"
"157",3,"public"
"158",3,"public"
"159",3,"affairs"
"160",3,"stewardship"
"161",3,"process"
"162",3,"impvm"
"163",3,"cmty"
"164",3,"wellbeing"
"165",3,"safety"
"166",3,"special"
"167",3,"projects"
"168",3,"cmty"
"169",3,"prosperity"
"170",3,"gov"
"171",3,"efficency"
"172",3,"strategic"
"173",3,"sheriff"
"174",3,"offices"
"175",3,"citycounty"
"176",3,"planning"
"177",3,"public"
"178",3,"health"
"179",3,"jail"
"180",3,"finance"
"181",3,"planning"
"182",3,"innovation"
"183",3,"operations"
"184",3,"public"
"185",3,"citycounty"
"186",3,"budget"
"187",3,"social"
"188",3,"svcs"
"189",3,"fire"
"190",3,"marshal"
"191",3,"information"
"192",3,"gis"
"193",3,"mgmt"
"194",3,"svcs"
"195",3,"legislative"
"196",3,"emergency"
"197",3,"citycounty"
"198",3,"information"
"199",3,"cooperative"
"200",3,"tech"
"201",3,"sap"
"202",3,"svcs"
"203",3,"extension"
"204",3,"mgmt"
"205",3,"inspections"
"206",3,"advocacy"
"207",3,"shared"
"208",3,"svcs"
"209",3,"e"
"210",3,"youth"
"211",3,"economic"
"212",3,"tax"
"213",3,"veteran"
"214",3,"svcs"
"215",3,"emergency"
"216",3,"initiatives"
"217",3,"development"
"218",3,"administration"
"219",3,"comm"
"220",3,"liaisonalliance"
"221",3,"county"
"222",3,"durham"
"223",3,"public"
"224",3,"forest"
"225",3,"general"
"226",3,"svcs"
"227",3,"behavioral"
"228",3,"engineering"
"229",3,"schools"
"230",3,"protection"
"231",3,"svcs"
"232",3,"youth"
"233",3,"soil"
"234",3,"water"
"235",3,"board"
"236",3,"of"
"237",3,"housing"
"238",3,"libraries"
"239",3,"detention"
"240",3,"conservation"
"241",3,"elections"
"242",3,"programs"
"243",3,"home"
"244",3,"district"
"245",3,"emergency"
"246",3,"register"
"247",3,"of"
"248",3,"mgmt"
"249",3,"deeds"
"250",3,"reporting"
"251",3,"medical"
"252",3,"svcs"
"253",3,"board"
"254",3,"request"
"255",3,"cjrc"
"256",3,"constituent"
"257",3,"svcs"
"258",3,"special"
"259",3,"programs"
"260",4,"government"
"261",4,"finance"
"262",4,"officers"
"263",4,"association"
"264",4,"distinguished"
"265",4,"budget"
"266",4,"presentation"
"267",4,"award"
"268",4,"presented"
"269",4,"to"
"270",4,"durham"
"271",4,"county"
"272",4,"north"
"273",4,"carolina"
"274",4,"for"
"275",4,"the"
"276",4,"fiscal"
"277",4,"year"
"278",4,"beginning"
"279",4,"july"
"280",4,"executive"
"281",4,"director"
"282",4,"the"
"283",4,"government"
"284",4,"finance"
"285",4,"officers"
"286",4,"association"
"287",4,"of"
"288",4,"the"
"289",4,"united"
"290",4,"states"
"291",4,"and"
"292",4,"canada"
"293",4,"gfoa"
"294",4,"presented"
"295",4,"a"
"296",4,"distinguished"
"297",4,"budget"
"298",4,"presentation"
"299",4,"award"
"300",4,"to"
"301",4,"durham"
"302",4,"county"
"303",4,"north"
"304",4,"carolina"
"305",4,"for"
"306",4,"its"
"307",4,"annual"
"308",4,"budget"
"309",4,"for"
"310",4,"the"
"311",4,"fiscal"
"312",4,"year"
"313",4,"beginning"
"314",4,"july"
"315",4,"i"
"316",4,"in"
"317",4,"order"
"318",4,"to"
"319",4,"receive"
"320",4,"this"
"321",4,"award"
"322",4,"a"
"323",4,"governmental"
"324",4,"unit"
"325",4,"must"
"326",4,"publish"
"327",4,"a"
"328",4,"budget"
"329",4,"document"
"330",4,"that"
"331",4,"meets"
"332",4,"program"
"333",4,"criteria"
"334",4,"as"
"335",4,"a"
"336",4,"policy"
"337",4,"document"
"338",4,"as"
"339",4,"an"
"340",4,"operations"
"341",4,"guide"
"342",4,"as"
"343",4,"a"
"344",4,"financial"
"345",4,"plan"
"346",4,"and"
"347",4,"as"
"348",4,"a"
"349",4,"communications"
"350",4,"device"
"351",4,"this"
"352",4,"award"
"353",4,"is"
"354",4,"valid"
"355",4,"for"
"356",4,"a"
"357",4,"period"
"358",4,"of"
"359",4,"one"
"360",4,"year"
"361",4,"only"
"362",4,"we"
"363",4,"believe"
"364",4,"our"
"365",4,"current"
"366",4,"budget"
"367",4,"continues"
"368",4,"to"
"369",4,"conform"
"370",4,"to"
"371",4,"program"
"372",4,"requirements"
"373",4,"and"
"374",4,"we"
"375",4,"are"
"376",4,"submitting"
"377",4,"it"
"378",4,"to"
"379",4,"gfoa"
"380",4,"to"
"381",4,"determine"
"382",4,"its"
"383",4,"eligibility"
"384",4,"for"
"385",4,"another"
"386",4,"award"
"387",5,"readers"
"388",5,"guide"
"389",5,"this"
"390",5,"section"
"391",5,"is"
"392",5,"designed"
"393",5,"to"
"394",5,"help"
"395",5,"the"
"396",5,"reader"
"397",5,"understand"
"398",5,"the"
"399",5,"budget"
"400",5,"by"
"401",5,"explaining"
"402",5,"how"
"403",5,"the"
"404",5,"document"
"405",5,"is"
"406",5,"organized"
"407",5,"this"
"408",5,"document"
"409",5,"is"
"410",5,"a"
"411",5,"financial"
"412",5,"plan"
"413",5,"for"
"414",5,"durham"
"415",5,"county"
"416",5,"government"
"417",5,"operations"
"418",5,"for"
"419",5,"the"
"420",5,"july"
"421",5,"through"
"422",5,"june"
"423",5,"fiscal"
"424",5,"year"
"425",5,"and"
"426",5,"shows"
"427",5,"how"
"428",5,"funds"
"429",5,"are"
"430",5,"allocated"
"431",5,"and"
"432",5,"how"
"433",5,"they"
"434",5,"will"
"435",5,"be"
"436",5,"spent"
"437",5,"fund"
"438",5,"structure"
"439",5,"the"
"440",5,"durham"
"441",5,"county"
"442",5,"operating"
"443",5,"budget"
"444",5,"is"
"445",5,"organized"
"446",5,"into"
"447",5,"funds"
"448",5,"with"
"449",5,"corresponding"
"450",5,"tabs"
"451",5,"in"
"452",5,"this"
"453",5,"document"
"454",5,"the"
"455",5,"general"
"456",5,"fund"
"457",5,"fund"
"458",5,"is"
"459",5,"the"
"460",5,"primary"
"461",5,"fund"
"462",5,"where"
"463",5,"the"
"464",5,"majority"
"465",5,"of"
"466",5,"county"
"467",5,"services"
"468",5,"are"
"469",5,"accounted"
"470",5,"the"
"471",5,"general"
"472",5,"fund"
"473",5,"is"
"474",5,"further"
"475",5,"divided"
"476",5,"into"
"477",5,"functional"
"478",5,"areas"
"479",5,"which"
"480",5,"include"
"481",5,"general"
"482",5,"government"
"483",5,"public"
"484",5,"safety"
"485",5,"transportation"
"486",5,"environmental"
"487",5,"protection"
"488",5,"economicphysical"
"489",5,"development"
"490",5,"human"
"491",5,"services"
"492",5,"education"
"493",5,"and"
"494",5,"culture"
"495",5,"and"
"496",5,"recreation"
"497",5,"each"
"498",5,"functional"
"499",5,"area"
"500",5,"is"
"501",5,"comprised"
"502",5,"of"
"503",5,"at"
"504",5,"least"
"505",5,"one"
"506",5,"business"
"507",5,"area"
"508",5,"which"
"509",5,"represents"
"510",5,"either"
"511",5,"a"
"512",5,"county"
"513",5,"department"
"514",5,"or"
"515",5,"a"
"516",5,"budgetary"
"517",5,"unit"
"518",5,"within"
"519",5,"each"
"520",5,"business"
"521",5,"area"
"522",5,"there"
"523",5,"may"
"524",5,"be"
"525",5,"one"
"526",5,"or"
"527",5,"more"
"528",5,"fund"
"529",5,"centers"
"530",5,"in"
"531",5,"which"
"532",5,"funds"
"533",5,"are"
"534",5,"budgeted"
"535",5,"to"
"536",5,"show"
"537",5,"the"
"538",5,"expenditures"
"539",5,"and"
"540",5,"revenues"
"541",5,"associated"
"542",5,"with"
"543",5,"a"
"544",5,"particular"
"545",5,"program"
"546",5,"within"
"547",5,"a"
"548",5,"county"
"549",5,"department"
"550",5,"or"
"551",5,"activity"
"552",5,"within"
"553",5,"a"
"554",5,"budgetary"
"555",5,"unit"
"556",5,"each"
"557",5,"department"
"558",5,"or"
"559",5,"program"
"560",5,"summary"
"561",5,"contains"
"562",5,"a"
"563",5,"description"
"564",5,"accomplishments"
"565",5,"of"
"566",5,"the"
"567",5,"past"
"568",5,"fiscal"
"569",5,"year"
"570",5,"performance"
"571",5,"measures"
"572",5,"a"
"573",5,"budget"
"574",5,"summary"
"575",5,"and"
"576",5,"the"
"577",5,"number"
"578",5,"of"
"579",5,"authorized"
"580",5,"personnel"
"581",5,"in"
"582",5,"fulltime"
"583",5,"equivalent"
"584",5,"fte"
"585",5,"positions"
"586",5,"departments"
"587",5,"with"
"588",5,"more"
"589",5,"than"
"590",5,"one"
"591",5,"program"
"592",5,"have"
"593",5,"a"
"594",5,"business"
"595",5,"area"
"596",5,"summary"
"597",5,"sheet"
"598",5,"that"
"599",5,"precedes"
"600",5,"the"
"601",5,"programs"
"602",5,"each"
"603",5,"fund"
"604",5,"center"
"605",5,"is"
"606",5,"represented"
"607",5,"by"
"608",5,"a"
"609",5,"summary"
"610",5,"of"
"611",5,"appropriations"
"612",5,"in"
"613",5,"the"
"614",5,"following"
"615",5,"categories"
"616",5,"of"
"617",5,"expenditures"
"618",5,"personnel"
"619",5,"services"
"620",5,"personnel"
"621",5,"services"
"622",5,"in"
"623",5,"this"
"624",5,"document"
"625",5,"refer"
"626",5,"to"
"627",5,"the"
"628",5,"costs"
"629",5,"associated"
"630",5,"with"
"631",5,"personnel"
"632",5,"such"
"633",5,"as"
"634",5,"salaries"
"635",5,"and"
"636",5,"benefits"
"637",5,"operating"
"638",5,"expenses"
"639",5,"operating"
"640",5,"expenses"
"641",5,"in"
"642",5,"this"
"643",5,"document"
"644",5,"refer"
"645",5,"to"
"646",5,"the"
"647",5,"costs"
"648",5,"of"
"649",5,"daily"
"650",5,"operations"
"651",5,"such"
"652",5,"as"
"653",5,"office"
"654",5,"supplies"
"655",5,"travel"
"656",5,"telephone"
"657",5,"etc"
"658",5,"for"
"659",5,"a"
"660",5,"department"
"661",5,"or"
"662",5,"program"
"663",5,"capital"
"664",5,"outlay"
"665",5,"capital"
"666",5,"outlay"
"667",5,"refers"
"668",5,"to"
"669",5,"a"
"670",5,"fixed"
"671",5,"asset"
"672",5,"with"
"673",5,"an"
"674",5,"estimated"
"675",5,"purchase"
"676",5,"price"
"677",5,"of"
"678",5,"or"
"679",5,"more"
"680",5,"and"
"681",5,"a"
"682",5,"useful"
"683",5,"life"
"684",5,"of"
"685",5,"more"
"686",5,"than"
"687",5,"one"
"688",5,"year"
"689",5,"these"
"690",5,"items"
"691",5,"typically"
"692",5,"include"
"693",5,"furniture"
"694",5,"office"
"695",5,"equipment"
"696",5,"automobiles"
"697",5,"and"
"698",5,"other"
"699",5,"capital"
"700",5,"equipment"
"701",5,"items"
"702",5,"in"
"703",5,"excess"
"704",5,"of"
"705",5,"with"
"706",5,"a"
"707",5,"useful"
"708",5,"life"
"709",5,"of"
"710",5,"years"
"711",5,"such"
"712",5,"as"
"713",5,"buildings"
"714",5,"are"
"715",5,"included"
"716",5,"in"
"717",5,"the"
"718",5,"countys"
"719",5,"capital"
"720",5,"improvement"
"721",5,"plan"
"722",5,"cip"
"723",5,"the"
"724",5,"remaining"
"725",5,"budgeted"
"726",5,"funds"
"727",5,"are"
"728",5,"described"
"729",5,"below"
"730",5,"other"
"731",5,"general"
"732",5,"funds"
"733",5,"risk"
"734",5,"management"
"735",5,"fund"
"736",5,"this"
"737",5,"fund"
"738",5,"focuses"
"739",5,"on"
"740",5,"minimizing"
"741",5,"operational"
"742",5,"risks"
"743",5,"and"
"744",5,"promoting"
"745",5,"workplace"
"746",5,"safety"
"747",5,"swap"
"748",5,"fund"
"749",5,"fund"
"750",5,"this"
"751",5,"fund"
"752",5,"represents"
"753",5,"a"
"754",5,"complicated"
"755",5,"financial"
"756",5,"agreement"
"757",5,"based"
"758",5,"on"
"759",5,"outstanding"
"760",5,"debt"
"761",5,"see"
"762",5,"page"
"763",5,"of"
"764",5,"the"
"765",5,"document"
"766",5,"that"
