"","page_number","word","sent_count","sentiment","category"
"1",202,"Fee",45,"Anger","Emotion"
"2",202,"Fee",45,"Negative","Sentiment"
"3",153,"Center",37,"Positive","Sentiment"
"4",153,"Center",37,"Trust","Emotion"
"5",203,"Fee",36,"Anger","Emotion"
"6",203,"Fee",36,"Negative","Sentiment"
"7",217,"Tree",36,"Anger","Emotion"
"8",217,"Tree",36,"Anticipation","Emotion"
"9",217,"Tree",36,"Disgust","Emotion"
"10",217,"Tree",36,"Joy","Emotion"
"11",217,"Tree",36,"Positive","Sentiment"
"12",217,"Tree",36,"Surprise","Emotion"
"13",217,"Tree",36,"Trust","Emotion"
"14",215,"Fee",33,"Anger","Emotion"
"15",215,"Fee",33,"Negative","Sentiment"
"16",15,"Budget",30,"Trust","Emotion"
"17",179,"Debt",30,"Negative","Sentiment"
"18",179,"Debt",30,"Sadness","Emotion"
"19",198,"Fee",29,"Anger","Emotion"
"20",198,"Fee",29,"Negative","Sentiment"
"21",77,"Tax",24,"Negative","Sentiment"
"22",77,"Tax",24,"Sadness","Emotion"
"23",181,"Bonds",24,"Negative","Sentiment"
"24",153,"Community",23,"Positive","Sentiment"
"25",198,"Building",23,"Positive","Sentiment"
"26",210,"Fire",23,"Fear","Emotion"
"27",201,"Fee",22,"Anger","Emotion"
"28",201,"Fee",22,"Negative","Sentiment"
"29",202,"Obstruction",22,"Negative","Sentiment"
"30",216,"Fee",22,"Anger","Emotion"
"31",216,"Fee",22,"Negative","Sentiment"
"32",16,"Budget",21,"Trust","Emotion"
"33",148,"Fire",21,"Fear","Emotion"
"34",161,"Center",21,"Positive","Sentiment"
"35",161,"Center",21,"Trust","Emotion"
"36",181,"Council",21,"Anticipation","Emotion"
"37",181,"Council",21,"Positive","Sentiment"
"38",181,"Council",21,"Trust","Emotion"
"39",220,"Minimum",21,"Negative","Sentiment"
"40",78,"Tax",20,"Negative","Sentiment"
"41",78,"Tax",20,"Sadness","Emotion"
"42",202,"Major",20,"Positive","Sentiment"
"43",293,"Pay",19,"Anticipation","Emotion"
"44",293,"Pay",19,"Joy","Emotion"
"45",293,"Pay",19,"Positive","Sentiment"
"46",293,"Pay",19,"Trust","Emotion"
"47",197,"Building",18,"Positive","Sentiment"
"48",210,"System",18,"Trust","Emotion"
"49",292,"Pay",18,"Anticipation","Emotion"
"50",292,"Pay",18,"Joy","Emotion"
"51",292,"Pay",18,"Positive","Sentiment"
"52",292,"Pay",18,"Trust","Emotion"
"53",202,"Closure",17,"Anticipation","Emotion"
"54",202,"Closure",17,"Joy","Emotion"
"55",202,"Closure",17,"Positive","Sentiment"
"56",202,"Closure",17,"Sadness","Emotion"
"57",290,"Pay",17,"Anticipation","Emotion"
"58",290,"Pay",17,"Joy","Emotion"
"59",290,"Pay",17,"Positive","Sentiment"
"60",290,"Pay",17,"Trust","Emotion"
"61",203,"Obstruction",16,"Negative","Sentiment"
"62",239,"Waste",16,"Disgust","Emotion"
"63",239,"Waste",16,"Negative","Sentiment"
"64",33,"Debt",15,"Negative","Sentiment"
"65",33,"Debt",15,"Sadness","Emotion"
"66",180,"Council",15,"Anticipation","Emotion"
"67",180,"Council",15,"Positive","Sentiment"
"68",180,"Council",15,"Trust","Emotion"
"69",202,"Greater",15,"Positive","Sentiment"
"70",217,"Conservation",15,"Anticipation","Emotion"
"71",217,"Conservation",15,"Positive","Sentiment"
"72",217,"Conservation",15,"Trust","Emotion"
"73",36,"Strategic",14,"Positive","Sentiment"
"74",182,"Debt",14,"Negative","Sentiment"
"75",182,"Debt",14,"Sadness","Emotion"
"76",212,"Building",14,"Positive","Sentiment"
"77",215,"Special",14,"Joy","Emotion"
"78",215,"Special",14,"Positive","Sentiment"
"79",217,"Fee",14,"Anger","Emotion"
"80",217,"Fee",14,"Negative","Sentiment"
"81",239,"Fee",14,"Anger","Emotion"
"82",239,"Fee",14,"Negative","Sentiment"
"83",272,"Sewer",14,"Disgust","Emotion"
"84",6,"Council",13,"Anticipation","Emotion"
"85",6,"Council",13,"Positive","Sentiment"
"86",6,"Council",13,"Trust","Emotion"
"87",19,"Budget",13,"Trust","Emotion"
"88",84,"Utility",13,"Positive","Sentiment"
"89",118,"Planning",13,"Anticipation","Emotion"
"90",118,"Planning",13,"Positive","Sentiment"
"91",118,"Planning",13,"Trust","Emotion"
"92",128,"Fleet",13,"Positive","Sentiment"
"93",151,"Community",13,"Positive","Sentiment"
"94",180,"Bonds",13,"Negative","Sentiment"
"95",209,"Fee",13,"Anger","Emotion"
"96",209,"Fee",13,"Negative","Sentiment"
"97",212,"Operation",13,"Fear","Emotion"
"98",212,"Operation",13,"Trust","Emotion"
"99",239,"Solid",13,"Positive","Sentiment"
"100",16,"Council",12,"Anticipation","Emotion"
"101",16,"Council",12,"Positive","Sentiment"
"102",16,"Council",12,"Trust","Emotion"
"103",27,"Population",12,"Positive","Sentiment"
"104",36,"Plan",12,"Anticipation","Emotion"
"105",85,"Waste",12,"Disgust","Emotion"
"106",85,"Waste",12,"Negative","Sentiment"
"107",133,"Waste",12,"Disgust","Emotion"
"108",133,"Waste",12,"Negative","Sentiment"
"109",160,"Center",12,"Positive","Sentiment"
"110",160,"Center",12,"Trust","Emotion"
"111",200,"Level",12,"Positive","Sentiment"
"112",200,"Level",12,"Trust","Emotion"
"113",203,"Major",12,"Positive","Sentiment"
"114",206,"Major",12,"Positive","Sentiment"
"115",213,"Operation",12,"Fear","Emotion"
"116",213,"Operation",12,"Trust","Emotion"
"117",294,"Pay",12,"Anticipation","Emotion"
"118",294,"Pay",12,"Joy","Emotion"
"119",294,"Pay",12,"Positive","Sentiment"
"120",294,"Pay",12,"Trust","Emotion"
"121",59,"Center",11,"Positive","Sentiment"
"122",59,"Center",11,"Trust","Emotion"
"123",60,"Appropriation",11,"Negative","Sentiment"
"124",61,"Appropriation",11,"Negative","Sentiment"
"125",69,"Balance",11,"Positive","Sentiment"
"126",85,"Solid",11,"Positive","Sentiment"
"127",188,"Budget",11,"Trust","Emotion"
"128",196,"Production",11,"Anticipation","Emotion"
"129",196,"Production",11,"Positive","Sentiment"
"130",197,"Fee",11,"Anger","Emotion"
"131",197,"Fee",11,"Negative","Sentiment"
"132",201,"Full",11,"Positive","Sentiment"
"133",201,"Major",11,"Positive","Sentiment"
"134",203,"Greater",11,"Positive","Sentiment"
"135",246,"Tax",11,"Negative","Sentiment"
"136",246,"Tax",11,"Sadness","Emotion"
"137",289,"Pay",11,"Anticipation","Emotion"
"138",289,"Pay",11,"Joy","Emotion"
"139",289,"Pay",11,"Positive","Sentiment"
"140",289,"Pay",11,"Trust","Emotion"
"141",290,"Job",11,"Positive","Sentiment"
"142",7,"Budget",10,"Trust","Emotion"
"143",14,"Budget",10,"Trust","Emotion"
"144",58,"Appropriation",10,"Negative","Sentiment"
"145",88,"Council",10,"Anticipation","Emotion"
"146",88,"Council",10,"Positive","Sentiment"
"147",88,"Council",10,"Trust","Emotion"
"148",151,"Police",10,"Fear","Emotion"
"149",151,"Police",10,"Positive","Sentiment"
"150",151,"Police",10,"Trust","Emotion"
"151",180,"Participation",10,"Positive","Sentiment"
"152",183,"Debt",10,"Negative","Sentiment"
"153",183,"Debt",10,"Sadness","Emotion"
"154",193,"Fact",10,"Trust","Emotion"
"155",199,"Trade",10,"Trust","Emotion"
"156",201,"Obstruction",10,"Negative","Sentiment"
"157",244,"Gross",10,"Disgust","Emotion"
"158",244,"Gross",10,"Negative","Sentiment"
"159",290,"Structure",10,"Positive","Sentiment"
"160",290,"Structure",10,"Trust","Emotion"
"161",298,"Pay",10,"Anticipation","Emotion"
"162",298,"Pay",10,"Joy","Emotion"
"163",298,"Pay",10,"Positive","Sentiment"
"164",298,"Pay",10,"Trust","Emotion"
"165",300,"Status",10,"Positive","Sentiment"
"166",308,"Pay",10,"Anticipation","Emotion"
"167",308,"Pay",10,"Joy","Emotion"
"168",308,"Pay",10,"Positive","Sentiment"
"169",308,"Pay",10,"Trust","Emotion"
"170",6,"Budget",9,"Trust","Emotion"
"171",10,"Community",9,"Positive","Sentiment"
"172",15,"Council",9,"Anticipation","Emotion"
"173",15,"Council",9,"Positive","Sentiment"
"174",15,"Council",9,"Trust","Emotion"
"175",21,"Budget",9,"Trust","Emotion"
"176",69,"General",9,"Positive","Sentiment"
"177",69,"General",9,"Trust","Emotion"
"178",72,"Specialist",9,"Trust","Emotion"
"179",100,"Budget",9,"Trust","Emotion"
"180",130,"Community",9,"Positive","Sentiment"
"181",131,"Community",9,"Positive","Sentiment"
"182",151,"Objective",9,"Anticipation","Emotion"
"183",151,"Objective",9,"Positive","Sentiment"
"184",151,"Objective",9,"Trust","Emotion"
"185",158,"Maintenance",9,"Trust","Emotion"
"186",180,"Improvement",9,"Joy","Emotion"
"187",180,"General",9,"Positive","Sentiment"
"188",180,"Improvement",9,"Positive","Sentiment"
"189",180,"General",9,"Trust","Emotion"
"190",180,"Improvement",9,"Trust","Emotion"
"191",192,"Public",9,"Anticipation","Emotion"
"192",192,"Public",9,"Positive","Sentiment"
"193",195,"Production",9,"Anticipation","Emotion"
"194",195,"Production",9,"Positive","Sentiment"
"195",212,"Excess",9,"Negative","Sentiment"
"196",219,"Public",9,"Anticipation","Emotion"
"197",219,"Public",9,"Positive","Sentiment"
"198",225,"Advance",9,"Anticipation","Emotion"
"199",225,"Advance",9,"Fear","Emotion"
"200",225,"Advance",9,"Joy","Emotion"
"201",225,"Advance",9,"Positive","Sentiment"
"202",225,"Advance",9,"Surprise","Emotion"
"203",251,"Grant",9,"Anticipation","Emotion"
"204",251,"Grant",9,"Joy","Emotion"
"205",251,"Grant",9,"Positive","Sentiment"
"206",251,"Grant",9,"Trust","Emotion"
"207",291,"Director",9,"Positive","Sentiment"
"208",291,"Director",9,"Trust","Emotion"
"209",296,"Pay",9,"Anticipation","Emotion"
"210",296,"Pay",9,"Joy","Emotion"
"211",296,"Pay",9,"Positive","Sentiment"
"212",296,"Pay",9,"Trust","Emotion"
"213",297,"Pay",9,"Anticipation","Emotion"
"214",297,"Pay",9,"Joy","Emotion"
"215",297,"Pay",9,"Positive","Sentiment"
"216",297,"Pay",9,"Trust","Emotion"
"217",314,"Pay",9,"Anticipation","Emotion"
"218",314,"Pay",9,"Joy","Emotion"
"219",314,"Pay",9,"Positive","Sentiment"
"220",314,"Pay",9,"Trust","Emotion"
"221",5,"Debt",8,"Negative","Sentiment"
"222",5,"Debt",8,"Sadness","Emotion"
"223",7,"Growth",8,"Positive","Sentiment"
"224",57,"Improvement",8,"Joy","Emotion"
"225",57,"Improvement",8,"Positive","Sentiment"
"226",57,"Accounts",8,"Trust","Emotion"
"227",57,"Improvement",8,"Trust","Emotion"
"228",96,"Management",8,"Positive","Sentiment"
"229",96,"Management",8,"Trust","Emotion"
"230",100,"Management",8,"Positive","Sentiment"
"231",100,"Management",8,"Trust","Emotion"
"232",107,"Risk",8,"Anticipation","Emotion"
"233",107,"Risk",8,"Fear","Emotion"
"234",107,"Risk",8,"Negative","Sentiment"
"235",107,"Management",8,"Positive","Sentiment"
"236",107,"Management",8,"Trust","Emotion"
"237",112,"Information",8,"Positive","Sentiment"
"238",145,"Emergency",8,"Fear","Emotion"
"239",145,"Emergency",8,"Negative","Sentiment"
"240",145,"Emergency",8,"Sadness","Emotion"
"241",145,"Emergency",8,"Surprise","Emotion"
"242",147,"Emergency",8,"Fear","Emotion"
"243",147,"Emergency",8,"Negative","Sentiment"
"244",147,"Emergency",8,"Sadness","Emotion"
"245",147,"Emergency",8,"Surprise","Emotion"
"246",154,"Convention",8,"Positive","Sentiment"
"247",163,"Sewer",8,"Disgust","Emotion"
"248",189,"General",8,"Positive","Sentiment"
"249",189,"General",8,"Trust","Emotion"
"250",192,"Planning",8,"Anticipation","Emotion"
"251",192,"Planning",8,"Positive","Sentiment"
"252",192,"Planning",8,"Trust","Emotion"
"253",198,"Trade",8,"Trust","Emotion"
"254",199,"Fee",8,"Anger","Emotion"
"255",199,"Fee",8,"Negative","Sentiment"
"256",200,"Plan",8,"Anticipation","Emotion"
"257",202,"Minimum",8,"Negative","Sentiment"
"258",202,"Full",8,"Positive","Sentiment"
"259",209,"Tax",8,"Negative","Sentiment"
"260",209,"Tax",8,"Sadness","Emotion"
"261",211,"Fire",8,"Fear","Emotion"
"262",216,"Burial",8,"Anger","Emotion"
"263",216,"Burial",8,"Fear","Emotion"
"264",216,"Burial",8,"Negative","Sentiment"
"265",216,"Burial",8,"Sadness","Emotion"
"266",219,"Minimum",8,"Negative","Sentiment"
"267",221,"Fee",8,"Anger","Emotion"
"268",221,"Fee",8,"Negative","Sentiment"
"269",223,"Center",8,"Positive","Sentiment"
"270",223,"Center",8,"Trust","Emotion"
"271",244,"Center",8,"Positive","Sentiment"
"272",244,"Center",8,"Trust","Emotion"
"273",252,"Trust",8,"Trust","Emotion"
"274",279,"Increase",8,"Positive","Sentiment"
"275",287,"Convention",8,"Positive","Sentiment"
"276",291,"Pay",8,"Anticipation","Emotion"
"277",291,"Pay",8,"Joy","Emotion"
"278",291,"Job",8,"Positive","Sentiment"
"279",291,"Pay",8,"Positive","Sentiment"
"280",291,"Pay",8,"Trust","Emotion"
"281",4,"Budget",7,"Trust","Emotion"
"282",5,"Public",7,"Anticipation","Emotion"
"283",5,"Public",7,"Positive","Sentiment"
"284",7,"Tax",7,"Negative","Sentiment"
"285",7,"Tax",7,"Sadness","Emotion"
"286",8,"Increase",7,"Positive","Sentiment"
"287",30,"Time",7,"Anticipation","Emotion"
"288",32,"Growth",7,"Positive","Sentiment"
"289",32,"Population",7,"Positive","Sentiment"
"290",33,"General",7,"Positive","Sentiment"
"291",33,"General",7,"Trust","Emotion"
"292",53,"General",7,"Positive","Sentiment"
"293",53,"General",7,"Trust","Emotion"
"294",54,"Appropriation",7,"Negative","Sentiment"
"295",56,"Appropriation",7,"Negative","Sentiment"
"296",57,"General",7,"Positive","Sentiment"
"297",57,"General",7,"Trust","Emotion"
"298",59,"Convention",7,"Positive","Sentiment"
"299",59,"Supported",7,"Positive","Sentiment"
"300",60,"Utility",7,"Positive","Sentiment"
"301",78,"County",7,"Trust","Emotion"
"302",79,"Fee",7,"Anger","Emotion"
"303",79,"Fee",7,"Negative","Sentiment"
"304",94,"Innovation",7,"Positive","Sentiment"
"305",96,"Emergency",7,"Fear","Emotion"
"306",96,"Special",7,"Joy","Emotion"
"307",96,"Emergency",7,"Negative","Sentiment"
"308",96,"Special",7,"Positive","Sentiment"
"309",96,"Emergency",7,"Sadness","Emotion"
"310",96,"Emergency",7,"Surprise","Emotion"
"311",99,"Community",7,"Positive","Sentiment"
"312",151,"Safe",7,"Joy","Emotion"
"313",151,"Healthy",7,"Positive","Sentiment"
"314",151,"Safe",7,"Positive","Sentiment"
"315",151,"Safe",7,"Trust","Emotion"
"316",157,"Recreation",7,"Anticipation","Emotion"
"317",157,"Recreation",7,"Joy","Emotion"
"318",157,"Recreation",7,"Positive","Sentiment"
"319",164,"Objective",7,"Anticipation","Emotion"
"320",164,"Objective",7,"Positive","Sentiment"
"321",164,"Objective",7,"Trust","Emotion"
"322",168,"Community",7,"Positive","Sentiment"
"323",168,"General",7,"Positive","Sentiment"
"324",168,"General",7,"Trust","Emotion"
"325",171,"Community",7,"Positive","Sentiment"
"326",179,"Bonds",7,"Negative","Sentiment"
"327",179,"General",7,"Positive","Sentiment"
"328",179,"General",7,"Trust","Emotion"
"329",202,"Primary",7,"Positive","Sentiment"
"330",202,"Base",7,"Trust","Emotion"
"331",206,"Full",7,"Positive","Sentiment"
"332",208,"Fee",7,"Anger","Emotion"
"333",208,"Fee",7,"Negative","Sentiment"
"334",209,"Legal",7,"Positive","Sentiment"
"335",209,"Legal",7,"Trust","Emotion"
"336",214,"Operation",7,"Fear","Emotion"
"337",214,"Operation",7,"Trust","Emotion"
"338",219,"Athletic",7,"Positive","Sentiment"
"339",248,"Sewer",7,"Disgust","Emotion"
"340",251,"Emergency",7,"Fear","Emotion"
"341",251,"Emergency",7,"Negative","Sentiment"
"342",251,"Emergency",7,"Sadness","Emotion"
"343",251,"Emergency",7,"Surprise","Emotion"
"344",268,"Fee",7,"Anger","Emotion"
"345",268,"Fee",7,"Negative","Sentiment"
"346",272,"Main",7,"Positive","Sentiment"
"347",285,"General",7,"Positive","Sentiment"
"348",285,"General",7,"Trust","Emotion"
"349",287,"Greater",7,"Positive","Sentiment"
"350",287,"Budget",7,"Trust","Emotion"
"351",289,"Job",7,"Positive","Sentiment"
"352",293,"Salary",7,"Anticipation","Emotion"
"353",293,"Salary",7,"Joy","Emotion"
"354",293,"Salary",7,"Positive","Sentiment"
"355",293,"Salary",7,"Trust","Emotion"
"356",294,"Resources",7,"Joy","Emotion"
"357",294,"Resources",7,"Positive","Sentiment"
"358",294,"Resources",7,"Trust","Emotion"
"359",296,"Structure",7,"Positive","Sentiment"
"360",296,"Structure",7,"Trust","Emotion"
"361",300,"Policy",7,"Trust","Emotion"
"362",303,"Resources",7,"Joy","Emotion"
"363",303,"Resources",7,"Positive","Sentiment"
"364",303,"Resources",7,"Trust","Emotion"
"365",306,"Holiday",7,"Anticipation","Emotion"
"366",306,"Holiday",7,"Joy","Emotion"
"367",306,"Holiday",7,"Positive","Sentiment"
"368",308,"Job",7,"Positive","Sentiment"
"369",309,"Pay",7,"Anticipation","Emotion"
"370",309,"Time",7,"Anticipation","Emotion"
"371",309,"Pay",7,"Joy","Emotion"
"372",309,"Pay",7,"Positive","Sentiment"
"373",309,"Pay",7,"Trust","Emotion"
"374",8,"Budget",6,"Trust","Emotion"
"375",10,"Strategic",6,"Positive","Sentiment"
"376",13,"Budget",6,"Trust","Emotion"
"377",16,"Ordinance",6,"Trust","Emotion"
"378",18,"Debt",6,"Negative","Sentiment"
"379",18,"Debt",6,"Sadness","Emotion"
"380",21,"Accounts",6,"Trust","Emotion"
"381",26,"Community",6,"Positive","Sentiment"
"382",31,"Time",6,"Anticipation","Emotion"
"383",32,"Public",6,"Anticipation","Emotion"
"384",32,"Inflation",6,"Fear","Emotion"
"385",32,"Inflation",6,"Negative","Sentiment"
"386",32,"Public",6,"Positive","Sentiment"
"387",33,"Gross",6,"Disgust","Emotion"
"388",33,"Gross",6,"Negative","Sentiment"
"389",53,"Established",6,"Joy","Emotion"
"390",53,"Established",6,"Positive","Sentiment"
"391",54,"General",6,"Positive","Sentiment"
"392",54,"General",6,"Trust","Emotion"
"393",59,"Public",6,"Anticipation","Emotion"
"394",59,"Public",6,"Positive","Sentiment"
"395",62,"Debt",6,"Negative","Sentiment"
"396",62,"Debt",6,"Sadness","Emotion"
"397",69,"Budget",6,"Trust","Emotion"
"398",72,"Analyst",6,"Anticipation","Emotion"
"399",72,"Analyst",6,"Positive","Sentiment"
"400",72,"Analyst",6,"Trust","Emotion"
"401",76,"Tax",6,"Negative","Sentiment"
"402",76,"Tax",6,"Sadness","Emotion"
"403",79,"Tax",6,"Negative","Sentiment"
"404",79,"Tax",6,"Sadness","Emotion"
"405",90,"Attorney",6,"Anger","Emotion"
"406",90,"Attorney",6,"Fear","Emotion"
"407",90,"Attorney",6,"Positive","Sentiment"
"408",90,"Attorney",6,"Trust","Emotion"
"409",97,"Community",6,"Positive","Sentiment"
"410",105,"Excellence",6,"Disgust","Emotion"
"411",105,"Excellence",6,"Joy","Emotion"
"412",105,"Excellence",6,"Positive","Sentiment"
"413",105,"Excellence",6,"Trust","Emotion"
"414",109,"Resources",6,"Joy","Emotion"
"415",109,"Resources",6,"Positive","Sentiment"
"416",109,"Resources",6,"Trust","Emotion"
"417",111,"Trust",6,"Trust","Emotion"
"418",112,"Technology",6,"Positive","Sentiment"
"419",113,"Objective",6,"Anticipation","Emotion"
"420",113,"Excellence",6,"Disgust","Emotion"
"421",113,"Excellence",6,"Joy","Emotion"
