"","page_number","word"
"1",1,"meckncgov"
"2",1,"fiscal"
"3",1,"year"
"4",1,"adopted"
"5",1,"budget"
"6",1,"mecklenburg"
"7",1,"county"
"8",1,"north"
"9",1,"carolina"
"10",2,"adopted"
"11",2,"budget"
"12",2,"government"
"13",2,"finance"
"14",2,"officers"
"15",2,"association"
"16",2,"distinguished"
"17",2,"budget"
"18",2,"presentation"
"19",2,"recommended"
"20",2,"budget"
"21",2,"award"
"22",2,"presented"
"23",2,"to"
"24",2,"mecklenburg"
"25",2,"county"
"26",2,"north"
"27",2,"carolina"
"28",2,"for"
"29",2,"the"
"30",2,"fiscal"
"31",2,"year"
"32",2,"beginning"
"33",2,"july"
"34",2,"mecklenburg"
"35",2,"ji"
"36",2,"p"
"37",2,"npcounty"
"38",2,"w"
"39",2,"fiscal"
"40",2,"year"
"41",2,"executive"
"42",2,"director"
"43",2,"the"
"44",2,"government"
"45",2,"finance"
"46",2,"officers"
"47",2,"association"
"48",2,"of"
"49",2,"the"
"50",2,"united"
"51",2,"states"
"52",2,"and"
"53",2,"canada"
"54",2,"gfoa"
"55",2,"presented"
"56",2,"a"
"57",2,"distinguished"
"58",2,"budget"
"59",2,"presentation"
"60",2,"award"
"61",2,"to"
"62",2,"mecklenburg"
"63",2,"county"
"64",2,"for"
"65",2,"its"
"66",2,"annual"
"67",2,"budget"
"68",2,"for"
"69",2,"the"
"70",2,"fiscal"
"71",2,"year"
"72",2,"beginning"
"73",2,"july"
"74",2,"in"
"75",2,"order"
"76",2,"to"
"77",2,"receive"
"78",2,"this"
"79",2,"award"
"80",2,"a"
"81",2,"governmental"
"82",2,"unit"
"83",2,"must"
"84",2,"publish"
"85",2,"a"
"86",2,"budget"
"87",2,"document"
"88",2,"that"
"89",2,"meets"
"90",2,"program"
"91",2,"criteria"
"92",2,"as"
"93",2,"a"
"94",2,"policy"
"95",2,"document"
"96",2,"as"
"97",2,"an"
"98",2,"operations"
"99",2,"guide"
"100",2,"as"
"101",2,"a"
"102",2,"financial"
"103",2,"plan"
"104",2,"and"
"105",2,"as"
"106",2,"a"
"107",2,"communications"
"108",2,"device"
"109",2,"the"
"110",2,"award"
"111",2,"is"
"112",2,"valid"
"113",2,"for"
"114",2,"a"
"115",2,"period"
"116",2,"of"
"117",2,"one"
"118",2,"year"
"119",2,"only"
"120",2,"we"
"121",2,"believe"
"122",2,"our"
"123",2,"current"
"124",2,"budget"
"125",2,"continues"
"126",2,"to"
"127",2,"conform"
"128",2,"to"
"129",2,"program"
"130",2,"requirements"
"131",2,"and"
"132",2,"we"
"133",2,"are"
"134",2,"submitting"
"135",2,"it"
"136",2,"to"
"137",2,"gfoa"
"138",2,"to"
"139",2,"determine"
"140",2,"its"
"141",2,"eligibility"
"142",2,"for"
"143",2,"another"
"144",2,"award"
"145",2,"mecklenburg"
"146",2,"county"
"147",2,"fiscal"
"148",2,"year"
"149",3,"adopted"
"150",3,"budget"
"151",3,"mecklenburg"
"152",3,"board"
"153",3,"of"
"154",3,"county"
"155",3,"commissioners"
"156",3,"chairman"
"157",3,"district"
"158",3,"george"
"159",3,"dunlap"
"160",3,"d"
"161",3,"vicechairman"
"162",3,"district"
"163",3,"elaine"
"164",3,"powell"
"165",3,"d"
"166",3,"atlarge"
"167",3,"atlarge"
"168",3,"atlarge"
"169",3,"pat"
"170",3,"cotham"
"171",3,"d"
"172",3,"trevor"
"173",3,"fuller"
"174",3,"d"
"175",3,"ella"
"176",3,"scarborough"
"177",3,"d"
"178",3,"district"
"179",3,"district"
"180",3,"vilma"
