"","page_number","word"
"1",1,"adopted"
"2",1,"operating"
"3",1,"budget"
"4",1,"and"
"5",1,"capital"
"6",1,"improvement"
"7",1,"program"
"8",1,"for"
"9",1,"the"
"10",1,"fiscal"
"11",1,"year"
"12",1,"july"
"13",1,"through"
"14",1,"june"
"15",3,"table"
"16",3,"of"
"17",3,"contents"
"18",3,"gfoa"
"19",3,"distinguished"
"20",3,"budget"
"21",3,"general"
"22",3,"government"
"23",3,"budget"
"24",3,"summary"
"25",3,"presentation"
"26",3,"award"
"27",3,"board"
"28",3,"of"
"29",3,"commissioners"
"30",3,"communications"
"31",3,"office"
"32",3,"wake"
"33",3,"county"
"34",3,"government"
"35",3,"county"
"36",3,"manager"
"37",3,"board"
"38",3,"of"
"39",3,"county"
"40",3,"commissioners"
"41",3,"county"
"42",3,"attorney"
"43",3,"wake"
"44",3,"county"
"45",3,"government"
"46",3,"organizational"
"47",3,"chart"
"48",3,"board"
"49",3,"of"
"50",3,"elections"
"51",3,"goals"
"52",3,"objectives"
"53",3,"initiatives"
"54",3,"budget"
"55",3,"and"
"56",3,"management"
"57",3,"services"
"58",3,"facilities"
"59",3,"design"
"60",3,"construction"
"61",3,"budget"
"62",3,"message"
"63",3,"finance"
"64",3,"department"
"65",3,"human"
"66",3,"resources"
"67",3,"ordinances"
"68",3,"information"
"69",3,"services"
"70",3,"register"
"71",3,"of"
"72",3,"deeds"
"73",3,"readers"
"74",3,"guide"
"75",3,"to"
"76",3,"the"
"77",3,"budget"
"78",3,"tax"
"79",3,"administration"
"80",3,"readers"
"81",3,"guide"
"82",3,"to"
"83",3,"the"
"84",3,"budget"
"85",3,"quasigovernmental"
"86",3,"budget"
"87",3,"process"
"88",3,"budget"
"89",3,"calendar"
"90",3,"for"
"91",3,"fiscal"
"92",3,"year"
"93",3,"community"
"94",3,"services"
"95",3,"fund"
"96",3,"structure"
"97",3,"community"
"98",3,"services"
"99",3,"management"
"100",3,"and"
"101",3,"budget"
"102",3,"office"
"103",3,"fund"
"104",3,"structure"
"105",3,"chart"
"106",3,"basis"
"107",3,"of"
"108",3,"budgeting"
"109",3,"and"
"110",3,"basis"
"111",3,"of"
"112",3,"accounting"
"113",3,"parks"
"114",3,"recreation"
"115",3,"and"
"116",3,"open"
"117",3,"space"
"118",3,"financial"
"119",3,"policies"
"120",3,"planning"
"121",3,"development"
"122",3,"and"
"123",3,"inspections"
"124",3,"longrange"
"125",3,"planning"
"126",3,"veterans"
"127",3,"services"
"128",3,"geographic"
"129",3,"information"
"130",3,"services"
"131",3,"budget"
"132",3,"overview"
"133",3,"libraries"
"134",3,"revenue"
"135",3,"overview"
"136",3,"user"
"137",3,"fee"
"138",3,"change"
"139",3,"summary"
"140",3,"environmental"
"141",3,"services"
"142",3,"expenditure"
"143",3,"overview"
"144",3,"environmental"
"145",3,"services"
"146",3,"administration"
"147",3,"capital"
"148",3,"and"
"149",3,"debt"
"150",3,"service"
"151",3,"transfersallocations"
"152",3,"environmental"
"153",3,"health"
"154",3,"safety"
"155",3,"schedule"
"156",3,"of"
"157",3,"interfund"
"158",3,"transfers"
"159",3,"water"
"160",3,"quality"
"161",3,"general"
"162",3,"fund"
"163",3,"requests"
"164",3,"funded"
"165",3,"animal"
"166",3,"care"
"167",3,"control"
"168",3,"and"
"169",3,"adoption"
"170",3,"center"
"171",3,"general"
"172",3,"fund"
"173",3,"requests"
"174",3,"not"
"175",3,"funded"
"176",3,"personnel"
"177",3,"summary"
"178",3,"general"
"179",3,"services"
"180",3,"administration"
"181",3,"personnel"
"182",3,"changes"
"183",3,"summary"
"184",3,"administration"
"185",3,"support"
"186",3,"total"
"187",3,"revenues"
"188",3,"by"
"189",3,"fund"
"190",3,"physical"
"191",3,"plant"
"192",3,"total"
"193",3,"revenue"
"194",3,"by"
"195",3,"source"
"196",3,"safety"
