,page_number,word,sent_count,sentiment,category
1,5,Tax,19,Negative,Sentiment
2,5,Tax,19,Sadness,Emotion
3,15,Grant,17,Anticipation,Emotion
4,15,Grant,17,Joy,Emotion
5,15,Grant,17,Positive,Sentiment
6,15,Grant,17,Trust,Emotion
7,5,Budget,16,Trust,Emotion
8,13,Budget,15,Trust,Emotion
9,13,Debt,14,Negative,Sentiment
10,13,Debt,14,Sadness,Emotion
11,6,Budget,12,Trust,Emotion
12,5,Levy,10,Negative,Sentiment
13,11,Budget,10,Trust,Emotion
14,12,Interest,10,Positive,Sentiment
15,10,Balance,9,Positive,Sentiment
16,12,Debt,9,Negative,Sentiment
17,12,Debt,9,Sadness,Emotion
18,14,Budget,9,Trust,Emotion
19,15,Budget,9,Trust,Emotion
20,1,Maintenance,8,Trust,Emotion
21,7,Budget,8,Trust,Emotion
22,13,Interest,8,Positive,Sentiment
23,14,Debt,8,Negative,Sentiment
24,14,Debt,8,Sadness,Emotion
25,4,Budget,7,Trust,Emotion
26,7,Tax,7,Negative,Sentiment
27,7,Tax,7,Sadness,Emotion
28,1,Fire,6,Fear,Emotion
29,1,Police,6,Fear,Emotion
30,1,Police,6,Positive,Sentiment
31,1,Supplies,6,Positive,Sentiment
32,1,Police,6,Trust,Emotion
33,2,Maintenance,6,Trust,Emotion
34,2,System,6,Trust,Emotion
35,4,Tax,6,Negative,Sentiment
36,4,Tax,6,Sadness,Emotion
37,8,Budget,6,Trust,Emotion
38,10,Budget,6,Trust,Emotion
39,11,Balance,6,Positive,Sentiment
40,12,Budget,6,Trust,Emotion
41,15,Lead,6,Positive,Sentiment
42,3,Level,5,Positive,Sentiment
43,3,Level,5,Trust,Emotion
44,5,Change,5,Fear,Emotion
45,5,Actual,5,Positive,Sentiment
46,5,Real,5,Positive,Sentiment
47,5,Personal,5,Trust,Emotion
48,5,Real,5,Trust,Emotion
49,13,Change,5,Fear,Emotion
50,13,Actual,5,Positive,Sentiment
51,14,Grant,5,Anticipation,Emotion
52,14,Grant,5,Joy,Emotion
53,14,Grant,5,Positive,Sentiment
54,14,Grant,5,Trust,Emotion
55,1,Including,4,Positive,Sentiment
56,1,Technology,4,Positive,Sentiment
57,2,Enforcement,4,Negative,Sentiment
58,2,Management,4,Positive,Sentiment
59,2,Management,4,Trust,Emotion
60,3,Including,4,Positive,Sentiment
61,3,Management,4,Positive,Sentiment
62,3,Management,4,Trust,Emotion
63,3,System,4,Trust,Emotion
64,4,Level,4,Positive,Sentiment
65,4,Technology,4,Positive,Sentiment
66,4,Level,4,Trust,Emotion
67,4,System,4,Trust,Emotion
68,6,Attorney,4,Anger,Emotion
69,6,Attorney,4,Fear,Emotion
70,6,Attorney,4,Positive,Sentiment
71,6,Management,4,Positive,Sentiment
72,6,Attorney,4,Trust,Emotion
73,6,Management,4,Trust,Emotion
74,7,Fire,4,Fear,Emotion
75,8,Court,4,Anger,Emotion
76,8,Court,4,Anticipation,Emotion
77,8,Court,4,Fear,Emotion
78,9,Account,4,Trust,Emotion
79,10,Interest,4,Positive,Sentiment
80,11,Debt,4,Negative,Sentiment
81,11,Interest,4,Positive,Sentiment
82,11,Debt,4,Sadness,Emotion
83,12,General,4,Positive,Sentiment
84,12,Principal,4,Positive,Sentiment
85,12,General,4,Trust,Emotion
86,12,Principal,4,Trust,Emotion
87,13,Retirement,4,Anticipation,Emotion
88,13,Retirement,4,Fear,Emotion
89,13,Retirement,4,Joy,Emotion
90,13,Retirement,4,Negative,Sentiment
91,13,Retirement,4,Positive,Sentiment
92,13,Retirement,4,Sadness,Emotion
93,13,Retirement,4,Trust,Emotion
94,15,Center,4,Positive,Sentiment
95,15,Center,4,Trust,Emotion
96,16,Management,4,Positive,Sentiment
97,16,Management,4,Trust,Emotion
98,1,Level,3,Positive,Sentiment
99,1,Level,3,Trust,Emotion
100,1,Related,3,Trust,Emotion
101,2,Wireless,3,Anger,Emotion
102,2,Develop,3,Anticipation,Emotion
