"","page_number","word","sent_count","sentiment","category"
"1",72,"Budget",37,"Trust","Emotion"
"2",292,"Maintenance",28,"Trust","Emotion"
"3",300,"Sewer",28,"Disgust","Emotion"
"4",276,"General",25,"Positive","Sentiment"
"5",276,"General",25,"Trust","Emotion"
"6",71,"Budget",23,"Trust","Emotion"
"7",73,"Budget",22,"Trust","Emotion"
"8",409,"Regulatory",21,"Fear","Emotion"
"9",409,"Regulatory",21,"Negative","Sentiment"
"10",491,"Budget",21,"Trust","Emotion"
"11",72,"Council",20,"Anticipation","Emotion"
"12",72,"Council",20,"Positive","Sentiment"
"13",72,"Council",20,"Trust","Emotion"
"14",130,"Fire",20,"Fear","Emotion"
"15",277,"General",20,"Positive","Sentiment"
"16",277,"General",20,"Trust","Emotion"
"17",210,"Airport",19,"Anticipation","Emotion"
"18",420,"Fee",19,"Anger","Emotion"
"19",420,"Fee",19,"Negative","Sentiment"
"20",430,"Fee",18,"Anger","Emotion"
"21",430,"Fee",18,"Negative","Sentiment"
"22",267,"Tax",17,"Negative","Sentiment"
"23",267,"Tax",17,"Sadness","Emotion"
"24",437,"Pay",17,"Anticipation","Emotion"
"25",437,"Pay",17,"Joy","Emotion"
"26",437,"Pay",17,"Positive","Sentiment"
"27",437,"Pay",17,"Trust","Emotion"
"28",438,"Plan",17,"Anticipation","Emotion"
"29",59,"Tax",16,"Negative","Sentiment"
"30",59,"Tax",16,"Sadness","Emotion"
"31",87,"Measure",16,"Trust","Emotion"
"32",188,"Measure",16,"Trust","Emotion"
"33",461,"Debt",16,"Negative","Sentiment"
"34",461,"Debt",16,"Sadness","Emotion"
"35",481,"Budget",16,"Trust","Emotion"
"36",485,"Plan",16,"Anticipation","Emotion"
"37",454,"Tax",15,"Negative","Sentiment"
"38",454,"Tax",15,"Sadness","Emotion"
"39",115,"Community",14,"Positive","Sentiment"
"40",119,"Measure",14,"Trust","Emotion"
"41",237,"Increase",14,"Positive","Sentiment"
"42",300,"Sanitary",14,"Positive","Sentiment"
"43",430,"Regulatory",14,"Fear","Emotion"
"44",430,"Regulatory",14,"Negative","Sentiment"
"45",439,"Plan",14,"Anticipation","Emotion"
"46",73,"Council",13,"Anticipation","Emotion"
"47",73,"Council",13,"Positive","Sentiment"
"48",73,"Council",13,"Trust","Emotion"
"49",76,"Board",13,"Anticipation","Emotion"
"50",176,"Police",13,"Fear","Emotion"
"51",176,"Police",13,"Positive","Sentiment"
"52",176,"Police",13,"Trust","Emotion"
"53",288,"Gold",13,"Positive","Sentiment"
"54",301,"Main",13,"Positive","Sentiment"
"55",356,"Prosperity",13,"Positive","Sentiment"
"56",409,"Recovery",13,"Positive","Sentiment"
"57",436,"Pay",13,"Anticipation","Emotion"
"58",436,"Pay",13,"Joy","Emotion"
"59",436,"Pay",13,"Positive","Sentiment"
"60",436,"Pay",13,"Trust","Emotion"
"61",491,"Council",13,"Anticipation","Emotion"
"62",491,"Council",13,"Positive","Sentiment"
"63",491,"Council",13,"Trust","Emotion"
"64",55,"Neutral",12,"Anticipation","Emotion"
"65",55,"Tax",12,"Negative","Sentiment"
"66",55,"Tax",12,"Sadness","Emotion"
"67",55,"Neutral",12,"Trust","Emotion"
"68",68,"Actual",12,"Positive","Sentiment"
"69",101,"Measure",12,"Trust","Emotion"
"70",157,"Measure",12,"Trust","Emotion"
"71",208,"Measure",12,"Trust","Emotion"
"72",274,"Tax",12,"Negative","Sentiment"
"73",274,"Tax",12,"Sadness","Emotion"
"74",278,"General",12,"Positive","Sentiment"
"75",278,"General",12,"Trust","Emotion"
"76",279,"General",12,"Positive","Sentiment"
"77",279,"General",12,"Trust","Emotion"
"78",438,"Medical",12,"Anticipation","Emotion"
"79",438,"Medical",12,"Fear","Emotion"
"80",438,"Medical",12,"Positive","Sentiment"
"81",438,"Medical",12,"Trust","Emotion"
"82",482,"Budget",12,"Trust","Emotion"
"83",7,"Budget",11,"Trust","Emotion"
"84",24,"Plan",11,"Anticipation","Emotion"
"85",171,"Increase",11,"Positive","Sentiment"
"86",184,"Budget",11,"Trust","Emotion"
"87",205,"Increase",11,"Positive","Sentiment"
"88",221,"Rail",11,"Anger","Emotion"
"89",221,"Rail",11,"Anticipation","Emotion"
"90",221,"Rail",11,"Negative","Sentiment"
"91",247,"Increase",11,"Positive","Sentiment"
"92",294,"Public",11,"Anticipation","Emotion"
"93",294,"Public",11,"Positive","Sentiment"
"94",436,"Police",11,"Fear","Emotion"
"95",436,"Police",11,"Positive","Sentiment"
"96",436,"Police",11,"Trust","Emotion"
"97",455,"Budget",11,"Trust","Emotion"
"98",11,"Real",10,"Positive","Sentiment"
"99",11,"Real",10,"Trust","Emotion"
"100",21,"Pay",10,"Anticipation","Emotion"
"101",21,"Pay",10,"Joy","Emotion"
"102",21,"Pay",10,"Positive","Sentiment"
"103",21,"Pay",10,"Trust","Emotion"
"104",30,"Community",10,"Positive","Sentiment"
"105",76,"Committee",10,"Trust","Emotion"
"106",80,"Accounts",10,"Trust","Emotion"
"107",88,"Measure",10,"Trust","Emotion"
"108",134,"Increase",10,"Positive","Sentiment"
"109",154,"Increase",10,"Positive","Sentiment"
"110",161,"Increase",10,"Positive","Sentiment"
"111",174,"Officer",10,"Positive","Sentiment"
"112",174,"Officer",10,"Trust","Emotion"
"113",178,"Increase",10,"Positive","Sentiment"
"114",226,"Increase",10,"Positive","Sentiment"
"115",303,"Study",10,"Positive","Sentiment"
"116",325,"Planning",10,"Anticipation","Emotion"
"117",325,"Planning",10,"Positive","Sentiment"
"118",325,"Planning",10,"Trust","Emotion"
"119",409,"Fee",10,"Anger","Emotion"
"120",409,"Fee",10,"Negative","Sentiment"
"121",411,"Fee",10,"Anger","Emotion"
"122",411,"Fee",10,"Negative","Sentiment"
"123",437,"Merit",10,"Positive","Sentiment"
"124",437,"Merit",10,"Trust","Emotion"
"125",485,"Pay",10,"Anticipation","Emotion"
"126",485,"Pay",10,"Joy","Emotion"
"127",485,"Pay",10,"Positive","Sentiment"
"128",485,"Pay",10,"Trust","Emotion"
"129",11,"Tax",9,"Negative","Sentiment"
"130",11,"Tax",9,"Sadness","Emotion"
"131",21,"Police",9,"Fear","Emotion"
"132",21,"Police",9,"Positive","Sentiment"
"133",21,"Police",9,"Trust","Emotion"
"134",23,"Increase",9,"Positive","Sentiment"
"135",32,"Community",9,"Positive","Sentiment"
"136",51,"Budget",9,"Trust","Emotion"
"137",71,"Council",9,"Anticipation","Emotion"
"138",71,"Council",9,"Positive","Sentiment"
"139",71,"Council",9,"Trust","Emotion"
"140",91,"Measure",9,"Trust","Emotion"
"141",100,"Increase",9,"Positive","Sentiment"
"142",104,"Increase",9,"Positive","Sentiment"
"143",107,"Increase",9,"Positive","Sentiment"
"144",110,"Increase",9,"Positive","Sentiment"
"145",114,"Increase",9,"Positive","Sentiment"
"146",124,"Accountant",9,"Trust","Emotion"
"147",127,"Provide",9,"Positive","Sentiment"
"148",127,"Provide",9,"Trust","Emotion"
"149",143,"Increase",9,"Positive","Sentiment"
"150",155,"Technology",9,"Positive","Sentiment"
"151",166,"Increase",9,"Positive","Sentiment"
"152",171,"Police",9,"Fear","Emotion"
"153",171,"Police",9,"Positive","Sentiment"
"154",171,"Police",9,"Trust","Emotion"
"155",183,"Increase",9,"Positive","Sentiment"
"156",266,"Budget",9,"Trust","Emotion"
"157",288,"Tax",9,"Negative","Sentiment"
"158",288,"Tax",9,"Sadness","Emotion"
"159",294,"Art",9,"Anticipation","Emotion"
"160",294,"Art",9,"Joy","Emotion"
"161",294,"Art",9,"Positive","Sentiment"
"162",294,"Art",9,"Sadness","Emotion"
"163",294,"Art",9,"Surprise","Emotion"
"164",295,"Terminal",9,"Fear","Emotion"
"165",295,"Terminal",9,"Negative","Sentiment"
"166",295,"Terminal",9,"Sadness","Emotion"
"167",419,"Fire",9,"Fear","Emotion"
"168",434,"Plan",9,"Anticipation","Emotion"
"169",435,"Plan",9,"Anticipation","Emotion"
"170",436,"Plan",9,"Anticipation","Emotion"
"171",456,"General",9,"Positive","Sentiment"
"172",456,"General",9,"Trust","Emotion"
"173",484,"Fee",9,"Anger","Emotion"
"174",484,"Fee",9,"Negative","Sentiment"
"175",485,"Increase",9,"Positive","Sentiment"
"176",13,"Budget",8,"Trust","Emotion"
"177",14,"Economy",8,"Trust","Emotion"
"178",15,"Growth",8,"Positive","Sentiment"
"179",52,"Tax",8,"Negative","Sentiment"
"180",52,"Tax",8,"Sadness","Emotion"
"181",60,"Tax",8,"Negative","Sentiment"
"182",60,"Tax",8,"Sadness","Emotion"
"183",117,"Increase",8,"Positive","Sentiment"
"184",122,"Increase",8,"Positive","Sentiment"
"185",124,"Specialist",8,"Trust","Emotion"
"186",127,"Increase",8,"Positive","Sentiment"
"187",129,"Calls",8,"Anticipation","Emotion"
"188",129,"Calls",8,"Negative","Sentiment"
"189",129,"Calls",8,"Trust","Emotion"
"190",134,"Provide",8,"Positive","Sentiment"
"191",134,"Provide",8,"Trust","Emotion"
"192",135,"Provide",8,"Positive","Sentiment"
"193",135,"Provide",8,"Trust","Emotion"
"194",137,"Measure",8,"Trust","Emotion"
"195",138,"Specialist",8,"Trust","Emotion"
"196",146,"Specialist",8,"Trust","Emotion"
"197",149,"Increase",8,"Positive","Sentiment"
"198",158,"Information",8,"Positive","Sentiment"
"199",165,"Planning",8,"Anticipation","Emotion"
"200",165,"Planning",8,"Positive","Sentiment"
"201",165,"Planning",8,"Trust","Emotion"
"202",174,"Police",8,"Fear","Emotion"
"203",174,"Police",8,"Positive","Sentiment"
"204",174,"Police",8,"Trust","Emotion"
"205",186,"Increase",8,"Positive","Sentiment"
"206",210,"Officer",8,"Positive","Sentiment"
"207",210,"Officer",8,"Trust","Emotion"
"208",214,"Debt",8,"Negative","Sentiment"
"209",214,"Debt",8,"Sadness","Emotion"
"210",216,"Increase",8,"Positive","Sentiment"
"211",234,"Interest",8,"Positive","Sentiment"
"212",238,"Measure",8,"Trust","Emotion"
"213",272,"Planning",8,"Anticipation","Emotion"
"214",272,"Planning",8,"Positive","Sentiment"
"215",272,"Planning",8,"Trust","Emotion"
"216",281,"General",8,"Positive","Sentiment"
"217",281,"General",8,"Trust","Emotion"
"218",293,"Maintenance",8,"Trust","Emotion"
"219",356,"Church",8,"Anticipation","Emotion"
"220",356,"Church",8,"Joy","Emotion"
"221",356,"Church",8,"Positive","Sentiment"
"222",356,"Church",8,"Trust","Emotion"
"223",410,"Fee",8,"Anger","Emotion"
"224",410,"Regulatory",8,"Fear","Emotion"
"225",410,"Fee",8,"Negative","Sentiment"
"226",410,"Regulatory",8,"Negative","Sentiment"
"227",411,"Hire",8,"Anticipation","Emotion"
"228",411,"Passenger",8,"Anticipation","Emotion"
"229",411,"Hire",8,"Joy","Emotion"
"230",411,"Hire",8,"Positive","Sentiment"
"231",411,"Hire",8,"Trust","Emotion"
"232",412,"Increase",8,"Positive","Sentiment"
"233",413,"Sewer",8,"Disgust","Emotion"
"234",459,"Approve",8,"Joy","Emotion"
"235",459,"Approve",8,"Positive","Sentiment"
"236",459,"Approve",8,"Trust","Emotion"
"237",485,"Police",8,"Fear","Emotion"
"238",485,"Police",8,"Positive","Sentiment"
"239",485,"Police",8,"Trust","Emotion"
"240",491,"Plan",8,"Anticipation","Emotion"
"241",9,"Budget",7,"Trust","Emotion"
"242",11,"Neutral",7,"Anticipation","Emotion"
"243",11,"Neutral",7,"Trust","Emotion"
"244",15,"Population",7,"Positive","Sentiment"
"245",19,"Team",7,"Trust","Emotion"
"246",22,"Police",7,"Fear","Emotion"
"247",22,"Police",7,"Positive","Sentiment"
"248",22,"Police",7,"Trust","Emotion"
"249",23,"Pay",7,"Anticipation","Emotion"
"250",23,"Pay",7,"Joy","Emotion"
"251",23,"Pay",7,"Positive","Sentiment"
"252",23,"Pay",7,"Trust","Emotion"
"253",32,"Neighborhood",7,"Anticipation","Emotion"
"254",52,"Fee",7,"Anger","Emotion"
"255",52,"Fee",7,"Negative","Sentiment"
"256",52,"Increase",7,"Positive","Sentiment"
"257",78,"Accounts",7,"Trust","Emotion"
"258",81,"Accounts",7,"Trust","Emotion"
"259",86,"Strategic",7,"Positive","Sentiment"
"260",94,"Rating",7,"Anger","Emotion"
"261",94,"Rating",7,"Fear","Emotion"
"262",94,"Rating",7,"Negative","Sentiment"
"263",94,"Rating",7,"Sadness","Emotion"
"264",102,"Attorney",7,"Anger","Emotion"
"265",102,"Attorney",7,"Fear","Emotion"
"266",102,"Attorney",7,"Positive","Sentiment"
"267",102,"Attorney",7,"Trust","Emotion"
"268",112,"Specialist",7,"Trust","Emotion"
"269",127,"Fire",7,"Fear","Emotion"
"270",151,"Measure",7,"Trust","Emotion"
"271",158,"Officer",7,"Positive","Sentiment"
"272",158,"Officer",7,"Trust","Emotion"
"273",166,"Provide",7,"Positive","Sentiment"
"274",166,"Provide",7,"Trust","Emotion"
"275",168,"Measure",7,"Trust","Emotion"
"276",169,"Planning",7,"Anticipation","Emotion"
"277",169,"Planning",7,"Positive","Sentiment"
"278",169,"Planning",7,"Trust","Emotion"
"279",172,"Police",7,"Fear","Emotion"
"280",172,"Police",7,"Positive","Sentiment"
"281",172,"Police",7,"Trust","Emotion"
"282",174,"Administrative",7,"Trust","Emotion"
"283",178,"Provide",7,"Positive","Sentiment"
