,page_number,word,sent_count,sentiment,category
1,5,County,19,Trust,Emotion
2,13,County,18,Trust,Emotion
3,30,Tax,18,Negative,Sentiment
4,30,Tax,18,Sadness,Emotion
5,33,Sap,17,Negative,Sentiment
6,33,Sap,17,Sadness,Emotion
7,29,Budget,16,Trust,Emotion
8,30,Budget,16,Trust,Emotion
9,6,Balance,15,Positive,Sentiment
10,3,Board,14,Anticipation,Emotion
11,20,County,14,Trust,Emotion
12,2,County,12,Trust,Emotion
13,3,County,12,Trust,Emotion
14,34,Sap,12,Negative,Sentiment
15,34,Sap,12,Sadness,Emotion
16,7,County,11,Trust,Emotion
17,15,Court,11,Anger,Emotion
18,15,Court,11,Anticipation,Emotion
19,15,Court,11,Fear,Emotion
20,22,County,11,Trust,Emotion
21,23,County,11,Trust,Emotion
22,26,County,11,Trust,Emotion
23,4,County,10,Trust,Emotion
24,6,County,10,Trust,Emotion
25,8,County,10,Trust,Emotion
26,11,Tax,10,Negative,Sentiment
27,11,Tax,10,Sadness,Emotion
28,20,General,10,Positive,Sentiment
29,20,General,10,Trust,Emotion
30,17,Board,9,Anticipation,Emotion
31,24,County,9,Trust,Emotion
32,29,County,9,Trust,Emotion
33,1,General,8,Positive,Sentiment
34,1,Budget,8,Trust,Emotion
35,1,County,8,Trust,Emotion
36,1,General,8,Trust,Emotion
37,2,Center,8,Positive,Sentiment
38,2,Center,8,Trust,Emotion
39,8,Community,8,Positive,Sentiment
40,11,Personal,8,Trust,Emotion
41,14,Court,8,Anger,Emotion
42,14,Court,8,Anticipation,Emotion
43,14,Court,8,Fear,Emotion
44,15,Center,8,Positive,Sentiment
45,15,Center,8,Trust,Emotion
46,17,Vote,8,Anger,Emotion
47,17,Vote,8,Anticipation,Emotion
48,17,Vote,8,Joy,Emotion
49,17,Vote,8,Negative,Sentiment
50,17,Vote,8,Positive,Sentiment
51,17,Vote,8,Sadness,Emotion
52,17,Vote,8,Surprise,Emotion
53,17,Vote,8,Trust,Emotion
54,28,Risk,8,Anticipation,Emotion
55,28,Risk,8,Fear,Emotion
56,28,Risk,8,Negative,Sentiment
57,2,Board,7,Anticipation,Emotion
58,8,Government,7,Fear,Emotion
59,8,Government,7,Negative,Sentiment
60,12,Continue,7,Anticipation,Emotion
61,12,Tax,7,Negative,Sentiment
62,12,Continue,7,Positive,Sentiment
63,12,Tax,7,Sadness,Emotion
64,12,Continue,7,Trust,Emotion
65,14,Child,7,Anticipation,Emotion
66,14,Child,7,Joy,Emotion
67,14,Child,7,Positive,Sentiment
68,15,Actual,7,Positive,Sentiment
69,15,Budget,7,Trust,Emotion
70,21,Center,7,Positive,Sentiment
71,21,Center,7,Trust,Emotion
72,21,County,7,Trust,Emotion
73,24,Network,7,Anticipation,Emotion
74,29,Management,7,Positive,Sentiment
75,29,Management,7,Trust,Emotion
76,34,Completion,7,Anticipation,Emotion
77,34,Completion,7,Joy,Emotion
78,34,Completion,7,Positive,Sentiment
79,1,Information,6,Positive,Sentiment
80,2,School,6,Trust,Emotion
81,6,General,6,Positive,Sentiment
82,6,General,6,Trust,Emotion
83,8,Outcome,6,Positive,Sentiment
84,9,Community,6,Positive,Sentiment
85,10,County,6,Trust,Emotion
86,13,Legal,6,Positive,Sentiment
87,13,Legal,6,Trust,Emotion
88,15,Superior,6,Positive,Sentiment
89,20,Center,6,Positive,Sentiment
90,20,Center,6,Trust,Emotion
91,21,General,6,Positive,Sentiment
92,21,General,6,Trust,Emotion
93,23,Mail,6,Anticipation,Emotion
94,25,County,6,Trust,Emotion
95,30,County,6,Trust,Emotion
96,32,Information,6,Positive,Sentiment
97,32,Management,6,Positive,Sentiment
98,32,Management,6,Trust,Emotion
99,32,System,6,Trust,Emotion
100,1,Board,5,Anticipation,Emotion
101,1,Government,5,Fear,Emotion
102,1,Government,5,Negative,Sentiment
103,2,Tax,5,Negative,Sentiment
104,2,Tax,5,Sadness,Emotion
105,4,Board,5,Anticipation,Emotion
106,4,Budget,5,Trust,Emotion
107,10,Interest,5,Positive,Sentiment
108,11,General,5,Positive,Sentiment
109,11,Land,5,Positive,Sentiment
110,11,Real,5,Positive,Sentiment
111,11,Responsible,5,Positive,Sentiment
112,11,County,5,Trust,Emotion
113,11,General,5,Trust,Emotion
114,11,Real,5,Trust,Emotion
115,11,Responsible,5,Trust,Emotion
116,13,Tax,5,Negative,Sentiment
117,13,Tax,5,Sadness,Emotion
118,14,County,5,Trust,Emotion
119,18,Birth,5,Anticipation,Emotion
120,18,Birth,5,Fear,Emotion
121,18,Birth,5,Joy,Emotion
122,18,Birth,5,Positive,Sentiment
123,18,Birth,5,Trust,Emotion
124,20,Administrative,5,Trust,Emotion
125,22,Administrative,5,Trust,Emotion
126,23,Pest,5,Anger,Emotion
127,23,Pest,5,Disgust,Emotion
128,23,Pest,5,Fear,Emotion
129,23,Pest,5,Negative,Sentiment
130,24,Information,5,Positive,Sentiment
131,24,Technology,5,Positive,Sentiment
132,27,Resources,5,Joy,Emotion
133,27,Comprehensive,5,Positive,Sentiment
134,27,Resources,5,Positive,Sentiment
135,27,Resources,5,Trust,Emotion
136,32,Public,5,Anticipation,Emotion
137,32,Public,5,Positive,Sentiment
138,33,Provide,5,Positive,Sentiment
139,33,Provide,5,Trust,Emotion
140,34,Time,5,Anticipation,Emotion
141,2,Received,4,Positive,Sentiment
142,3,Public,4,Anticipation,Emotion
143,3,Public,4,Positive,Sentiment
144,3,Commission,4,Trust,Emotion
145,4,Center,4,Positive,Sentiment
146,4,Center,4,Trust,Emotion
147,5,Public,4,Anticipation,Emotion
148,5,Public,4,Positive,Sentiment
149,6,Decrease,4,Negative,Sentiment
150,6,Management,4,Positive,Sentiment
151,6,Management,4,Trust,Emotion
152,8,Board,4,Anticipation,Emotion
153,9,Provide,4,Positive,Sentiment
154,9,County,4,Trust,Emotion
155,9,Provide,4,Trust,Emotion
156,10,Tax,4,Negative,Sentiment
157,10,Tax,4,Sadness,Emotion
158,12,Calls,4,Anticipation,Emotion
159,12,Disabled,4,Fear,Emotion
160,12,Calls,4,Negative,Sentiment
161,12,Disabled,4,Negative,Sentiment
162,12,Exemption,4,Positive,Sentiment
163,12,Level,4,Positive,Sentiment
164,12,Disabled,4,Sadness,Emotion
165,12,Calls,4,Trust,Emotion
166,12,Deed,4,Trust,Emotion
167,12,Level,4,Trust,Emotion
168,13,Government,4,Fear,Emotion
169,13,Government,4,Negative,Sentiment
170,13,Actual,4,Positive,Sentiment
171,13,Measure,4,Trust,Emotion
172,14,Attorney,4,Anger,Emotion
173,14,Time,4,Anticipation,Emotion
174,14,Attorney,4,Fear,Emotion
175,14,Attorney,4,Positive,Sentiment
176,14,Attorney,4,Trust,Emotion
177,15,Parole,4,Anticipation,Emotion
178,15,Probation,4,Anticipation,Emotion
179,15,Public,4,Anticipation,Emotion
180,15,Probation,4,Fear,Emotion
181,15,Juvenile,4,Negative,Sentiment
182,15,Defender,4,Positive,Sentiment
183,15,Public,4,Positive,Sentiment
184,15,Probation,4,Sadness,Emotion
185,15,Defender,4,Trust,Emotion
186,16,Board,4,Anticipation,Emotion
187,16,Budget,4,Trust,Emotion
188,16,County,4,Trust,Emotion
189,17,Tax,4,Negative,Sentiment
190,17,Increase,4,Positive,Sentiment
191,17,Tax,4,Sadness,Emotion
192,17,County,4,Trust,Emotion
193,18,Death,4,Anger,Emotion
194,18,Death,4,Anticipation,Emotion
195,18,Death,4,Disgust,Emotion
196,18,Death,4,Fear,Emotion
197,18,Death,4,Negative,Sentiment
198,18,Real,4,Positive,Sentiment
199,18,Death,4,Sadness,Emotion
200,18,Death,4,Surprise,Emotion
201,18,Real,4,Trust,Emotion
202,21,Building,4,Positive,Sentiment
203,21,Maintenance,4,Trust,Emotion
204,23,Mosquito,4,Anger,Emotion
205,23,Mosquito,4,Disgust,Emotion
206,23,Mosquito,4,Negative,Sentiment
207,23,General,4,Positive,Sentiment
208,23,General,4,Trust,Emotion
209,24,Management,4,Positive,Sentiment
210,24,Responsible,4,Positive,Sentiment
211,24,Management,4,Trust,Emotion
212,24,Responsible,4,Trust,Emotion
213,25,Network,4,Anticipation,Emotion
214,25,Measure,4,Trust,Emotion
215,26,Network,4,Anticipation,Emotion
216,26,Experienced,4,Positive,Sentiment
