,page_number,word,sent_count,sentiment,category
1,27,Debt,17,Negative,Sentiment
2,27,Debt,17,Sadness,Emotion
3,36,Balance,16,Positive,Sentiment
4,33,Tax,15,Negative,Sentiment
5,33,Tax,15,Sadness,Emotion
6,9,Budget,14,Trust,Emotion
7,5,County,13,Trust,Emotion
8,18,County,13,Trust,Emotion
9,13,Debt,12,Negative,Sentiment
10,13,Debt,12,Sadness,Emotion
11,14,Budget,12,Trust,Emotion
12,18,Budget,12,Trust,Emotion
13,30,Tax,12,Negative,Sentiment
14,30,Tax,12,Sadness,Emotion
15,13,County,11,Trust,Emotion
16,29,Tax,10,Negative,Sentiment
17,29,Tax,10,Sadness,Emotion
18,32,Lottery,10,Anticipation,Emotion
19,15,County,9,Trust,Emotion
20,17,County,9,Trust,Emotion
21,18,Board,9,Anticipation,Emotion
22,28,Tax,9,Negative,Sentiment
23,28,Tax,9,Sadness,Emotion
24,33,County,9,Trust,Emotion
25,39,County,9,Trust,Emotion
26,4,County,8,Trust,Emotion
27,17,Maintenance,8,Trust,Emotion
28,19,Budget,8,Trust,Emotion
29,36,General,8,Positive,Sentiment
30,36,Budget,8,Trust,Emotion
31,36,General,8,Trust,Emotion
32,38,County,8,Trust,Emotion
33,22,County,7,Trust,Emotion
34,31,Tax,7,Negative,Sentiment
35,31,Tax,7,Sadness,Emotion
36,35,Increase,7,Positive,Sentiment
37,1,General,6,Positive,Sentiment
38,1,General,6,Trust,Emotion
39,7,General,6,Positive,Sentiment
40,7,General,6,Trust,Emotion
41,8,Maintenance,6,Trust,Emotion
42,10,General,6,Positive,Sentiment
43,10,Budget,6,Trust,Emotion
44,10,General,6,Trust,Emotion
45,11,Budget,6,Trust,Emotion
46,13,Increase,6,Positive,Sentiment
47,13,Budget,6,Trust,Emotion
48,15,Expenses,6,Negative,Sentiment
49,20,Budget,6,Trust,Emotion
50,21,Public,6,Anticipation,Emotion
51,21,Public,6,Positive,Sentiment
52,21,Budget,6,Trust,Emotion
53,23,Budget,6,Trust,Emotion
54,24,County,6,Trust,Emotion
55,26,Community,6,Positive,Sentiment
56,27,County,6,Trust,Emotion
57,34,Tax,6,Negative,Sentiment
58,34,Tax,6,Sadness,Emotion
59,39,Juvenile,6,Negative,Sentiment
60,3,Budget,5,Trust,Emotion
61,4,Public,5,Anticipation,Emotion
62,4,Public,5,Positive,Sentiment
63,8,Community,5,Positive,Sentiment
64,8,County,5,Trust,Emotion
65,9,Medical,5,Anticipation,Emotion
66,9,Medical,5,Fear,Emotion
67,9,Medical,5,Positive,Sentiment
68,9,Medical,5,Trust,Emotion
69,13,Expected,5,Anticipation,Emotion
70,16,Budget,5,Trust,Emotion
71,17,Debt,5,Negative,Sentiment
72,17,Debt,5,Sadness,Emotion
73,17,Budget,5,Trust,Emotion
74,18,Increase,5,Positive,Sentiment
75,18,Maintenance,5,Trust,Emotion
76,22,Increase,5,Positive,Sentiment
77,24,General,5,Positive,Sentiment
78,24,General,5,Trust,Emotion
79,25,County,5,Trust,Emotion
80,30,County,5,Trust,Emotion
81,32,Debt,5,Negative,Sentiment
82,32,Debt,5,Sadness,Emotion
83,32,County,5,Trust,Emotion
84,34,Increase,5,Positive,Sentiment
85,35,Bonds,5,Negative,Sentiment
86,35,County,5,Trust,Emotion
87,36,Expenses,5,Negative,Sentiment
88,36,County,5,Trust,Emotion
89,37,Expenses,5,Negative,Sentiment
90,39,Plan,5,Anticipation,Emotion
91,40,County,5,Trust,Emotion
92,3,General,4,Positive,Sentiment
93,3,County,4,Trust,Emotion
94,3,General,4,Trust,Emotion
95,4,Budget,4,Trust,Emotion
96,5,Budget,4,Trust,Emotion
97,6,County,4,Trust,Emotion
98,7,County,4,Trust,Emotion
99,7,Specialist,4,Trust,Emotion
100,9,Public,4,Anticipation,Emotion
101,9,Included,4,Positive,Sentiment
102,9,Public,4,Positive,Sentiment
103,10,Plan,4,Anticipation,Emotion
104,11,Board,4,Anticipation,Emotion
105,11,Center,4,Positive,Sentiment
106,11,Center,4,Trust,Emotion
107,13,Board,4,Anticipation,Emotion
108,13,Decrease,4,Negative,Sentiment
109,13,Including,4,Positive,Sentiment
110,13,Merit,4,Positive,Sentiment
111,13,Merit,4,Trust,Emotion
112,13,School,4,Trust,Emotion
113,14,Inflation,4,Fear,Emotion
114,14,Inflation,4,Negative,Sentiment
115,15,Plan,4,Anticipation,Emotion
116,15,Balance,4,Positive,Sentiment
117,17,School,4,Trust,Emotion
118,18,Tax,4,Negative,Sentiment
119,18,Tax,4,Sadness,Emotion
120,19,County,4,Trust,Emotion
121,20,Public,4,Anticipation,Emotion
122,20,Public,4,Positive,Sentiment
123,21,County,4,Trust,Emotion
124,22,Budget,4,Trust,Emotion
125,24,Government,4,Fear,Emotion
126,24,Government,4,Negative,Sentiment
127,25,Budget,4,Trust,Emotion
128,26,Library,4,Positive,Sentiment
129,27,Budget,4,Trust,Emotion
130,27,School,4,Trust,Emotion
131,28,Balance,4,Positive,Sentiment
132,28,General,4,Positive,Sentiment
133,28,General,4,Trust,Emotion
134,29,County,4,Trust,Emotion
135,30,Real,4,Positive,Sentiment
136,30,Real,4,Trust,Emotion
137,32,Bonds,4,Negative,Sentiment
138,32,Budget,4,Trust,Emotion
139,32,School,4,Trust,Emotion
140,34,Budget,4,Trust,Emotion
141,34,County,4,Trust,Emotion
142,36,Law,4,Trust,Emotion
143,37,County,4,Trust,Emotion
144,1,Debt,3,Negative,Sentiment
145,1,Debt,3,Sadness,Emotion
146,2,Tax,3,Negative,Sentiment
147,2,Tax,3,Sadness,Emotion
148,3,Debt,3,Negative,Sentiment
149,3,Community,3,Positive,Sentiment
150,3,Debt,3,Sadness,Emotion
151,4,Enforcement,3,Negative,Sentiment
152,6,Board,3,Anticipation,Emotion
153,6,Public,3,Anticipation,Emotion
154,6,General,3,Positive,Sentiment
155,6,Justice,3,Positive,Sentiment
156,6,Public,3,Positive,Sentiment
157,6,General,3,Trust,Emotion
158,6,Justice,3,Trust,Emotion
159,7,Grant,3,Anticipation,Emotion
160,7,Grant,3,Joy,Emotion
161,7,Tax,3,Negative,Sentiment
162,7,Grant,3,Positive,Sentiment
163,7,Tax,3,Sadness,Emotion
164,7,Grant,3,Trust,Emotion
165,8,Public,3,Anticipation,Emotion
166,8,Major,3,Positive,Sentiment
167,8,Public,3,Positive,Sentiment
168,9,Emergency,3,Fear,Emotion
169,9,Emergency,3,Negative,Sentiment
170,9,Community,3,Positive,Sentiment
171,9,Emergency,3,Sadness,Emotion
172,9,Emergency,3,Surprise,Emotion
173,9,County,3,Trust,Emotion
174,10,Pay,3,Anticipation,Emotion
175,10,Change,3,Fear,Emotion
176,10,Pay,3,Joy,Emotion
177,10,Full,3,Positive,Sentiment
178,10,Increase,3,Positive,Sentiment
179,10,Merit,3,Positive,Sentiment
180,10,Pay,3,Positive,Sentiment
181,10,Base,3,Trust,Emotion
182,10,Merit,3,Trust,Emotion
183,10,Pay,3,Trust,Emotion
184,11,Change,3,Fear,Emotion
185,11,Detention,3,Negative,Sentiment
186,11,Juvenile,3,Negative,Sentiment
187,11,Increase,3,Positive,Sentiment
188,11,Detention,3,Sadness,Emotion
189,12,County,3,Trust,Emotion
190,13,Major,3,Positive,Sentiment
191,13,Related,3,Trust,Emotion
192,14,County,3,Trust,Emotion
193,15,Debt,3,Negative,Sentiment
194,15,General,3,Positive,Sentiment
195,15,Debt,3,Sadness,Emotion
196,15,General,3,Trust,Emotion
197,16,Debt,3,Negative,Sentiment
198,16,Debt,3,Sadness,Emotion
199,16,County,3,Trust,Emotion
200,17,Board,3,Anticipation,Emotion
