,page_number,word,sent_count,sentiment,category
1,32,Fire,13,Fear,Emotion
2,8,Assistance,12,Positive,Sentiment
3,9,Public,12,Anticipation,Emotion
4,9,Public,12,Positive,Sentiment
5,29,Emergency,12,Fear,Emotion
6,29,Emergency,12,Negative,Sentiment
7,29,Emergency,12,Sadness,Emotion
8,29,Emergency,12,Surprise,Emotion
9,56,Budget,11,Trust,Emotion
10,78,County,11,Trust,Emotion
11,22,Budget,10,Trust,Emotion
12,25,Shelter,10,Positive,Sentiment
13,25,Shelter,10,Trust,Emotion
14,35,Emergency,10,Fear,Emotion
15,35,Emergency,10,Negative,Sentiment
16,35,Emergency,10,Sadness,Emotion
17,35,Emergency,10,Surprise,Emotion
18,64,Planning,10,Anticipation,Emotion
19,64,Planning,10,Positive,Sentiment
20,64,Planning,10,Trust,Emotion
21,4,Juvenile,9,Negative,Sentiment
22,4,County,9,Trust,Emotion
23,31,Emergency,9,Fear,Emotion
24,31,Emergency,9,Negative,Sentiment
25,31,Emergency,9,Sadness,Emotion
26,31,Emergency,9,Surprise,Emotion
27,47,Enforcement,9,Negative,Sentiment
28,47,Law,9,Trust,Emotion
29,60,County,9,Trust,Emotion
30,69,Conservation,9,Anticipation,Emotion
31,69,Conservation,9,Positive,Sentiment
32,69,Conservation,9,Trust,Emotion
33,4,Prevention,8,Anticipation,Emotion
34,4,Prevention,8,Positive,Sentiment
35,32,County,8,Trust,Emotion
36,34,Fire,8,Fear,Emotion
37,37,Abuse,8,Anger,Emotion
38,37,Abuse,8,Disgust,Emotion
39,37,Abuse,8,Fear,Emotion
40,37,Abuse,8,Negative,Sentiment
41,37,Abuse,8,Sadness,Emotion
42,41,Compliance,8,Positive,Sentiment
43,41,Compliance,8,Trust,Emotion
44,48,County,8,Trust,Emotion
45,63,Demand,8,Anger,Emotion
46,63,Demand,8,Negative,Sentiment
47,70,Soil,8,Disgust,Emotion
48,70,Soil,8,Negative,Sentiment
49,73,Waste,8,Disgust,Emotion
50,73,Waste,8,Negative,Sentiment
51,5,Youth,7,Anger,Emotion
52,5,Youth,7,Anticipation,Emotion
53,5,Youth,7,Fear,Emotion
54,5,Youth,7,Joy,Emotion
55,5,Youth,7,Positive,Sentiment
56,5,Youth,7,Surprise,Emotion
57,6,County,7,Trust,Emotion
58,8,Public,7,Anticipation,Emotion
59,8,Public,7,Positive,Sentiment
60,27,Youth,7,Anger,Emotion
61,27,Youth,7,Anticipation,Emotion
62,27,Youth,7,Fear,Emotion
63,27,Youth,7,Joy,Emotion
64,27,Youth,7,Positive,Sentiment
65,27,Youth,7,Surprise,Emotion
66,35,Fire,7,Fear,Emotion
67,35,Resources,7,Joy,Emotion
68,35,Resources,7,Positive,Sentiment
69,35,Resources,7,Trust,Emotion
70,37,Elder,7,Positive,Sentiment
71,37,Elder,7,Trust,Emotion
72,40,Public,7,Anticipation,Emotion
73,40,Public,7,Positive,Sentiment
74,52,Court,7,Anger,Emotion
75,52,Court,7,Anticipation,Emotion
76,52,Court,7,Fear,Emotion
77,53,Court,7,Anger,Emotion
78,53,Court,7,Anticipation,Emotion
79,53,Court,7,Fear,Emotion
80,62,County,7,Trust,Emotion
81,67,County,7,Trust,Emotion
82,71,Conservation,7,Anticipation,Emotion
83,71,Share,7,Anticipation,Emotion
84,71,Share,7,Joy,Emotion
85,71,Conservation,7,Positive,Sentiment
86,71,Share,7,Positive,Sentiment
87,71,Conservation,7,Trust,Emotion
88,71,Share,7,Trust,Emotion
89,73,Solid,7,Positive,Sentiment
90,74,Waste,7,Disgust,Emotion
91,74,Waste,7,Negative,Sentiment
92,75,White,7,Anticipation,Emotion
93,75,Waste,7,Disgust,Emotion
94,75,White,7,Joy,Emotion
95,75,Waste,7,Negative,Sentiment
96,75,Goods,7,Positive,Sentiment
97,75,White,7,Positive,Sentiment
98,75,White,7,Trust,Emotion
99,1,Child,6,Anticipation,Emotion
100,1,Child,6,Joy,Emotion
101,1,Child,6,Positive,Sentiment
102,1,Budget,6,Trust,Emotion
103,3,County,6,Trust,Emotion
104,4,Council,6,Anticipation,Emotion
105,4,Council,6,Positive,Sentiment
106,4,Council,6,Trust,Emotion
107,5,Focus,6,Positive,Sentiment
108,6,Center,6,Positive,Sentiment
109,6,Center,6,Trust,Emotion
110,7,Court,6,Anger,Emotion
111,7,Court,6,Anticipation,Emotion
112,7,Court,6,Fear,Emotion
113,7,Community,6,Positive,Sentiment
114,16,Budget,6,Trust,Emotion
115,21,Public,6,Anticipation,Emotion
116,21,Public,6,Positive,Sentiment
117,24,Shelter,6,Positive,Sentiment
118,24,County,6,Trust,Emotion
119,24,Shelter,6,Trust,Emotion
120,25,Increase,6,Positive,Sentiment
121,26,Court,6,Anger,Emotion
122,26,Court,6,Anticipation,Emotion
123,26,Court,6,Fear,Emotion
124,27,Juvenile,6,Negative,Sentiment
125,27,County,6,Trust,Emotion
126,30,County,6,Trust,Emotion
127,35,Planning,6,Anticipation,Emotion
128,35,Planning,6,Positive,Sentiment
129,35,County,6,Trust,Emotion
130,35,Planning,6,Trust,Emotion
131,37,Child,6,Anticipation,Emotion
132,37,Child,6,Joy,Emotion
133,37,Child,6,Positive,Sentiment
134,40,County,6,Trust,Emotion
135,41,Time,6,Anticipation,Emotion
136,42,Calls,6,Anticipation,Emotion
137,42,Calls,6,Negative,Sentiment
138,42,Calls,6,Trust,Emotion
139,45,Building,6,Positive,Sentiment
140,46,Erosion,6,Negative,Sentiment
141,49,County,6,Trust,Emotion
142,50,Grant,6,Anticipation,Emotion
143,50,Grant,6,Joy,Emotion
144,50,Grant,6,Positive,Sentiment
145,50,Grant,6,Trust,Emotion
146,56,Waste,6,Disgust,Emotion
147,56,Waste,6,Negative,Sentiment
148,65,Planning,6,Anticipation,Emotion
149,65,Planning,6,Positive,Sentiment
150,65,Planning,6,Trust,Emotion
151,66,County,6,Trust,Emotion
152,68,Planning,6,Anticipation,Emotion
153,68,Planning,6,Positive,Sentiment
154,68,County,6,Trust,Emotion
155,68,Planning,6,Trust,Emotion
156,69,Soil,6,Disgust,Emotion
157,69,Soil,6,Negative,Sentiment
158,69,School,6,Trust,Emotion
159,70,Conservation,6,Anticipation,Emotion
160,70,Conservation,6,Positive,Sentiment
161,70,Conservation,6,Trust,Emotion
162,71,Soil,6,Disgust,Emotion
163,71,Soil,6,Negative,Sentiment
164,75,County,6,Trust,Emotion
165,77,Waste,6,Disgust,Emotion
166,77,Waste,6,Negative,Sentiment
167,78,Library,6,Positive,Sentiment
168,4,Crime,5,Anger,Emotion
169,4,Board,5,Anticipation,Emotion
170,4,Crime,5,Negative,Sentiment
171,8,Court,5,Anger,Emotion
172,8,Court,5,Anticipation,Emotion
173,8,Court,5,Fear,Emotion
174,8,Budget,5,Trust,Emotion
175,10,Public,5,Anticipation,Emotion
176,10,Public,5,Positive,Sentiment
177,11,Medical,5,Anticipation,Emotion
178,11,Medical,5,Fear,Emotion
179,11,Medical,5,Positive,Sentiment
180,11,Medical,5,Trust,Emotion
181,15,Assistance,5,Positive,Sentiment
182,15,Community,5,Positive,Sentiment
183,16,County,5,Trust,Emotion
