,page_number,word,sent_count,sentiment,category
1,9,Ongoing,16,Anticipation,Emotion
2,14,Fire,15,Fear,Emotion
3,6,Child,14,Anticipation,Emotion
4,6,Child,14,Joy,Emotion
5,6,Child,14,Positive,Sentiment
6,30,Waste,14,Disgust,Emotion
7,30,Waste,14,Negative,Sentiment
8,7,County,13,Trust,Emotion
9,26,Community,12,Positive,Sentiment
10,30,Solid,12,Positive,Sentiment
11,30,County,12,Trust,Emotion
12,9,Public,11,Anticipation,Emotion
13,9,Public,11,Positive,Sentiment
14,19,Court,11,Anger,Emotion
15,19,Court,11,Anticipation,Emotion
16,19,Court,11,Fear,Emotion
17,20,Court,10,Anger,Emotion
18,20,Court,10,Anticipation,Emotion
19,20,Court,10,Fear,Emotion
20,31,Conservation,10,Anticipation,Emotion
21,31,Soil,10,Disgust,Emotion
22,31,Soil,10,Negative,Sentiment
23,31,Conservation,10,Positive,Sentiment
24,31,Conservation,10,Trust,Emotion
25,14,Emergency,9,Fear,Emotion
26,14,Emergency,9,Negative,Sentiment
27,14,Emergency,9,Sadness,Emotion
28,14,Emergency,9,Surprise,Emotion
29,15,Emergency,9,Fear,Emotion
30,15,Emergency,9,Negative,Sentiment
31,15,Emergency,9,Sadness,Emotion
32,15,Emergency,9,Surprise,Emotion
33,17,County,9,Trust,Emotion
34,29,County,9,Trust,Emotion
35,32,County,9,Trust,Emotion
36,1,County,8,Trust,Emotion
37,4,Community,8,Positive,Sentiment
38,6,Assistance,8,Positive,Sentiment
39,7,Assistance,8,Positive,Sentiment
40,8,County,8,Trust,Emotion
41,10,County,8,Trust,Emotion
42,18,Rabies,8,Negative,Sentiment
43,24,Management,8,Positive,Sentiment
44,24,Management,8,Trust,Emotion
45,26,Planning,8,Anticipation,Emotion
46,26,Planning,8,Positive,Sentiment
47,26,Planning,8,Trust,Emotion
48,27,Sewer,8,Disgust,Emotion
49,28,County,8,Trust,Emotion
50,29,Waste,8,Disgust,Emotion
51,29,Waste,8,Negative,Sentiment
52,12,Jail,7,Fear,Emotion
53,12,Jail,7,Negative,Sentiment
54,12,Jail,7,Sadness,Emotion
55,13,County,7,Trust,Emotion
56,14,Maintenance,7,Trust,Emotion
57,19,Budget,7,Trust,Emotion
58,21,Information,7,Positive,Sentiment
59,25,Fleet,7,Positive,Sentiment
60,27,Planning,7,Anticipation,Emotion
61,27,Planning,7,Positive,Sentiment
62,27,Planning,7,Trust,Emotion
63,28,Plan,7,Anticipation,Emotion
64,32,Recreation,7,Anticipation,Emotion
65,32,Recreation,7,Joy,Emotion
66,32,Recreation,7,Positive,Sentiment
67,4,Center,6,Positive,Sentiment
68,4,Center,6,Trust,Emotion
69,9,Emergency,6,Fear,Emotion
70,9,Emergency,6,Negative,Sentiment
71,9,Emergency,6,Sadness,Emotion
72,9,Emergency,6,Surprise,Emotion
73,9,County,6,Trust,Emotion
74,11,County,6,Trust,Emotion
75,11,Law,6,Trust,Emotion
76,12,Prison,6,Anger,Emotion
77,12,Farm,6,Anticipation,Emotion
78,12,Emergency,6,Fear,Emotion
79,12,Prison,6,Fear,Emotion
80,12,Emergency,6,Negative,Sentiment
81,12,Prison,6,Negative,Sentiment
82,12,Emergency,6,Sadness,Emotion
83,12,Prison,6,Sadness,Emotion
84,12,Emergency,6,Surprise,Emotion
85,12,County,6,Trust,Emotion
86,16,Budget,6,Trust,Emotion
87,17,Expenses,6,Negative,Sentiment
88,17,Shelter,6,Positive,Sentiment
89,17,Shelter,6,Trust,Emotion
90,23,Completion,6,Anticipation,Emotion
91,23,Completion,6,Joy,Emotion
92,23,Completion,6,Positive,Sentiment
93,25,Building,6,Positive,Sentiment
94,25,County,6,Trust,Emotion
95,26,Recreation,6,Anticipation,Emotion
96,26,Recreation,6,Joy,Emotion
97,26,Recreation,6,Positive,Sentiment
98,26,County,6,Trust,Emotion
99,27,County,6,Trust,Emotion
100,28,Major,6,Positive,Sentiment
101,30,White,6,Anticipation,Emotion
102,30,White,6,Joy,Emotion
103,30,Goods,6,Positive,Sentiment
104,30,White,6,Positive,Sentiment
105,30,White,6,Trust,Emotion
106,31,Assistance,6,Positive,Sentiment
107,32,Stone,6,Anger,Emotion
108,32,Stone,6,Negative,Sentiment
109,32,Culture,6,Positive,Sentiment
110,1,Public,5,Anticipation,Emotion
111,1,Assistance,5,Positive,Sentiment
112,1,Public,5,Positive,Sentiment
113,1,Budget,5,Trust,Emotion
114,3,Abuse,5,Anger,Emotion
115,3,Abuse,5,Disgust,Emotion
116,3,Abuse,5,Fear,Emotion
117,3,Abuse,5,Negative,Sentiment
118,3,Increase,5,Positive,Sentiment
119,3,Substance,5,Positive,Sentiment
120,3,Abuse,5,Sadness,Emotion
121,5,Community,5,Positive,Sentiment
122,5,Budget,5,Trust,Emotion
123,5,County,5,Trust,Emotion
124,6,Enforcement,5,Negative,Sentiment
125,6,County,5,Trust,Emotion
126,7,Medical,5,Anticipation,Emotion
127,7,Medical,5,Fear,Emotion
128,7,Medical,5,Positive,Sentiment
129,7,Budget,5,Trust,Emotion
130,7,Medical,5,Trust,Emotion
131,9,Enforcement,5,Negative,Sentiment
