"","page_number","word"
"1",1,"ensuring"
"2",1,"an"
"3",1,"equitable"
"4",1,"sustainable"
"5",1,"and"
"6",1,"resilient"
"7",1,"charlotte"
"8",1,"adopted"
"9",1,"fy"
"10",1,"budget"
"11",1,"fy"
"12",1,"capital"
"13",1,"investment"
"14",1,"plan"
"15",3,"ensuring"
"16",3,"an"
"17",3,"equitable"
"18",3,"sustainable"
"19",3,"and"
"20",3,"resilient"
"21",3,"charlotte"
"22",3,"mayor"
"23",3,"vi"
"24",3,"lyles"
"25",3,"mayor"
"26",3,"pro"
"27",3,"tem"
"28",3,"julie"
"29",3,"eiselt"
"30",3,"city"
"31",3,"council"
"32",3,"dimple"
"33",3,"ajmera"
"34",3,"tariq"
"35",3,"scott"
"36",3,"bokhari"
"37",3,"ed"
"38",3,"driggs"
"39",3,"larken"
"40",3,"egleston"
"41",3,"dr"
"42",3,"justin"
"43",3,"harlow"
"44",3,"lawana"
"45",3,"mayfield"
"46",3,"james"
"47",3,"mitchell"
"48",3,"jr"
"49",3,"matt"
"50",3,"newton"
"51",3,"gregory"
"52",3,"a"
"53",3,"phipps"
"54",3,"braxton"
"55",3,"winston"
"56",3,"ii"
"57",3,"city"
"58",3,"manager"
"59",3,"marcus"
"60",3,"d"
"61",3,"jones"
"62",5,"city"
"63",5,"managers"
"64",5,"message"
"65",7,"july"
"66",7,"honorable"
"67",7,"mayor"
"68",7,"and"
"69",7,"city"
"70",7,"council"
"71",7,"city"
"72",7,"of"
"73",7,"charlotte"
"74",7,"north"
"75",7,"carolina"
"76",7,"i"
"77",7,"respectfully"
"78",7,"submit"
"79",7,"to"
"80",7,"you"
"81",7,"the"
"82",7,"adopted"
"83",7,"fiscal"
"84",7,"year"
"85",7,"fy"
"86",7,"budget"
"87",7,"and"
"88",7,"fy"
"89",7,"community"
"90",7,"investment"
"91",7,"plan"
"92",7,"cip"
"93",7,"for"
"94",7,"the"
"95",7,"city"
"96",7,"of"
"97",7,"charlotte"
"98",7,"throughout"
"99",7,"the"
"100",7,"year"
"101",7,"robust"
"102",7,"discussions"
"103",7,"and"
"104",7,"community"
"105",7,"surveys"
"106",7,"with"
"107",7,"residents"
"108",7,"and"
"109",7,"employees"
"110",7,"provided"
"111",7,"valuable"
"112",7,"feedback"
"113",7,"in"
"114",7,"the"
"115",7,"development"
"116",7,"of"
"117",7,"the"
"118",7,"fy"
"119",7,"budget"
"120",7,"guidance"
"121",7,"from"
"122",7,"council"
"123",7,"through"
"124",7,"budget"
"125",7,"committee"
"126",7,"meetings"
"127",7,"budget"
"128",7,"workshops"
"129",7,"a"
"130",7,"budget"
"131",7,"briefing"
"132",7,"and"
"133",7,"a"
"134",7,"budget"
"135",7,"adjustments"
"136",7,"meeting"
"137",7,"also"
"138",7,"helped"
"139",7,"connect"
"140",7,"the"
"141",7,"needs"
"142",7,"of"
"143",7,"the"
"144",7,"city"
"145",7,"the"
"146",7,"extraordinary"
"147",7,"work"
"148",7,"done"
"149",7,"over"
"150",7,"the"
"151",7,"past"
"152",7,"year"
"153",7,"resulted"
"154",7,"in"
"155",7,"a"
"156",7,"strong"
"157",7,"budget"
"158",7,"from"
"159",7,"the"
"160",7,"proposed"
"161",7,"to"
"162",7,"the"
"163",7,"adopted"
"164",7,"budget"
"165",7,"a"
"166",7,"summary"
"167",7,"of"
"168",7,"the"
"169",7,"adopted"
"170",7,"budget"
"171",7,"is"
"172",7,"outlined"
"173",7,"in"
"174",7,"the"
"175",7,"following"
"176",7,"table"
"177",7,"adopted"
"178",7,"fy"
"179",7,"budget"
"180",7,"net"
"181",7,"of"
"182",7,"transfers"
"183",7,"general"
"184",7,"fund"
"185",7,"transfer"
"186",7,"to"
"187",7,"other"
"188",7,"funds"
"189",7,"subtotal"
"190",7,"general"
"191",7,"fund"
"192",7,"aviation"
"193",7,"charlotte"
"194",7,"area"
"195",7,"transit"
"196",7,"system"
"197",7,"cats"
"198",7,"charlotte"
"199",7,"water"
"200",7,"storm"
"201",7,"water"
"202",7,"subtotal"
"203",7,"nongeneral"
"204",7,"funds"
"205",7,"general"
"206",7,"community"
"207",7,"investment"
"208",7,"plan"
"209",7,"general"
"210",7,"capital"
"211",7,"debt"
"212",7,"service"
"213",7,"payasyougo"
"214",7,"funds"
"215",7,"subtotal"
"216",7,"capital"
"217",7,"investments"
"218",7,"debt"
"219",7,"service"
"220",7,"nongeneral"
"221",7,"funds"
"222",7,"special"
"223",7,"revenue"
"224",7,"and"
"225",7,"internal"
"226",7,"service"
"227",7,"funds"
"228",7,"total"
"229",7,"all"
"230",7,"funds"
"231",7,"general"
"232",7,"fund"
"233",7,"adjustments"
"234",7,"through"
"235",7,"the"
"236",7,"budget"
"237",7,"adjustments"
"238",7,"process"
"239",7,"funding"
"240",7,"available"
"241",7,"within"
"242",7,"the"
"243",7,"general"
"244",7,"fund"
"245",7,"undesignated"
"246",7,"balance"
"247",7,"allowed"
"248",7,"for"
"249",7,"in"
"250",7,"onetime"
"251",7,"funding"
"252",7,"to"
"253",7,"be"
"254",7,"designated"
"255",7,"to"
"256",7,"the"
"257",7,"womens"
"258",7,"business"
"259",7,"center"
"260",7,"of"
"261",7,"charlotte"
"262",7,"i"
"263",7,"page"
"264",9,"may"
"265",9,"honorable"
"266",9,"mayor"
"267",9,"and"
"268",9,"city"
"269",9,"council"
"270",9,"city"
"271",9,"of"
"272",9,"charlotte"
"273",9,"north"
"274",9,"carolina"
"275",9,"i"
"276",9,"respectfully"
"277",9,"submit"
"278",9,"to"
"279",9,"you"
"280",9,"the"
"281",9,"proposed"
"282",9,"fiscal"
"283",9,"year"
"284",9,"fy"
"285",9,"budget"
"286",9,"for"
"287",9,"the"
"288",9,"city"
"289",9,"of"
"290",9,"charlotte"
"291",9,"the"
"292",9,"proposed"
"293",9,"budget"
"294",9,"is"
"295",9,"composed"
"296",9,"of"
"297",9,"the"
"298",9,"general"
"299",9,"fund"
"300",9,"enterprise"
"301",9,"funds"
"302",9,"capital"
"303",9,"funds"
"304",9,"internal"
"305",9,"service"
"306",9,"funds"
"307",9,"and"
"308",9,"special"
"309",9,"revenue"
"310",9,"funds"
"311",9,"for"
"312",9,"a"
"313",9,"total"
"314",9,"of"
"315",9,"billion"
"316",9,"net"
"317",9,"of"
"318",9,"transfers"
"319",9,"a"
"320",9,"summary"
"321",9,"of"
"322",9,"the"
"323",9,"proposed"
"324",9,"budget"
"325",9,"is"
"326",9,"outlined"
"327",9,"in"
"328",9,"the"
"329",9,"following"
"330",9,"table"
"331",9,"proposed"
"332",9,"fy"
"333",9,"budget"
"334",9,"net"
"335",9,"of"
"336",9,"transfers"
"337",9,"general"
"338",9,"fund"
"339",9,"transfer"
"340",9,"to"
"341",9,"other"
"342",9,"funds"
"343",9,"subtotal"
"344",9,"general"
"345",9,"fund"
"346",9,"aviation"
"347",9,"charlotte"
"348",9,"area"
"349",9,"transit"
"350",9,"system"
"351",9,"cats"
"352",9,"charlotte"
"353",9,"water"
"354",9,"storm"
"355",9,"water"
"356",9,"subtotal"
"357",9,"nongeneral"
"358",9,"funds"
"359",9,"general"
"360",9,"community"
"361",9,"investment"
"362",9,"plan"
"363",9,"general"
"364",9,"capital"
"365",9,"debt"
"366",9,"service"
"367",9,"payasyougo"
"368",9,"funds"
"369",9,"subtotal"
"370",9,"capital"
"371",9,"investments"
"372",9,"debt"
"373",9,"service"
"374",9,"nongeneral"
"375",9,"funds"
"376",9,"special"
"377",9,"revenue"
"378",9,"and"
"379",9,"internal"
"380",9,"service"
"381",9,"funds"
"382",9,"total"
"383",9,"all"
"384",9,"funds"
"385",9,"the"
"386",9,"proposed"
"387",9,"fy"
"388",9,"budget"
"389",9,"continues"
"390",9,"the"
"391",9,"unification"
"392",9,"and"
"393",9,"efficiency"
"394",9,"efforts"
"395",9,"the"
"396",9,"city"
"397",9,"is"
"398",9,"undergoing"
"399",9,"last"
"400",9,"years"
"401",9,"budget"
"402",9,"signaled"
"403",9,"the"
"404",9,"end"
"405",9,"of"
"406",9,"run"
"407",9,"your"
"408",9,"business"
"409",9,"we"
"410",9,"are"
"411",9,"becoming"
"412",9,"a"
"413",9,"more"
"414",9,"collaborative"
"415",9,"responsive"
"416",9,"organization"
"417",9,"focused"
"418",9,"on"
"419",9,"providing"
"420",9,"the"
"421",9,"highest"
"422",9,"quality"
"423",9,"services"
"424",9,"possible"
"425",9,"in"
"426",9,"a"
"427",9,"cost"
"428",9,"effective"
"429",9,"and"
"430",9,"accountable"
"431",9,"manner"
"432",9,"to"
"433",9,"continue"
"434",9,"to"
"435",9,"move"
"436",9,"the"
"437",9,"city"
"438",9,"forward"
"439",9,"the"
"440",9,"proposed"
"441",9,"fy"
"442",9,"budget"
"443",9,"focuses"
"444",9,"on"
"445",9,"four"
"446",9,"new"
"447",9,"strategic"
"448",9,"priorities"
"449",9,"economic"
"450",9,"development"
"451",9,"neighborhood"
"452",9,"development"
"453",9,"transportation"
"454",9,"and"
"455",9,"planning"
"456",9,"and"
"457",9,"well"
"458",9,"managed"
"459",9,"government"
"460",9,"iii"
"461",9,"p"
"462",9,"a"
"463",9,"g"
"464",9,"e"
"465",10,"the"
"466",10,"proposed"
"467",10,"fy"
"468",10,"general"
"469",10,"fund"
"470",10,"budget"
"471",10,"is"
"472",10,"million"
"473",10,"a"
"474",10,"percent"
"475",10,"or"
"476",10,"million"
"477",10,"increase"
"478",10,"over"
"479",10,"last"
"480",10,"year"
"481",10,"the"
"482",10,"total"
"483",10,"budget"
"484",10,"is"
"485",10,"billion"
"486",10,"and"
"487",10,"supports"
"488",10,"initiatives"
"489",10,"that"
"490",10,"increase"
"491",10,"our"
"492",10,"capacity"
"493",10,"to"
"494",10,"achieve"
"495",10,"great"
"496",10,"things"
"497",10,"in"
"498",10,"our"
"499",10,"communities"
"500",10,"highlights"
"501",10,"of"
"502",10,"the"
"503",10,"budget"
"504",10,"include"
"505",10,"no"
"506",10,"property"
"507",10,"tax"
"508",10,"increases"
"509",10,"increases"
"510",10,"the"
"511",10,"minimum"
"512",10,"wage"
"513",10,"of"
"514",10,"fulltime"
"515",10,"city"
"516",10,"of"
"517",10,"charlotte"
"518",10,"employees"
"519",10,"to"
"520",10,"per"
"521",10,"hour"
"522",10,"provides"
"523",10,"a"
"524",10,"three"
"525",10,"percent"
"526",10,"merit"
"527",10,"pool"
"528",10,"for"
"529",10,"salaried"
"530",10,"employees"
"531",10,"provides"
"532",10,"a"
"533",10,"percent"
"534",10,"market"
"535",10,"adjustment"
"536",10,"and"
"537",10,"percent"
"538",10,"merit"
"539",10,"pool"
"540",10,"for"
"541",10,"hourly"
"542",10,"employees"
"543",10,"enhances"
"544",10,"the"
"545",10,"above"
"546",10,"increases"
"547",10,"to"
"548",10,"a"
"549",10,"per"
"550",10,"year"
"551",10,"or"
"552",10,"per"
"553",10,"hour"
"554",10,"minimum"
"555",10,"for"
"556",10,"all"
"557",10,"fulltime"
"558",10,"general"
"559",10,"employees"
"560",10,"earning"
"561",10,"less"
"562",10,"than"
"563",10,"per"
"564",10,"year"
"565",10,"enhances"
"566",10,"public"
"567",10,"safety"
"568",10,"employee"
"569",10,"compensation"
"570",10,"o"
"571",10,"an"
"572",10,"additional"
"573",10,"five"
"574",10,"percent"
"575",10,"pay"
"576",10,"increase"
"577",10,"for"
"578",10,"all"
"579",10,"police"
"580",10,"sergeants"
"581",10,"o"
"582",10,"an"
"583",10,"additional"
"584",10,"five"
"585",10,"percent"
"586",10,"pay"
"587",10,"increase"
"588",10,"for"
"589",10,"topstep"
"590",10,"police"
"591",10,"officers"
"592",10,"through"
"593",10,"the"
"594",10,"senior"
"595",10,"police"
"596",10,"officer"
"597",10,"program"
"598",10,"o"
"599",10,"a"
"600",10,"percent"
"601",10,"pay"
"602",10,"increase"
"603",10,"for"
"604",10,"all"
"605",10,"fire"
"606",10,"captains"
"607",10,"and"
"608",10,"for"
"609",10,"topstep"
"610",10,"fire"
"611",10,"engineers"
"612",10,"o"
"613",10,"an"
"614",10,"additional"
"615",10,"one"
"616",10,"percent"
"617",10,"to"
"618",10,"the"
"619",10,"city"
"620",10,"k"
"621",10,"contribution"
"622",10,"for"
"623",10,"firefighters"
"624",10,"in"
"625",10,"january"
"626",10,"no"
"627",10,"healthcare"
"628",10,"premium"
"629",10,"cost"
"630",10,"increase"
"631",10,"for"
"632",10,"any"
"633",10,"employee"
"634",10,"in"
"635",10,"any"
"636",10,"plan"
"637",10,"promotes"
"638",10,"the"
"639",10,"creation"
"640",10,"and"
"641",10,"preservation"
"642",10,"of"
"643",10,"affordable"
"644",10,"housing"
"645",10,"by"
"646",10,"doubling"
"647",10,"the"
"648",10,"affordable"
"649",10,"housing"
"650",10,"bond"
"651",10,"allocation"
"652",10,"from"
"653",10,"million"
"654",10,"to"
"655",10,"million"
"656",10,"and"
"657",10,"provides"
"658",10,"an"
"659",10,"additional"
"660",10,"million"
"661",10,"to"
"662",10,"support"
"663",10,"other"
"664",10,"affordable"
"665",10,"housing"
"666",10,"initiatives"
"667",10,"helps"
"668",10,"qualifying"
