"","page_number","word"
"1",1,"fiscal"
"2",1,"year"
"3",1,"adopted"
"4",1,"budget"
"5",1,"july"
"6",1,"june"
"7",2,"city"
"8",2,"of"
"9",2,"durham"
"10",2,"north"
"11",2,"carolina"
"12",2,"budget"
"13",2,"fiscal"
"14",2,"year"
"15",2,"durham"
"16",2,"where"
"17",2,"great"
"18",2,"things"
"19",2,"happen"
"20",3,"city"
"21",3,"vision"
"22",3,"statement"
"23",3,"durham"
"24",3,"is"
"25",3,"the"
"26",3,"leading"
"27",3,"city"
"28",3,"in"
"29",3,"providing"
"30",3,"an"
"31",3,"excellent"
"32",3,"and"
"33",3,"sustainable"
"34",3,"quality"
"35",3,"of"
"36",3,"life"
"37",3,"city"
"38",3,"mission"
"39",3,"statement"
"40",3,"to"
"41",3,"provide"
"42",3,"quality"
"43",3,"services"
"44",3,"to"
"45",3,"make"
"46",3,"durham"
"47",3,"a"
"48",3,"great"
"49",3,"place"
"50",3,"to"
"51",3,"live"
"52",3,"work"
"53",3,"and"
"54",3,"play"
"55",3,"council"
"56",3,"goals"
"57",3,"shared"
"58",3,"economic"
"59",3,"prosperity"
"60",3,"creating"
"61",3,"a"
"62",3,"safer"
"63",3,"community"
"64",3,"together"
"65",3,"connected"
"66",3,"engaged"
"67",3,"and"
"68",3,"diverse"
"69",3,"communities"
"70",3,"innovative"
"71",3,"high"
"72",3,"performing"
"73",3,"organization"
"74",3,"sustainable"
"75",3,"natural"
"76",3,"and"
"77",3,"built"
"78",3,"environment"
"79",3,"about"
"80",3,"the"
"81",3,"cover"
"82",3,"in"
"83",3,"the"
"84",3,"city"
"85",3,"of"
"86",3,"durham"
"87",3,"celebrates"
"88",3,"its"
"89",3,"th"
"90",3,"anniversary"
"91",3,"the"
"92",3,"cover"
"93",3,"of"
"94",3,"this"
"95",3,"years"
"96",3,"budget"
"97",3,"book"
"98",3,"shows"
"99",3,"photos"
"100",3,"reflecting"
"101",3,"the"
"102",3,"history"
"103",3,"of"
"104",3,"the"
"105",3,"city"
"106",3,"services"
"107",3,"in"
"108",3,"durham"
"109",4,"fiscal"
"110",4,"year"
"111",4,"city"
"112",4,"council"
"113",4,"steve"
"114",4,"schewel"
"115",4,"mayor"
"116",4,"vernetta"
"117",4,"alston"
"118",4,"ward"
"119",4,"markanthony"
"120",4,"middleton"
"121",4,"ward"
"122",4,"jillian"
"123",4,"johnson"
"124",4,"mayor"
"125",4,"pro"
"126",4,"tempore"
"127",4,"javiera"
"128",4,"caballero"
"129",4,"atlarge"
"130",4,"charlie"
"131",4,"reece"
"132",4,"atlarge"
"133",4,"dedreana"
"134",4,"freeman"
"135",4,"ward"
"136",4,"city"
"137",4,"managers"
"138",4,"office"
"139",4,"thomas"
"140",4,"j"
"141",4,"bonfield"
"142",4,"city"
"143",4,"manager"
"144",4,"wanda"
"145",4,"page"
"146",4,"deputy"
"147",4,"city"
"148",4,"manager"
"149",4,"keith"
"150",4,"chadwell"
"151",4,"deputy"
"152",4,"city"
"153",4,"manager"
"154",4,"bo"
"155",4,"ferguson"
"156",4,"deputy"
"157",4,"city"
"158",4,"manager"
"159",4,"budget"
"160",4,"and"
"161",4,"management"
"162",4,"services"
"163",4,"bertha"
"164",4,"t"
"165",4,"johnson"
"166",4,"director"
"167",4,"budget"
"168",4,"and"
"169",4,"capital"
"170",4,"improvement"
"171",4,"plan"
"172",4,"cip"
"173",4,"john"
"174",4,"allore"
"175",4,"assistant"
"176",4,"director"
"177",4,"budget"
"178",4,"and"
"179",4,"cip"
"180",4,"christina"
"181",4,"riordan"
"182",4,"principal"
"183",4,"budget"
"184",4,"and"
"185",4,"management"
"186",4,"analyst"
"187",4,"budget"
"188",4,"coordinator"
"189",4,"christina"
"190",4,"tookes"
"191",4,"senior"
"192",4,"budget"
"193",4,"and"
"194",4,"management"
"195",4,"analyst"
"196",4,"cip"
"197",4,"coordinator"
"198",4,"ben"
"199",4,"kittelson"
"200",4,"senior"
"201",4,"budget"
"202",4,"and"
"203",4,"management"
"204",4,"analyst"
"205",4,"pat"
"206",4,"madej"
"207",4,"budget"
"208",4,"and"
"209",4,"management"
"210",4,"analyst"
"211",4,"toney"
"212",4,"thompson"
"213",4,"budget"
"214",4,"and"
"215",4,"management"
"216",4,"analyst"
"217",4,"hallee"
"218",4,"haygood"
"219",4,"graduate"
"220",4,"budget"
"221",4,"and"
"222",4,"management"
"223",4,"intern"
"224",4,"participatory"
"225",4,"budgeting"
"226",4,"andrew"
"227",4,"holland"
"228",4,"community"
"229",4,"engagement"
"230",4,"manager"
"231",4,"robin"
"232",4,"baker"
"233",4,"senior"
"234",4,"community"
"235",4,"engagement"
"236",4,"coordinator"
"237",4,"carmen"
"238",4,"ortiz"
"239",4,"hispanic"
"240",4,"community"
"241",4,"engagement"
"242",4,"coordinator"
"243",4,"justin"
"244",4,"henderson"
"245",4,"participatory"
"246",4,"budgeting"
"247",4,"intern"
"248",4,"jamie"
"249",4,"tindal"
"250",4,"participatory"
"251",4,"budgeting"
"252",4,"intern"
"253",4,"office"
"254",4,"of"
"255",4,"performance"
"256",4,"and"
"257",4,"innovation"
"258",4,"josh"
"259",4,"edwards"
"260",4,"assistant"
"261",4,"director"
"262",4,"strategy"
"263",4,"and"
"264",4,"performance"
"265",4,"shari"
"266",4,"metcalfe"
"267",4,"performance"
"268",4,"manager"
"269",4,"ryan"
"270",4,"smith"
"271",4,"strategic"
"272",4,"initiatives"
"273",4,"manager"
"274",4,"erin"
"275",4,"parish"
"276",4,"design"
"277",4,"strategist"
"278",4,"darin"
"279",4,"johnson"
"280",4,"strategic"
"281",4,"initiatives"
"282",4,"analyst"
"283",4,"chukwuemeka"
"284",4,"manning"
"285",4,"community"
"286",4,"engagement"
"287",4,"coordinator"
"288",4,"shannon"
"289",4,"delaney"
"290",4,"design"
"291",4,"strategist"
"292",4,"cherine"
"293",4,"robinson"
"294",4,"senior"
"295",4,"executive"
"296",4,"assistant"
"297",5,"the"
"298",5,"governmental"
"299",5,"finance"
"300",5,"officers"
"301",5,"association"
"302",5,"of"
"303",5,"the"
"304",5,"united"
"305",5,"states"
"306",5,"and"
"307",5,"canada"
"308",5,"gfoa"
"309",5,"presented"
"310",5,"an"
"311",5,"award"
"312",5,"for"
"313",5,"distinguished"
"314",5,"presentation"
"315",5,"to"
"316",5,"the"
"317",5,"city"
"318",5,"of"
"319",5,"durham"
"320",5,"for"
"321",5,"its"
"322",5,"annual"
"323",5,"budget"
"324",5,"for"
"325",5,"the"
"326",5,"fiscal"
"327",5,"year"
"328",5,"beginning"
"329",5,"july"
"330",5,"this"
"331",5,"award"
"332",5,"is"
"333",5,"valid"
"334",5,"for"
"335",5,"a"
"336",5,"period"
"337",5,"of"
"338",5,"one"
"339",5,"year"
"340",5,"only"
"341",5,"in"
"342",5,"order"
"343",5,"to"
"344",5,"receive"
"345",5,"the"
"346",5,"award"
"347",5,"a"
"348",5,"governmental"
"349",5,"unit"
"350",5,"must"
"351",5,"publish"
"352",5,"a"
"353",5,"budget"
"354",5,"document"
"355",5,"that"
"356",5,"meets"
"357",5,"program"
"358",5,"criteria"
"359",5,"as"
"360",5,"a"
"361",5,"policy"
"362",5,"document"
"363",5,"as"
"364",5,"an"
"365",5,"operational"
"366",5,"guide"
"367",5,"as"
"368",5,"a"
"369",5,"finnancial"
"370",5,"plan"
"371",5,"and"
"372",5,"as"
"373",5,"a"
"374",5,"communications"
"375",5,"device"
"376",6,"schewel"
"377",6,"alston"
"378",6,"caballero"
"379",6,"freeman"
"380",6,"johnson"
"381",6,"middleton"
"382",6,"reece"
"383",6,"mayor"
"384",6,"and"
"385",6,"city"
"386",6,"council"
"387",6,"kimberly"
"388",6,"m"
"389",6,"rehberg"
"390",6,"thomas"
"391",6,"j"
"392",6,"bonfield"
"393",6,"diana"
"394",6,"schreiber"
"395",6,"city"
"396",6,"attorney"
"397",6,"city"
"398",6,"manager"
"399",6,"city"
"400",6,"clerk"
"401",6,"office"
"402",6,"of"
"403",6,"public"
"404",6,"affairs"
"405",6,"audit"
"406",6,"services"
"407",6,"administrative"
"408",6,"and"
"409",6,"support"
"410",6,"operations"
"411",6,"community"
"412",6,"building"
"413",6,"wanda"
"414",6,"s"
"415",6,"page"
"416",6,"w"
"417",6,"bowman"
"418",6,"ferguson"
"419",6,"keith"
"420",6,"chadwell"
"421",6,"deputy"
"422",6,"city"
"423",6,"manager"
"424",6,"deputy"
"425",6,"city"
"426",6,"manager"
"427",6,"deputy"
"428",6,"city"
"429",6,"manager"
"430",6,"budget"
"431",6,"and"
"432",6,"management"
"433",6,"citycounty"
"434",6,"emergency"
"435",6,"general"
"436",6,"services"
"437",6,"citycounty"
"438",6,"inspections"
"439",6,"services"
"440",6,"management"
"441",6,"parks"
"442",6,"and"
"443",6,"recreation"
"444",6,"citycounty"
"445",6,"planning"
"446",6,"fire"
"447",6,"equity"
"448",6,"inclusion"
"449",6,"public"
"450",6,"works"
"451",6,"community"
"452",6,"development"
"453",6,"police"
"454",6,"solid"
"455",6,"waste"
"456",6,"management"
"457",6,"transportation"
"458",6,"finance"
"459",6,"citycounty"
"460",6,"emergency"
"461",6,"communications"
"462",6,"water"
"463",6,"management"
"464",6,"economic"
"465",6,"and"
"466",6,"workforce"
"467",6,"human"
"468",6,"resources"
"469",6,"development"
"470",6,"fleet"
"471",6,"management"
"472",6,"technology"
"473",6,"solutions"
"474",6,"neighborhood"
"475",6,"improvement"
"476",6,"citycounty"
"477",6,"department"
"478",6,"services"
"479",7,"table"
"480",7,"of"
"481",7,"contents"
"482",7,"letter"
"483",7,"of"
"484",7,"transmittal"
"485",7,"managers"
"486",7,"letter"
"487",7,"city"
"488",7,"priorities"
"489",7,"and"
"490",7,"policies"
"491",7,"overview"
"492",7,"strategic"
"493",7,"plan"
"494",7,"goal"
"495",7,"crosswalk"
"496",7,"budget"
"497",7,"and"
"498",7,"financial"
"499",7,"policies"
"500",7,"multiyear"
"501",7,"projections"
"502",7,"overview"
"503",7,"fund"
"504",7,"appropriation"
"505",7,"and"
"506",7,"revenue"
"507",7,"projections"
"508",7,"budget"
"509",7,"summaries"
"510",7,"summaryall"
"511",7,"funds"
"512",7,"summary"
"513",7,"of"
"514",7,"revenuesfunds"
"515",7,"recognized"
"516",7,"in"
"517",7,"budget"
"518",7,"ordinance"
"519",7,"operating"
"520",7,"funds"
"521",7,"by"
"522",7,"appropriate"
"523",7,"category"
"524",7,"intrabudget"
"525",7,"transfers"
"526",7,"summary"
"527",7,"of"
"528",7,"appropriations"
"529",7,"for"
"530",7,"all"
"531",7,"funds"
"532",7,"property"
"533",7,"tax"
"534",7,"base"
"535",7,"information"
"536",7,"tax"
"537",7,"rate"
"538",7,"and"
"539",7,"estimated"
"540",7,"tax"
"541",7,"collection"
"542",7,"fund"
"543",7,"balanceestimated"
"544",7,"changed"
"545",7,"in"
"546",7,"unrestricted"
"547",7,"fund"
"548",7,"balance"
"549",7,"summary"
"550",7,"of"
"551",7,"authorized"
"552",7,"positions"
"553",7,"by"
"554",7,"department"
"555",7,"summary"
"556",7,"of"
"557",7,"authorized"
"558",7,"position"
"559",7,"by"
"560",7,"fund"
"561",7,"fund"
"562",7,"summaries"
"563",7,"overview"
"564",7,"general"
"565",7,"fund"
"566",7,"summary"
"567",7,"general"
"568",7,"funddiscretionary"
"569",7,"revenue"
"570",7,"general"
"571",7,"fundprogram"
"572",7,"revenues"
"573",7,"general"
"574",7,"fundnondepartmental"
"575",7,"appropriations"
"576",7,"debt"
"577",7,"service"
"578",7,"fund"
"579",7,"water"
"580",7,"and"
"581",7,"sewer"
"582",7,"fund"
"583",7,"solid"
"584",7,"waste"
"585",7,"fund"
"586",7,"stormwater"
"587",7,"management"
"588",7,"fund"
"589",7,"transit"
"590",7,"fund"
