"","page_number","word"
"1",1,"approved"
"2",1,"budget"
"3",1,"fy"
"4",2,"durham"
"5",2,"county"
"6",2,"north"
"7",2,"carolina"
"8",2,"fy"
"9",2,"approved"
"10",2,"budget"
"11",2,"board"
"12",2,"of"
"13",2,"county"
"14",2,"commissioners"
"15",2,"wendy"
"16",2,"jacobs"
"17",2,"chair"
"18",2,"james"
"19",2,"hill"
"20",2,"vicechair"
"21",2,"heidi"
"22",2,"carter"
"23",2,"brenda"
"24",2,"howerton"
"25",2,"ellen"
"26",2,"w"
"27",2,"reckhow"
"28",2,"county"
"29",2,"officials"
"30",2,"budget"
"31",2,"and"
"32",2,"management"
"33",2,"staff"
"34",2,"s"
"35",2,"keith"
"36",2,"lane"
"37",2,"budget"
"38",2,"director"
"39",2,"wendell"
"40",2,"davis"
"41",2,"county"
"42",2,"manager"
"43",2,"drew"
"44",2,"cummings"
"45",2,"chief"
"46",2,"of"
"47",2,"staff"
"48",2,"david"
"49",2,"ades"
"50",2,"assistant"
"51",2,"budget"
"52",2,"director"
"53",2,"claudia"
"54",2,"hager"
"55",2,"general"
"56",2,"manager"
"57",2,"lowell"
"58",2,"siler"
"59",2,"county"
"60",2,"attorney"
"61",2,"kim"
"62",2,"connally"
"63",2,"sr"
"64",2,"budget"
"65",2,"analyst"
"66",2,"jay"
"67",2,"gibson"
"68",2,"general"
"69",2,"manager"
"70",2,"monica"
"71",2,"toomer"
"72",2,"clerk"
"73",2,"to"
"74",2,"the"
"75",2,"board"
"76",2,"josh"
"77",2,"edwards"
"78",2,"budget"
"79",2,"analyst"
"80",2,"jodi"
"81",2,"miller"
"82",2,"general"
"83",2,"manager"
"84",2,"susan"
"85",2,"tezai"
"86",2,"chief"
"87",2,"financial"
"88",2,"officer"
"89",2,"jonathan"
"90",2,"yeomans"
"91",2,"budget"
"92",2,"analyst"
"93",2,"gayle"
"94",2,"harris"
"95",2,"general"
"96",2,"manager"
"97",2,"matt"
"98",2,"hunt"
"99",2,"budget"
"100",2,"analyst"
"101",2,"deborah"
"102",2,"craigray"
"103",2,"general"
"104",2,"manager"
"105",2,"bethany"
"106",2,"shewmaker"
"107",2,"performance"
"108",2,"analyst"
"109",3,"citizens"
"110",3,"county"
"111",3,"bocc"
"112",3,"clerk"
"113",3,"to"
"114",3,"board"
"115",3,"attorney"
"116",3,"tax"
"117",3,"administrator"
"118",3,"county"
"119",3,"human"
"120",3,"manager"
"121",3,"internal"
"122",3,"resources"
"123",3,"auditor"
"124",3,"chief"
"125",3,"of"
"126",3,"staff"
"127",3,"gmstrategic"
"128",3,"mgmt"
"129",3,"gmenvironmental"
"130",3,"gmfin"
"131",3,"affairs"
"132",3,"gmpublic"
"133",3,"health"
"134",3,"gmcmty"
"135",3,"public"
"136",3,"public"
"137",3,"affairs"
"138",3,"stewardship"
"139",3,"process"
"140",3,"impvm"
"141",3,"cmty"
"142",3,"wellbeing"
"143",3,"safety"
"144",3,"special"
"145",3,"projects"
"146",3,"cmty"
"147",3,"prosperity"
"148",3,"gov"
"149",3,"efficency"
"150",3,"strategic"
"151",3,"sheriff"
"152",3,"offices"
"153",3,"citycounty"
"154",3,"planning"
"155",3,"public"
"156",3,"health"
"157",3,"jail"
"158",3,"finance"
"159",3,"planning"
"160",3,"innovation"
"161",3,"operations"
"162",3,"public"
"163",3,"citycounty"
"164",3,"budget"
"165",3,"social"
"166",3,"svcs"
"167",3,"fire"
"168",3,"marshal"
"169",3,"information"
"170",3,"gis"
"171",3,"mgmt"
"172",3,"svcs"
"173",3,"legislative"
"174",3,"information"
"175",3,"cooperative"
"176",3,"emergency"
"177",3,"citycounty"
"178",3,"svcs"
"179",3,"tech"
"180",3,"sap"
"181",3,"extension"
"182",3,"mgmt"
"183",3,"inspections"
"184",3,"advocacy"
"185",3,"shared"
"186",3,"svcs"
"187",3,"e"
"188",3,"youth"
"189",3,"economic"
"190",3,"tax"
"191",3,"veteran"
"192",3,"svcs"
"193",3,"emergency"
"194",3,"initiatives"
"195",3,"development"
"196",3,"administration"
"197",3,"comm"
"198",3,"forest"
"199",3,"county"
"200",3,"durham"
"201",3,"public"
"202",3,"liaisonalliance"
"203",3,"general"
"204",3,"svcs"
"205",3,"protection"
"206",3,"engineering"
"207",3,"schools"
"208",3,"behavioral"
"209",3,"svcs"
"210",3,"youth"
"211",3,"soil"
"212",3,"water"
"213",3,"board"
"214",3,"of"
"215",3,"housing"
"216",3,"detention"
"217",3,"conservation"
"218",3,"elections"
"219",3,"programs"
"220",3,"home"
"221",3,"district"
"222",3,"libraries"
"223",3,"emergency"
"224",3,"register"
"225",3,"of"
"226",3,"mgmt"
"227",3,"deeds"
"228",3,"reporting"
"229",3,"medical"
"230",3,"svcs"
"231",3,"board"
"232",3,"request"
"233",3,"cjrc"
"234",3,"constituent"
"235",3,"svcs"
"236",3,"special"
"237",3,"programs"
"238",4,"background"
"239",4,"history"
"240",4,"durham"
"241",4,"county"
"242",4,"provides"
"243",4,"a"
"244",4,"full"
"245",4,"range"
"246",4,"of"
"247",4,"services"
"248",4,"including"
"249",4,"sheriff"
"250",4,"and"
"251",4,"fire"
"252",4,"protection"
"253",4,"emergency"
"254",4,"medical"
"255",4,"services"
"256",4,"durham"
"257",4,"began"
"258",4,"as"
"259",4,"a"
"260",4,"railroad"
"261",4,"station"
"262",4,"and"
"263",4,"settlement"
"264",4,"named"
"265",4,"human"
"266",4,"services"
"267",4,"public"
"268",4,"health"
"269",4,"mental"
"270",4,"health"
"271",4,"and"
"272",4,"social"
"273",4,"for"
"274",4,"dr"
"275",4,"bartlett"
"276",4,"durham"
"277",4,"while"
"278",4,"the"
"279",4,"official"
"280",4,"birth"
"281",4,"date"
"282",4,"is"
"283",4,"april"
"284",4,"services"
"285",4,"elections"
"286",4,"register"
"287",4,"of"
"288",4,"deeds"
"289",4,"animal"
"290",4,"control"
"291",4,"when"
"292",4,"the"
"293",4,"us"
"294",4,"post"
"295",4,"office"
"296",4,"was"
"297",4,"established"
"298",4,"the"
"299",4,"youth"
"300",4,"home"
"301",4,"criminal"
"302",4,"justice"
"303",4,"and"
"304",4,"culture"
