"","page_number","word"
"1",2,"guilford"
"2",2,"county"
"3",2,"by"
"4",2,"the"
"5",2,"numbers"
"6",2,"what"
"7",2,"makes"
"8",2,"us"
"9",2,"count"
"10",2,"county"
"11",2,"ou"
"12",2,"ou"
"13",2,"un"
"14",2,"unt"
"15",2,"nty"
"16",2,"st"
"17",2,"n"
"18",2,"s"
"19",2,"staff"
"20",2,"ta"
"21",2,"taf"
"22",2,"af"
"23",2,"rerready"
"24",2,"e"
"25",2,"ea"
"26",2,"ead"
"27",2,"ad"
"28",2,"and"
"29",2,"nd"
"30",2,"cities"
"31",2,"av"
"32",2,"ava"
"33",2,"a"
"34",2,"v"
"35",2,"vaaiil"
"36",2,"ila"
"37",2,"la"
"38",2,"lab"
"39",2,"ab"
"40",2,"ab"
"41",2,"available"
"42",2,"blle"
"43",2,"ble"
"44",2,"le"
"45",2,"ttoosserve"
"46",2,"seerve"
"47",2,"towns"
"48",2,"county"
"49",2,"buildings"
"50",2,"covering"
"51",2,"and"
"52",2,"rural"
"53",2,"areas"
"54",2,"estimated"
"55",2,"county"
"56",2,"million"
"57",2,"residents"
"58",2,"as"
"59",2,"of"
"60",2,"square"
"61",2,"feet"
"62",2,"rural"
"63",2,"areas"
"64",2,"of"
"65",2,"space"
"66",2,"july"
"67",2,"public"
"68",2,"safety"
"69",2,"health"
"70",2,"human"
"71",2,"services"
"72",2,"percent"
"73",2,"of"
"74",2,"ems"
"75",2,"calls"
"76",2,"responded"
"77",2,"to"
"78",2,"in"
"79",2,"minutes"
"80",2,"or"
"81",2,"less"
"82",2,"from"
"83",2,"time"
"84",2,"of"
"85",2,"dispatch"
"86",2,"percent"
"87",2,"of"
"88",2,"population"
"89",2,"eligible"
"90",2,"for"
"91",2,"medicaid"
"92",2,"minute"
"93",2,"average"
"94",2,"le"
"95",2,"response"
"96",2,"time"
"97",2,"live"
"98",2,"births"
"99",2,"in"
"100",2,"from"
"101",2,"dispatch"
"102",2,"recreation"
"103",2,"culture"
"104",2,"education"
"105",2,"students"
"106",2,"attending"
"107",2,"public"
"108",2,"and"
"109",2,"charter"
"110",2,"acres"
"111",2,"of"
"112",2,"parks"
"113",2,"trails"
"114",2,"and"
"115",2,"schools"
"116",2,"in"
"117",2,"fy"
"118",2,"open"
"119",2,"space"
"120",2,"students"
"121",2,"enrolled"
"122",2,"at"
"123",2,"gtcc"
"124",2,"in"
"125",2,"fy"
"126",2,"economic"
"127",2,"development"
"128",2,"general"
"129",2,"government"
"130",2,"economic"
"131",2,"development"
"132",2,"organizations"
"133",2,"aaa"
"134",2,"highest"
"135",2,"bond"
"136",2,"rating"
"137",2,"maintained"
"138",2,"in"
"139",2,"fy"
"140",2,"and"
"141",2,"cultural"
"142",2,"agencies"
"143",2,"awarded"
"144",2,"a"
"145",2,"total"
"146",2,"of"
"147",2,"in"
"148",2,"fy"
"149",2,"to"
"150",2,"support"
"151",2,"job"
"152",2,"and"
"153",2,"business"
"154",2,"usiness"
"155",2,"voter"
"156",2,"information"
"157",2,"updates"
"158",2,"and"
"159",2,"new"
"160",2,"registrations"
"161",2,"prospects"
"162",2,"processed"
"163",2,"in"
"164",2,"fy"
"165",2,"sources"
"166",2,"nc"
"167",2,"office"
"168",2,"of"
"169",2,"state"
"170",2,"budget"
"171",2,"mgmt"
"172",2,"nc"
"173",2,"division"
"174",2,"of"
"175",2,"medical"
"176",2,"assistance"
"177",2,"nc"
"178",2,"dept"
"179",2,"of"
"180",2,"public"
"181",2,"instruction"
"182",2,"and"
"183",2,"nc"
"184",2,"community"
"185",2,"colleges"
"186",3,"guilford"
"187",3,"countystate"
"188",3,"of"
"189",3,"north"
"190",3,"carolina"
"191",3,"fiscal"
"192",3,"year"
"193",3,"adopted"
"194",3,"budget"
"195",3,"july"
"196",3,"june"
"197",3,"board"
"198",3,"of"
"199",3,"commissioners"
"200",3,"board"
"201",3,"chair"
"202",3,"board"
"203",3,"vice"
"204",3,"chair"
"205",3,"alan"
"206",3,"branson"
"207",3,"jeffery"
"208",3,"m"
"209",3,"phillips"
"210",3,"commissioners"
"211",3,"melvin"
"212",3,"skip"
"213",3,"alston"
"214",3,"katie"
"215",3,"kay"
"216",3,"cashion"
"217",3,"carolyn"
"218",3,"q"
"219",3,"coleman"
"220",3,"justin"
"221",3,"conrad"
"222",3,"j"
"223",3,"carlvena"
"224",3,"foster"
"225",3,"hank"
"226",3,"henning"
"227",3,"alan"
"228",3,"perdue"
"229",3,"county"
"230",3,"manager"
"231",3,"marty"
"232",3,"k"
"233",3,"lawing"
"234",3,"deputy"
"235",3,"county"
"236",3,"manager"
"237",3,"clarence"
"238",3,"g"
"239",3,"grier"
"240",3,"budget"
"241",3,"management"
"242",3,"evaluation"
"243",3,"michael"
"244",3,"halford"
"245",3,"budget"
"246",3,"management"
"247",3,"evaluation"
"248",3,"director"
"249",3,"jason"
"250",3,"jones"
"251",3,"analytics"
"252",3,"innovation"
"253",3,"manager"
"254",3,"alex"
"255",3,"smith"
"256",3,"senior"
"257",3,"budget"
