,page_number,word,organization
0,1,ensuring,Charlotte City
1,1,an,Charlotte City
2,1,equitable,Charlotte City
3,1,sustainable,Charlotte City
4,1,and,Charlotte City
5,1,resilient,Charlotte City
6,1,charlotte,Charlotte City
7,1,adopted,Charlotte City
8,1,fy,Charlotte City
9,1,budget,Charlotte City
10,1,fy,Charlotte City
11,1,capital,Charlotte City
12,1,investment,Charlotte City
13,1,plan,Charlotte City
14,3,ensuring,Charlotte City
15,3,an,Charlotte City
16,3,equitable,Charlotte City
17,3,sustainable,Charlotte City
18,3,and,Charlotte City
19,3,resilient,Charlotte City
20,3,charlotte,Charlotte City
21,3,mayor,Charlotte City
22,3,vi,Charlotte City
23,3,lyles,Charlotte City
24,3,mayor,Charlotte City
25,3,pro,Charlotte City
26,3,tem,Charlotte City
27,3,julie,Charlotte City
28,3,eiselt,Charlotte City
29,3,city,Charlotte City
30,3,council,Charlotte City
31,3,dimple,Charlotte City
32,3,ajmera,Charlotte City
33,3,tariq,Charlotte City
34,3,scott,Charlotte City
35,3,bokhari,Charlotte City
36,3,ed,Charlotte City
37,3,driggs,Charlotte City
38,3,larken,Charlotte City
39,3,egleston,Charlotte City
40,3,dr,Charlotte City
41,3,justin,Charlotte City
42,3,harlow,Charlotte City
43,3,lawana,Charlotte City
44,3,mayfield,Charlotte City
45,3,james,Charlotte City
46,3,mitchell,Charlotte City
47,3,jr,Charlotte City
48,3,matt,Charlotte City
49,3,newton,Charlotte City
50,3,gregory,Charlotte City
51,3,a,Charlotte City
52,3,phipps,Charlotte City
53,3,braxton,Charlotte City
54,3,winston,Charlotte City
55,3,ii,Charlotte City
56,3,city,Charlotte City
57,3,manager,Charlotte City
58,3,marcus,Charlotte City
59,3,d,Charlotte City
60,3,jones,Charlotte City
61,5,city,Charlotte City
62,5,managers,Charlotte City
63,5,message,Charlotte City
64,7,july,Charlotte City
65,7,honorable,Charlotte City
66,7,mayor,Charlotte City
67,7,and,Charlotte City
68,7,city,Charlotte City
69,7,council,Charlotte City
70,7,city,Charlotte City
71,7,of,Charlotte City
72,7,charlotte,Charlotte City
73,7,north,Charlotte City
74,7,carolina,Charlotte City
75,7,i,Charlotte City
76,7,respectfully,Charlotte City
77,7,submit,Charlotte City
78,7,to,Charlotte City
79,7,you,Charlotte City
80,7,the,Charlotte City
81,7,adopted,Charlotte City
82,7,fiscal,Charlotte City
83,7,year,Charlotte City
84,7,fy,Charlotte City
85,7,budget,Charlotte City
86,7,and,Charlotte City
87,7,fy,Charlotte City
88,7,community,Charlotte City
89,7,investment,Charlotte City
90,7,plan,Charlotte City
91,7,cip,Charlotte City
92,7,for,Charlotte City
93,7,the,Charlotte City
94,7,city,Charlotte City
95,7,of,Charlotte City
96,7,charlotte,Charlotte City
97,7,throughout,Charlotte City
98,7,the,Charlotte City
99,7,year,Charlotte City
100,7,robust,Charlotte City
101,7,discussions,Charlotte City
102,7,and,Charlotte City
103,7,community,Charlotte City
104,7,surveys,Charlotte City
105,7,with,Charlotte City
106,7,residents,Charlotte City
107,7,and,Charlotte City
108,7,employees,Charlotte City
109,7,provided,Charlotte City
110,7,valuable,Charlotte City
111,7,feedback,Charlotte City
112,7,in,Charlotte City
113,7,the,Charlotte City
114,7,development,Charlotte City
115,7,of,Charlotte City
116,7,the,Charlotte City
117,7,fy,Charlotte City
118,7,budget,Charlotte City
119,7,guidance,Charlotte City
120,7,from,Charlotte City
121,7,council,Charlotte City
122,7,through,Charlotte City
123,7,budget,Charlotte City
124,7,committee,Charlotte City
125,7,meetings,Charlotte City
126,7,budget,Charlotte City
127,7,workshops,Charlotte City
128,7,a,Charlotte City
129,7,budget,Charlotte City
130,7,briefing,Charlotte City
131,7,and,Charlotte City
132,7,a,Charlotte City
133,7,budget,Charlotte City
134,7,adjustments,Charlotte City
135,7,meeting,Charlotte City
136,7,also,Charlotte City
137,7,helped,Charlotte City
138,7,connect,Charlotte City
139,7,the,Charlotte City
140,7,needs,Charlotte City
141,7,of,Charlotte City
142,7,the,Charlotte City
143,7,city,Charlotte City
144,7,the,Charlotte City
145,7,extraordinary,Charlotte City
146,7,work,Charlotte City
147,7,done,Charlotte City
148,7,over,Charlotte City
149,7,the,Charlotte City
150,7,past,Charlotte City
151,7,year,Charlotte City
152,7,resulted,Charlotte City
153,7,in,Charlotte City
154,7,a,Charlotte City
155,7,strong,Charlotte City
156,7,budget,Charlotte City
157,7,from,Charlotte City
158,7,the,Charlotte City
159,7,proposed,Charlotte City
160,7,to,Charlotte City
161,7,the,Charlotte City
162,7,adopted,Charlotte City
163,7,budget,Charlotte City
164,7,a,Charlotte City
165,7,summary,Charlotte City
166,7,of,Charlotte City
167,7,the,Charlotte City
168,7,adopted,Charlotte City
169,7,budget,Charlotte City
170,7,is,Charlotte City
171,7,outlined,Charlotte City
172,7,in,Charlotte City
173,7,the,Charlotte City
174,7,following,Charlotte City
175,7,table,Charlotte City
176,7,adopted,Charlotte City
177,7,fy,Charlotte City
178,7,budget,Charlotte City
179,7,net,Charlotte City
180,7,of,Charlotte City
181,7,transfers,Charlotte City
182,7,general,Charlotte City
183,7,fund,Charlotte City
184,7,transfer,Charlotte City
185,7,to,Charlotte City
186,7,other,Charlotte City
187,7,funds,Charlotte City
188,7,subtotal,Charlotte City
189,7,general,Charlotte City
190,7,fund,Charlotte City
191,7,aviation,Charlotte City
192,7,charlotte,Charlotte City
193,7,area,Charlotte City
194,7,transit,Charlotte City
195,7,system,Charlotte City
196,7,cats,Charlotte City
197,7,charlotte,Charlotte City
198,7,water,Charlotte City
199,7,storm,Charlotte City
200,7,water,Charlotte City
201,7,subtotal,Charlotte City
202,7,nongeneral,Charlotte City
203,7,funds,Charlotte City
204,7,general,Charlotte City
205,7,community,Charlotte City
206,7,investment,Charlotte City
207,7,plan,Charlotte City
208,7,general,Charlotte City
209,7,capital,Charlotte City
210,7,debt,Charlotte City
211,7,service,Charlotte City
212,7,payasyougo,Charlotte City
213,7,funds,Charlotte City
214,7,subtotal,Charlotte City
215,7,capital,Charlotte City
216,7,investments,Charlotte City
217,7,debt,Charlotte City
218,7,service,Charlotte City
219,7,nongeneral,Charlotte City
220,7,funds,Charlotte City
221,7,special,Charlotte City
222,7,revenue,Charlotte City
223,7,and,Charlotte City
224,7,internal,Charlotte City
225,7,service,Charlotte City
226,7,funds,Charlotte City
227,7,total,Charlotte City
228,7,all,Charlotte City
229,7,funds,Charlotte City
230,7,general,Charlotte City
231,7,fund,Charlotte City
232,7,adjustments,Charlotte City
233,7,through,Charlotte City
234,7,the,Charlotte City
235,7,budget,Charlotte City
236,7,adjustments,Charlotte City
237,7,process,Charlotte City
238,7,funding,Charlotte City
239,7,available,Charlotte City
240,7,within,Charlotte City
241,7,the,Charlotte City
242,7,general,Charlotte City
243,7,fund,Charlotte City
244,7,undesignated,Charlotte City
245,7,balance,Charlotte City
246,7,allowed,Charlotte City
247,7,for,Charlotte City
248,7,in,Charlotte City
249,7,onetime,Charlotte City
250,7,funding,Charlotte City
251,7,to,Charlotte City
252,7,be,Charlotte City
253,7,designated,Charlotte City
254,7,to,Charlotte City
255,7,the,Charlotte City
256,7,womens,Charlotte City
257,7,business,Charlotte City
258,7,center,Charlotte City
259,7,of,Charlotte City
260,7,charlotte,Charlotte City
261,7,i,Charlotte City
262,7,page,Charlotte City
263,9,may,Charlotte City
264,9,honorable,Charlotte City
265,9,mayor,Charlotte City
266,9,and,Charlotte City
267,9,city,Charlotte City
268,9,council,Charlotte City
269,9,city,Charlotte City
270,9,of,Charlotte City
271,9,charlotte,Charlotte City
272,9,north,Charlotte City
273,9,carolina,Charlotte City
274,9,i,Charlotte City
275,9,respectfully,Charlotte City
276,9,submit,Charlotte City
277,9,to,Charlotte City
278,9,you,Charlotte City
279,9,the,Charlotte City
280,9,proposed,Charlotte City
281,9,fiscal,Charlotte City
282,9,year,Charlotte City
283,9,fy,Charlotte City
284,9,budget,Charlotte City
285,9,for,Charlotte City
286,9,the,Charlotte City
287,9,city,Charlotte City
288,9,of,Charlotte City
289,9,charlotte,Charlotte City
290,9,the,Charlotte City
291,9,proposed,Charlotte City
292,9,budget,Charlotte City
293,9,is,Charlotte City
294,9,composed,Charlotte City
295,9,of,Charlotte City
296,9,the,Charlotte City
297,9,general,Charlotte City
298,9,fund,Charlotte City
299,9,enterprise,Charlotte City
300,9,funds,Charlotte City
301,9,capital,Charlotte City
302,9,funds,Charlotte City
303,9,internal,Charlotte City
304,9,service,Charlotte City
305,9,funds,Charlotte City
306,9,and,Charlotte City
307,9,special,Charlotte City
308,9,revenue,Charlotte City
309,9,funds,Charlotte City
310,9,for,Charlotte City
311,9,a,Charlotte City
312,9,total,Charlotte City
313,9,of,Charlotte City
314,9,billion,Charlotte City
315,9,net,Charlotte City
316,9,of,Charlotte City
317,9,transfers,Charlotte City
318,9,a,Charlotte City
319,9,summary,Charlotte City
320,9,of,Charlotte City
321,9,the,Charlotte City
322,9,proposed,Charlotte City
323,9,budget,Charlotte City
324,9,is,Charlotte City
