,page_number,word,organization
0,1,fiscal,Durham City
1,1,year,Durham City
2,1,adopted,Durham City
3,1,budget,Durham City
4,1,july,Durham City
5,1,june,Durham City
6,2,city,Durham City
7,2,of,Durham City
8,2,durham,Durham City
9,2,north,Durham City
10,2,carolina,Durham City
11,2,budget,Durham City
12,2,fiscal,Durham City
13,2,year,Durham City
14,2,durham,Durham City
15,2,where,Durham City
16,2,great,Durham City
17,2,things,Durham City
18,2,happen,Durham City
19,3,city,Durham City
20,3,vision,Durham City
21,3,statement,Durham City
22,3,durham,Durham City
23,3,is,Durham City
24,3,the,Durham City
25,3,leading,Durham City
26,3,city,Durham City
27,3,in,Durham City
28,3,providing,Durham City
29,3,an,Durham City
30,3,excellent,Durham City
31,3,and,Durham City
32,3,sustainable,Durham City
33,3,quality,Durham City
34,3,of,Durham City
35,3,life,Durham City
36,3,city,Durham City
37,3,mission,Durham City
38,3,statement,Durham City
39,3,to,Durham City
40,3,provide,Durham City
41,3,quality,Durham City
42,3,services,Durham City
43,3,to,Durham City
44,3,make,Durham City
45,3,durham,Durham City
46,3,a,Durham City
47,3,great,Durham City
48,3,place,Durham City
49,3,to,Durham City
50,3,live,Durham City
51,3,work,Durham City
52,3,and,Durham City
53,3,play,Durham City
54,3,council,Durham City
55,3,goals,Durham City
56,3,shared,Durham City
57,3,economic,Durham City
58,3,prosperity,Durham City
59,3,creating,Durham City
60,3,a,Durham City
61,3,safer,Durham City
62,3,community,Durham City
63,3,together,Durham City
64,3,connected,Durham City
65,3,engaged,Durham City
66,3,and,Durham City
67,3,diverse,Durham City
68,3,communities,Durham City
69,3,innovative,Durham City
70,3,high,Durham City
71,3,performing,Durham City
72,3,organization,Durham City
73,3,sustainable,Durham City
74,3,natural,Durham City
75,3,and,Durham City
76,3,built,Durham City
77,3,environment,Durham City
78,3,about,Durham City
79,3,the,Durham City
80,3,cover,Durham City
81,3,in,Durham City
82,3,the,Durham City
83,3,city,Durham City
84,3,of,Durham City
85,3,durham,Durham City
86,3,celebrates,Durham City
87,3,its,Durham City
88,3,th,Durham City
89,3,anniversary,Durham City
90,3,the,Durham City
91,3,cover,Durham City
92,3,of,Durham City
93,3,this,Durham City
94,3,years,Durham City
95,3,budget,Durham City
96,3,book,Durham City
97,3,shows,Durham City
98,3,photos,Durham City
99,3,reflecting,Durham City
100,3,the,Durham City
101,3,history,Durham City
102,3,of,Durham City
103,3,the,Durham City
104,3,city,Durham City
105,3,services,Durham City
106,3,in,Durham City
107,3,durham,Durham City
108,4,fiscal,Durham City
109,4,year,Durham City
110,4,city,Durham City
111,4,council,Durham City
112,4,steve,Durham City
113,4,schewel,Durham City
114,4,mayor,Durham City
115,4,vernetta,Durham City
116,4,alston,Durham City
117,4,ward,Durham City
118,4,markanthony,Durham City
119,4,middleton,Durham City
120,4,ward,Durham City
121,4,jillian,Durham City
122,4,johnson,Durham City
123,4,mayor,Durham City
124,4,pro,Durham City
125,4,tempore,Durham City
126,4,javiera,Durham City
127,4,caballero,Durham City
128,4,atlarge,Durham City
129,4,charlie,Durham City
130,4,reece,Durham City
131,4,atlarge,Durham City
132,4,dedreana,Durham City
133,4,freeman,Durham City
134,4,ward,Durham City
135,4,city,Durham City
136,4,managers,Durham City
137,4,office,Durham City
138,4,thomas,Durham City
139,4,j,Durham City
140,4,bonfield,Durham City
141,4,city,Durham City
142,4,manager,Durham City
143,4,wanda,Durham City
144,4,page,Durham City
145,4,deputy,Durham City
146,4,city,Durham City
147,4,manager,Durham City
148,4,keith,Durham City
149,4,chadwell,Durham City
150,4,deputy,Durham City
151,4,city,Durham City
152,4,manager,Durham City
153,4,bo,Durham City
154,4,ferguson,Durham City
155,4,deputy,Durham City
156,4,city,Durham City
157,4,manager,Durham City
158,4,budget,Durham City
159,4,and,Durham City
160,4,management,Durham City
161,4,services,Durham City
162,4,bertha,Durham City
163,4,t,Durham City
164,4,johnson,Durham City
165,4,director,Durham City
166,4,budget,Durham City
167,4,and,Durham City
168,4,capital,Durham City
169,4,improvement,Durham City
170,4,plan,Durham City
171,4,cip,Durham City
172,4,john,Durham City
173,4,allore,Durham City
174,4,assistant,Durham City
175,4,director,Durham City
176,4,budget,Durham City
177,4,and,Durham City
178,4,cip,Durham City
179,4,christina,Durham City
180,4,riordan,Durham City
181,4,principal,Durham City
182,4,budget,Durham City
183,4,and,Durham City
184,4,management,Durham City
185,4,analyst,Durham City
186,4,budget,Durham City
187,4,coordinator,Durham City
188,4,christina,Durham City
189,4,tookes,Durham City
190,4,senior,Durham City
191,4,budget,Durham City
192,4,and,Durham City
193,4,management,Durham City
194,4,analyst,Durham City
195,4,cip,Durham City
196,4,coordinator,Durham City
197,4,ben,Durham City
198,4,kittelson,Durham City
199,4,senior,Durham City
200,4,budget,Durham City
201,4,and,Durham City
202,4,management,Durham City
203,4,analyst,Durham City
204,4,pat,Durham City
205,4,madej,Durham City
206,4,budget,Durham City
207,4,and,Durham City
208,4,management,Durham City
209,4,analyst,Durham City
210,4,toney,Durham City
211,4,thompson,Durham City
212,4,budget,Durham City
213,4,and,Durham City
214,4,management,Durham City
215,4,analyst,Durham City
216,4,hallee,Durham City
217,4,haygood,Durham City
218,4,graduate,Durham City
219,4,budget,Durham City
220,4,and,Durham City
221,4,management,Durham City
222,4,intern,Durham City
223,4,participatory,Durham City
224,4,budgeting,Durham City
225,4,andrew,Durham City
226,4,holland,Durham City
227,4,community,Durham City
228,4,engagement,Durham City
229,4,manager,Durham City
230,4,robin,Durham City
231,4,baker,Durham City
232,4,senior,Durham City
233,4,community,Durham City
234,4,engagement,Durham City
235,4,coordinator,Durham City
236,4,carmen,Durham City
237,4,ortiz,Durham City
238,4,hispanic,Durham City
239,4,community,Durham City
240,4,engagement,Durham City
241,4,coordinator,Durham City
242,4,justin,Durham City
243,4,henderson,Durham City
244,4,participatory,Durham City
245,4,budgeting,Durham City
246,4,intern,Durham City
247,4,jamie,Durham City
248,4,tindal,Durham City
249,4,participatory,Durham City
250,4,budgeting,Durham City
251,4,intern,Durham City
252,4,office,Durham City
253,4,of,Durham City
254,4,performance,Durham City
255,4,and,Durham City
256,4,innovation,Durham City
257,4,josh,Durham City
258,4,edwards,Durham City
259,4,assistant,Durham City
260,4,director,Durham City
261,4,strategy,Durham City
262,4,and,Durham City
263,4,performance,Durham City
264,4,shari,Durham City
265,4,metcalfe,Durham City
266,4,performance,Durham City
267,4,manager,Durham City
268,4,ryan,Durham City
269,4,smith,Durham City
270,4,strategic,Durham City
271,4,initiatives,Durham City
272,4,manager,Durham City
273,4,erin,Durham City
274,4,parish,Durham City
275,4,design,Durham City
276,4,strategist,Durham City
277,4,darin,Durham City
278,4,johnson,Durham City
279,4,strategic,Durham City
280,4,initiatives,Durham City
281,4,analyst,Durham City
282,4,chukwuemeka,Durham City
283,4,manning,Durham City
284,4,community,Durham City
285,4,engagement,Durham City
286,4,coordinator,Durham City
287,4,shannon,Durham City
288,4,delaney,Durham City
289,4,design,Durham City
290,4,strategist,Durham City
291,4,cherine,Durham City
292,4,robinson,Durham City
293,4,senior,Durham City
294,4,executive,Durham City
295,4,assistant,Durham City
296,5,the,Durham City
297,5,governmental,Durham City
298,5,finance,Durham City
299,5,officers,Durham City
300,5,association,Durham City
301,5,of,Durham City
302,5,the,Durham City
303,5,united,Durham City
304,5,states,Durham City
305,5,and,Durham City
306,5,canada,Durham City
307,5,gfoa,Durham City
308,5,presented,Durham City
309,5,an,Durham City
310,5,award,Durham City
311,5,for,Durham City
312,5,distinguished,Durham City
313,5,presentation,Durham City
314,5,to,Durham City
315,5,the,Durham City
316,5,city,Durham City
317,5,of,Durham City
318,5,durham,Durham City
319,5,for,Durham City
320,5,its,Durham City
321,5,annual,Durham City
322,5,budget,Durham City
323,5,for,Durham City
324,5,the,Durham City
325,5,fiscal,Durham City
326,5,year,Durham City
327,5,beginning,Durham City
328,5,july,Durham City
329,5,this,Durham City
330,5,award,Durham City
331,5,is,Durham City
332,5,valid,Durham City
333,5,for,Durham City
334,5,a,Durham City
335,5,period,Durham City
336,5,of,Durham City
337,5,one,Durham City
338,5,year,Durham City
339,5,only,Durham City
340,5,in,Durham City
341,5,order,Durham City
342,5,to,Durham City
343,5,receive,Durham City
344,5,the,Durham City
345,5,award,Durham City
346,5,a,Durham City
347,5,governmental,Durham City
348,5,unit,Durham City
349,5,must,Durham City
350,5,publish,Durham City
351,5,a,Durham City
352,5,budget,Durham City
353,5,document,Durham City
354,5,that,Durham City
355,5,meets,Durham City
356,5,program,Durham City
357,5,criteria,Durham City
358,5,as,Durham City
359,5,a,Durham City
360,5,policy,Durham City
361,5,document,Durham City
362,5,as,Durham City
363,5,an,Durham City
364,5,operational,Durham City
365,5,guide,Durham City
366,5,as,Durham City
367,5,a,Durham City
368,5,finnancial,Durham City
369,5,plan,Durham City
370,5,and,Durham City
371,5,as,Durham City
372,5,a,Durham City
373,5,communications,Durham City
374,5,device,Durham City
375,6,schewel,Durham City
376,6,alston,Durham City
377,6,caballero,Durham City
378,6,freeman,Durham City
379,6,johnson,Durham City
380,6,middleton,Durham City
381,6,reece,Durham City
382,6,mayor,Durham City
383,6,and,Durham City
384,6,city,Durham City
385,6,council,Durham City
386,6,kimberly,Durham City
387,6,m,Durham City
388,6,rehberg,Durham City
389,6,thomas,Durham City
390,6,j,Durham City
391,6,bonfield,Durham City
392,6,diana,Durham City
