,page_number,word,organization
0,1,meckncgov,Mecklenburg County
1,1,fiscal,Mecklenburg County
2,1,year,Mecklenburg County
3,1,adopted,Mecklenburg County
4,1,budget,Mecklenburg County
5,1,mecklenburg,Mecklenburg County
6,1,county,Mecklenburg County
7,1,north,Mecklenburg County
8,1,carolina,Mecklenburg County
9,2,adopted,Mecklenburg County
10,2,budget,Mecklenburg County
11,2,government,Mecklenburg County
12,2,finance,Mecklenburg County
13,2,officers,Mecklenburg County
14,2,association,Mecklenburg County
15,2,distinguished,Mecklenburg County
16,2,budget,Mecklenburg County
17,2,presentation,Mecklenburg County
18,2,recommended,Mecklenburg County
19,2,budget,Mecklenburg County
20,2,award,Mecklenburg County
21,2,presented,Mecklenburg County
22,2,to,Mecklenburg County
23,2,mecklenburg,Mecklenburg County
24,2,county,Mecklenburg County
25,2,north,Mecklenburg County
26,2,carolina,Mecklenburg County
27,2,for,Mecklenburg County
28,2,the,Mecklenburg County
29,2,fiscal,Mecklenburg County
30,2,year,Mecklenburg County
31,2,beginning,Mecklenburg County
32,2,july,Mecklenburg County
33,2,mecklenburg,Mecklenburg County
34,2,ji,Mecklenburg County
35,2,p,Mecklenburg County
36,2,npcounty,Mecklenburg County
37,2,w,Mecklenburg County
38,2,fiscal,Mecklenburg County
39,2,year,Mecklenburg County
40,2,executive,Mecklenburg County
41,2,director,Mecklenburg County
42,2,the,Mecklenburg County
43,2,government,Mecklenburg County
44,2,finance,Mecklenburg County
45,2,officers,Mecklenburg County
46,2,association,Mecklenburg County
47,2,of,Mecklenburg County
48,2,the,Mecklenburg County
49,2,united,Mecklenburg County
50,2,states,Mecklenburg County
51,2,and,Mecklenburg County
52,2,canada,Mecklenburg County
53,2,gfoa,Mecklenburg County
54,2,presented,Mecklenburg County
55,2,a,Mecklenburg County
56,2,distinguished,Mecklenburg County
57,2,budget,Mecklenburg County
58,2,presentation,Mecklenburg County
59,2,award,Mecklenburg County
60,2,to,Mecklenburg County
61,2,mecklenburg,Mecklenburg County
62,2,county,Mecklenburg County
63,2,for,Mecklenburg County
64,2,its,Mecklenburg County
65,2,annual,Mecklenburg County
66,2,budget,Mecklenburg County
67,2,for,Mecklenburg County
68,2,the,Mecklenburg County
69,2,fiscal,Mecklenburg County
70,2,year,Mecklenburg County
71,2,beginning,Mecklenburg County
72,2,july,Mecklenburg County
73,2,in,Mecklenburg County
74,2,order,Mecklenburg County
75,2,to,Mecklenburg County
76,2,receive,Mecklenburg County
77,2,this,Mecklenburg County
78,2,award,Mecklenburg County
79,2,a,Mecklenburg County
80,2,governmental,Mecklenburg County
81,2,unit,Mecklenburg County
82,2,must,Mecklenburg County
83,2,publish,Mecklenburg County
84,2,a,Mecklenburg County
85,2,budget,Mecklenburg County
86,2,document,Mecklenburg County
87,2,that,Mecklenburg County
88,2,meets,Mecklenburg County
89,2,program,Mecklenburg County
90,2,criteria,Mecklenburg County
91,2,as,Mecklenburg County
92,2,a,Mecklenburg County
93,2,policy,Mecklenburg County
94,2,document,Mecklenburg County
95,2,as,Mecklenburg County
96,2,an,Mecklenburg County
97,2,operations,Mecklenburg County
98,2,guide,Mecklenburg County
99,2,as,Mecklenburg County
100,2,a,Mecklenburg County
101,2,financial,Mecklenburg County
102,2,plan,Mecklenburg County
103,2,and,Mecklenburg County
104,2,as,Mecklenburg County
105,2,a,Mecklenburg County
106,2,communications,Mecklenburg County
107,2,device,Mecklenburg County
108,2,the,Mecklenburg County
109,2,award,Mecklenburg County
110,2,is,Mecklenburg County
111,2,valid,Mecklenburg County
