,page_number,word,organization
0,1,adopted,Raleigh City
1,1,budget,Raleigh City
2,1,fy,Raleigh City
3,1,strengthening,Raleigh City
4,1,our,Raleigh City
5,1,foundation,Raleigh City
6,1,in,Raleigh City
7,1,workforce,Raleigh City
8,1,operations,Raleigh City
9,1,and,Raleigh City
10,1,infrastructure,Raleigh City
11,2,annual,Raleigh City
12,2,budget,Raleigh City
13,2,city,Raleigh City
14,2,of,Raleigh City
15,2,raleigh,Raleigh City
16,2,north,Raleigh City
17,2,carolina,Raleigh City
18,2,fiscal,Raleigh City
19,2,year,Raleigh City
20,2,beginning,Raleigh City
21,2,july,Raleigh City
22,2,recommended,Raleigh City
23,2,to,Raleigh City
24,2,the,Raleigh City
25,2,city,Raleigh City
26,2,council,Raleigh City
27,2,by,Raleigh City
28,2,the,Raleigh City
29,2,city,Raleigh City
30,2,manager,Raleigh City
31,2,may,Raleigh City
32,2,adopted,Raleigh City
33,2,by,Raleigh City
34,2,the,Raleigh City
35,2,city,Raleigh City
36,2,council,Raleigh City
37,2,june,Raleigh City
38,2,raleigh,Raleigh City
39,2,city,Raleigh City
40,2,council,Raleigh City
41,2,nancy,Raleigh City
42,2,mcfarlane,Raleigh City
43,2,russ,Raleigh City
44,2,stephenson,Raleigh City
45,2,nicole,Raleigh City
46,2,stewart,Raleigh City
47,2,richard,Raleigh City
48,2,a,Raleigh City
49,2,dickie,Raleigh City
50,2,mayor,Raleigh City
51,2,at,Raleigh City
52,2,large,Raleigh City
53,2,at,Raleigh City
54,2,large,Raleigh City
55,2,thompson,Raleigh City
56,2,district,Raleigh City
57,2,a,Raleigh City
58,2,david,Raleigh City
59,2,n,Raleigh City
60,2,cox,Raleigh City
61,2,corey,Raleigh City
62,2,d,Raleigh City
63,2,branch,Raleigh City
64,2,kay,Raleigh City
65,2,crowder,Raleigh City
66,2,stef,Raleigh City
67,2,mendell,Raleigh City
68,2,district,Raleigh City
69,2,b,Raleigh City
70,2,district,Raleigh City
71,2,c,Raleigh City
72,2,district,Raleigh City
73,2,d,Raleigh City
74,2,district,Raleigh City
75,2,e,Raleigh City
76,2,executive,Raleigh City
77,2,staff,Raleigh City
78,2,ruffin,Raleigh City
79,2,l,Raleigh City
80,2,hall,Raleigh City
81,2,city,Raleigh City
82,2,manager,Raleigh City
83,2,marchell,Raleigh City
84,2,adams,Raleigh City
85,2,david,Raleigh City
86,2,assistant,Raleigh City
87,2,city,Raleigh City
88,2,manager,Raleigh City
89,2,james,Raleigh City
90,2,s,Raleigh City
91,2,greene,Raleigh City
92,2,jr,Raleigh City
93,2,assistant,Raleigh City
94,2,city,Raleigh City
95,2,manager,Raleigh City
96,2,tansy,Raleigh City
97,2,hayward,Raleigh City
98,2,assistant,Raleigh City
99,2,city,Raleigh City
100,2,manager,Raleigh City
101,2,louis,Raleigh City
102,2,buonpane,Raleigh City
103,2,chief,Raleigh City
104,2,of,Raleigh City
105,2,staff,Raleigh City
106,2,mary,Raleigh City
107,2,vigue,Raleigh City
108,2,budget,Raleigh City
109,2,and,Raleigh City
110,2,management,Raleigh City
111,2,services,Raleigh City
112,2,director,Raleigh City
113,3,the,Raleigh City
114,3,following,Raleigh City
115,3,teams,Raleigh City
116,3,whose,Raleigh City
117,3,assistance,Raleigh City
118,3,and,Raleigh City
119,3,contributions,Raleigh City
120,3,to,Raleigh City
121,3,the,Raleigh City
122,3,annual,Raleigh City
123,3,budget,Raleigh City
124,3,development,Raleigh City
