,page_number,word,organization
0,1,adopted,Wake County
1,1,operating,Wake County
2,1,budget,Wake County
3,1,and,Wake County
4,1,capital,Wake County
5,1,improvement,Wake County
6,1,program,Wake County
7,1,for,Wake County
8,1,the,Wake County
9,1,fiscal,Wake County
10,1,year,Wake County
11,1,july,Wake County
12,1,through,Wake County
13,1,june,Wake County
14,3,table,Wake County
15,3,of,Wake County
16,3,contents,Wake County
17,3,gfoa,Wake County
18,3,distinguished,Wake County
19,3,budget,Wake County
20,3,general,Wake County
21,3,government,Wake County
22,3,budget,Wake County
23,3,summary,Wake County
24,3,presentation,Wake County
25,3,award,Wake County
26,3,board,Wake County
27,3,of,Wake County
28,3,commissioners,Wake County
29,3,communications,Wake County
30,3,office,Wake County
31,3,wake,Wake County
32,3,county,Wake County
33,3,government,Wake County
34,3,county,Wake County
35,3,manager,Wake County
36,3,board,Wake County
37,3,of,Wake County
38,3,county,Wake County
39,3,commissioners,Wake County
40,3,county,Wake County
41,3,attorney,Wake County
42,3,wake,Wake County
43,3,county,Wake County
44,3,government,Wake County
45,3,organizational,Wake County
46,3,chart,Wake County
47,3,board,Wake County
48,3,of,Wake County
49,3,elections,Wake County
50,3,goals,Wake County
51,3,objectives,Wake County
52,3,initiatives,Wake County
53,3,budget,Wake County
54,3,and,Wake County
55,3,management,Wake County
56,3,services,Wake County
57,3,facilities,Wake County
58,3,design,Wake County
59,3,construction,Wake County
60,3,budget,Wake County
61,3,message,Wake County
62,3,finance,Wake County
63,3,department,Wake County
64,3,human,Wake County
65,3,resources,Wake County
66,3,ordinances,Wake County
67,3,information,Wake County
68,3,services,Wake County
69,3,register,Wake County
70,3,of,Wake County
71,3,deeds,Wake County
72,3,readers,Wake County
73,3,guide,Wake County
74,3,to,Wake County
75,3,the,Wake County
76,3,budget,Wake County
77,3,tax,Wake County
78,3,administration,Wake County
79,3,readers,Wake County
80,3,guide,Wake County
81,3,to,Wake County
82,3,the,Wake County
83,3,budget,Wake County
84,3,quasigovernmental,Wake County
85,3,budget,Wake County
86,3,process,Wake County
87,3,budget,Wake County
88,3,calendar,Wake County
89,3,for,Wake County
90,3,fiscal,Wake County
91,3,year,Wake County
92,3,community,Wake County
93,3,services,Wake County
94,3,fund,Wake County
95,3,structure,Wake County
96,3,community,Wake County
97,3,services,Wake County
98,3,management,Wake County
99,3,and,Wake County
100,3,budget,Wake County
101,3,office,Wake County
102,3,fund,Wake County
103,3,structure,Wake County
104,3,chart,Wake County
105,3,basis,Wake County
106,3,of,Wake County
107,3,budgeting,Wake County
108,3,and,Wake County
109,3,basis,Wake County
110,3,of,Wake County
111,3,accounting,Wake County
112,3,parks,Wake County
113,3,recreation,Wake County
114,3,and,Wake County
115,3,open,Wake County
116,3,space,Wake County
117,3,financial,Wake County
118,3,policies,Wake County
119,3,planning,Wake County
120,3,development,Wake County
121,3,and,Wake County
122,3,inspections,Wake County
123,3,longrange,Wake County
124,3,planning,Wake County
125,3,veterans,Wake County
126,3,services,Wake County
127,3,geographic,Wake County
128,3,information,Wake County
129,3,services,Wake County
130,3,budget,Wake County
131,3,overview,Wake County
132,3,libraries,Wake County
133,3,revenue,Wake County
134,3,overview,Wake County
135,3,user,Wake County
136,3,fee,Wake County
137,3,change,Wake County
138,3,summary,Wake County
139,3,environmental,Wake County
140,3,services,Wake County
141,3,expenditure,Wake County
142,3,overview,Wake County
143,3,environmental,Wake County
144,3,services,Wake County
145,3,administration,Wake County
146,3,capital,Wake County
147,3,and,Wake County
148,3,debt,Wake County
149,3,service,Wake County
150,3,transfersallocations,Wake County
151,3,environmental,Wake County
152,3,health,Wake County
153,3,safety,Wake County
154,3,schedule,Wake County
155,3,of,Wake County
156,3,interfund,Wake County
157,3,transfers,Wake County
158,3,water,Wake County
159,3,quality,Wake County
160,3,general,Wake County
161,3,fund,Wake County
162,3,requests,Wake County
163,3,funded,Wake County
164,3,animal,Wake County
165,3,care,Wake County
166,3,control,Wake County
167,3,and,Wake County
168,3,adoption,Wake County
169,3,center,Wake County
170,3,general,Wake County
171,3,fund,Wake County
172,3,requests,Wake County
173,3,not,Wake County
174,3,funded,Wake County
175,3,personnel,Wake County
176,3,summary,Wake County
177,3,general,Wake County
178,3,services,Wake County
179,3,administration,Wake County
180,3,personnel,Wake County
181,3,changes,Wake County
182,3,summary,Wake County
183,3,administration,Wake County
184,3,support,Wake County
185,3,total,Wake County
186,3,revenues,Wake County
187,3,by,Wake County
188,3,fund,Wake County
189,3,physical,Wake County
190,3,plant,Wake County
191,3,total,Wake County
192,3,revenue,Wake County
193,3,by,Wake County
194,3,source,Wake County
195,3,safety,Wake County
196,3,and,Wake County
197,3,security,Wake County
198,3,expenditures,Wake County
199,3,by,Wake County
200,3,use,Wake County
201,3,criminal,Wake County
202,3,justicegeneral,Wake County
203,3,government,Wake County
204,3,expenditures,Wake County
205,3,by,Wake County
206,3,type,Wake County
207,3,facility,Wake County
208,3,and,Wake County
209,3,field,Wake County
210,3,services,Wake County
211,3,summary,Wake County
212,3,of,Wake County
213,3,revenue,Wake County
214,3,expenditures,Wake County
215,3,and,Wake County
216,3,changes,Wake County
217,3,in,Wake County
218,3,utilities,Wake County
219,3,fund,Wake County
220,3,balance,Wake County
221,3,county,Wake County
222,3,building,Wake County
223,3,agreements,Wake County
224,3,overview,Wake County
225,3,of,Wake County
226,3,changes,Wake County
227,3,in,Wake County
228,3,fund,Wake County
229,3,balance,Wake County
230,3,human,Wake County
231,3,services,Wake County
232,3,general,Wake County
233,3,fund,Wake County
234,3,social,Wake County
235,3,services,Wake County
236,3,economic,Wake County
237,3,self,Wake County
238,3,sufficiency,Wake County
239,3,general,Wake County
240,3,fund,Wake County
241,3,revenue,Wake County
242,3,summary,Wake County
243,3,child,Wake County
244,3,welfare,Wake County
245,3,general,Wake County
246,3,fund,Wake County
247,3,expenditure,Wake County
248,3,summary,Wake County
249,3,public,Wake County
250,3,health,Wake County
251,3,health,Wake County
252,3,clinics,Wake County
253,3,general,Wake County
254,3,government,Wake County
255,3,administration,Wake County
256,3,and,Wake County
257,3,operations,Wake County
258,3,fiscal,Wake County
259,3,year,Wake County
260,3,adopted,Wake County
261,3,budget,Wake County
262,3,table,Wake County
263,3,of,Wake County
264,3,contents,Wake County
265,4,table,Wake County
266,4,of,Wake County
267,4,contents,Wake County
268,4,human,Wake County
269,4,service,Wake County
270,4,reserves,Wake County
271,4,south,Wake County
272,4,wake,Wake County
