"","page_number","word","sent_count","sentiment","category"
"1",457,"Fire",46,"Fear","Emotion"
"2",306,"Fire",44,"Fear","Emotion"
"3",307,"Fire",36,"Fear","Emotion"
"4",399,"County",30,"Trust","Emotion"
"5",449,"Fire",29,"Fear","Emotion"
"6",451,"Fire",29,"Fear","Emotion"
"7",36,"Budget",22,"Trust","Emotion"
"8",35,"County",21,"Trust","Emotion"
"9",99,"Tax",21,"Negative","Sentiment"
"10",99,"Tax",21,"Sadness","Emotion"
"11",29,"Budget",20,"Trust","Emotion"
"12",34,"Budget",20,"Trust","Emotion"
"13",35,"Budget",20,"Trust","Emotion"
"14",250,"County",18,"Trust","Emotion"
"15",299,"Debt",18,"Negative","Sentiment"
"16",299,"Debt",18,"Sadness","Emotion"
"17",92,"Debt",17,"Negative","Sentiment"
"18",92,"Debt",17,"Sadness","Emotion"
"19",384,"School",17,"Trust","Emotion"
"20",448,"Fire",17,"Fear","Emotion"
"21",472,"Fee",17,"Anger","Emotion"
"22",472,"Fee",17,"Negative","Sentiment"
"23",78,"County",16,"Trust","Emotion"
"24",103,"Balance",16,"Positive","Sentiment"
"25",452,"Fire",16,"Fear","Emotion"
"26",294,"Debt",15,"Negative","Sentiment"
"27",294,"Debt",15,"Sadness","Emotion"
"28",300,"Debt",14,"Negative","Sentiment"
"29",300,"Debt",14,"Sadness","Emotion"
"30",323,"Building",14,"Positive","Sentiment"
"31",326,"Building",14,"Positive","Sentiment"
"32",334,"Building",14,"Positive","Sentiment"
"33",336,"Building",14,"Positive","Sentiment"
"34",58,"County",13,"Trust","Emotion"
"35",95,"Tax",13,"Negative","Sentiment"
"36",95,"Tax",13,"Sadness","Emotion"
"37",332,"Building",13,"Positive","Sentiment"
"38",335,"Interior",13,"Disgust","Emotion"
"39",335,"Interior",13,"Positive","Sentiment"
"40",335,"Interior",13,"Trust","Emotion"
"41",364,"Juvenile",13,"Negative","Sentiment"
"42",467,"System",13,"Trust","Emotion"
"43",473,"Trade",13,"Trust","Emotion"
"44",15,"Tax",12,"Negative","Sentiment"
"45",15,"Tax",12,"Sadness","Emotion"
"46",18,"County",12,"Trust","Emotion"
"47",33,"Budget",12,"Trust","Emotion"
"48",35,"Board",12,"Anticipation","Emotion"
"49",39,"Budget",12,"Trust","Emotion"
"50",42,"County",12,"Trust","Emotion"
"51",70,"Debt",12,"Negative","Sentiment"
"52",70,"Debt",12,"Sadness","Emotion"
"53",132,"Assistance",12,"Positive","Sentiment"
"54",161,"Emergency",12,"Fear","Emotion"
"55",161,"Emergency",12,"Negative","Sentiment"
"56",161,"Emergency",12,"Sadness","Emotion"
"57",161,"Emergency",12,"Surprise","Emotion"
"58",239,"Budget",12,"Trust","Emotion"
"59",303,"Fire",12,"Fear","Emotion"
"60",319,"Plan",12,"Anticipation","Emotion"
"61",324,"Building",12,"Positive","Sentiment"
"62",327,"Interior",12,"Disgust","Emotion"
"63",327,"Interior",12,"Positive","Sentiment"
"64",327,"Interior",12,"Trust","Emotion"
"65",328,"Building",12,"Positive","Sentiment"
"66",330,"Building",12,"Positive","Sentiment"
"67",333,"Building",12,"Positive","Sentiment"
"68",494,"Increase",12,"Positive","Sentiment"
"69",40,"Debt",11,"Negative","Sentiment"
"70",40,"Debt",11,"Sadness","Emotion"
"71",78,"Budget",11,"Trust","Emotion"
"72",98,"Lottery",11,"Anticipation","Emotion"
"73",133,"Public",11,"Anticipation","Emotion"
"74",133,"Public",11,"Positive","Sentiment"
"75",273,"Tax",11,"Negative","Sentiment"
"76",273,"Tax",11,"Sadness","Emotion"
"77",282,"Demand",11,"Anger","Emotion"
"78",282,"Demand",11,"Negative","Sentiment"
"79",301,"Debt",11,"Negative","Sentiment"
"80",301,"Debt",11,"Sadness","Emotion"
"81",323,"Interior",11,"Disgust","Emotion"
"82",323,"Interior",11,"Positive","Sentiment"
"83",323,"Interior",11,"Trust","Emotion"
"84",337,"Building",11,"Positive","Sentiment"
"85",389,"Tax",11,"Negative","Sentiment"
"86",389,"Tax",11,"Sadness","Emotion"
"87",395,"Time",11,"Anticipation","Emotion"
"88",476,"Daily",11,"Anticipation","Emotion"
"89",16,"Increase",10,"Positive","Sentiment"
"90",18,"Budget",10,"Trust","Emotion"
"91",19,"Budget",10,"Trust","Emotion"
"92",21,"Debt",10,"Negative","Sentiment"
"93",21,"Debt",10,"Sadness","Emotion"
"94",42,"Accounts",10,"Trust","Emotion"
"95",63,"Budget",10,"Trust","Emotion"
"96",99,"County",10,"Trust","Emotion"
"97",131,"Court",10,"Anger","Emotion"
"98",131,"Court",10,"Anticipation","Emotion"
"99",131,"Court",10,"Fear","Emotion"
"100",131,"Community",10,"Positive","Sentiment"
"101",154,"Shelter",10,"Positive","Sentiment"
"102",154,"Shelter",10,"Trust","Emotion"
"103",199,"Community",10,"Positive","Sentiment"
"104",199,"Budget",10,"Trust","Emotion"
"105",241,"County",10,"Trust","Emotion"
"106",244,"County",10,"Trust","Emotion"
"107",290,"Truck",10,"Trust","Emotion"
"108",326,"Interior",10,"Disgust","Emotion"
"109",326,"Interior",10,"Positive","Sentiment"
"110",326,"Interior",10,"Trust","Emotion"
"111",327,"Building",10,"Positive","Sentiment"
"112",328,"Interior",10,"Disgust","Emotion"
"113",328,"Interior",10,"Positive","Sentiment"
"114",328,"Interior",10,"Trust","Emotion"
"115",329,"Building",10,"Positive","Sentiment"
"116",335,"Building",10,"Positive","Sentiment"
"117",336,"Interior",10,"Disgust","Emotion"
"118",336,"Interior",10,"Positive","Sentiment"
"119",336,"Interior",10,"Trust","Emotion"
"120",341,"Truck",10,"Trust","Emotion"
"121",391,"County",10,"Trust","Emotion"
"122",440,"Budget",10,"Trust","Emotion"
"123",472,"Base",10,"Trust","Emotion"
"124",473,"Fee",10,"Anger","Emotion"
"125",473,"Fee",10,"Negative","Sentiment"
"126",476,"Fee",10,"Anger","Emotion"
"127",476,"Fee",10,"Negative","Sentiment"
"128",485,"Fee",10,"Anger","Emotion"
"129",485,"Fee",10,"Negative","Sentiment"
"130",11,"Honorable",9,"Positive","Sentiment"
"131",11,"Honorable",9,"Trust","Emotion"
"132",24,"County",9,"Trust","Emotion"
"133",79,"Budget",9,"Trust","Emotion"
"134",88,"County",9,"Trust","Emotion"
"135",93,"Tax",9,"Negative","Sentiment"
"136",93,"Tax",9,"Sadness","Emotion"
"137",116,"County",9,"Trust","Emotion"
"138",119,"Public",9,"Anticipation","Emotion"
"139",119,"Public",9,"Positive","Sentiment"
"140",126,"Juvenile",9,"Negative","Sentiment"
"141",126,"County",9,"Trust","Emotion"
"142",210,"Planning",9,"Anticipation","Emotion"
"143",210,"Planning",9,"Positive","Sentiment"
"144",210,"Planning",9,"Trust","Emotion"
"145",229,"County",9,"Trust","Emotion"
"146",235,"County",9,"Trust","Emotion"
"147",237,"Budget",9,"Trust","Emotion"
"148",250,"Board",9,"Anticipation","Emotion"
"149",251,"Budget",9,"Trust","Emotion"
"150",284,"Information",9,"Positive","Sentiment"
"151",329,"Interior",9,"Disgust","Emotion"
"152",329,"Interior",9,"Positive","Sentiment"
"153",329,"Interior",9,"Trust","Emotion"
"154",333,"Interior",9,"Disgust","Emotion"
"155",333,"Interior",9,"Positive","Sentiment"
"156",333,"Interior",9,"Trust","Emotion"
"157",334,"Interior",9,"Disgust","Emotion"
"158",334,"Interior",9,"Positive","Sentiment"
"159",334,"Interior",9,"Trust","Emotion"
"160",389,"County",9,"Trust","Emotion"
"161",390,"Budget",9,"Trust","Emotion"
"162",395,"Pop",9,"Negative","Sentiment"
"163",395,"Pop",9,"Surprise","Emotion"
"164",398,"Resident",9,"Positive","Sentiment"
"165",491,"Birth",9,"Anticipation","Emotion"
"166",491,"Birth",9,"Fear","Emotion"
"167",491,"Birth",9,"Joy","Emotion"
"168",491,"Birth",9,"Positive","Sentiment"
"169",491,"Birth",9,"Trust","Emotion"
"170",3,"Budget",8,"Trust","Emotion"
"171",24,"School",8,"Trust","Emotion"
"172",29,"County",8,"Trust","Emotion"
"173",31,"Debt",8,"Negative","Sentiment"
"174",31,"Debt",8,"Sadness","Emotion"
"175",31,"Budget",8,"Trust","Emotion"
"176",59,"County",8,"Trust","Emotion"
"177",63,"Community",8,"Positive","Sentiment"
"178",64,"Budget",8,"Trust","Emotion"
"179",78,"Board",8,"Anticipation","Emotion"
"180",78,"Maintenance",8,"Trust","Emotion"
"181",103,"General",8,"Positive","Sentiment"
"182",103,"Budget",8,"Trust","Emotion"
"183",103,"General",8,"Trust","Emotion"
"184",115,"County",8,"Trust","Emotion"
"185",116,"Budget",8,"Trust","Emotion"
"186",126,"Prevention",8,"Anticipation","Emotion"
"187",126,"Prevention",8,"Positive","Sentiment"
"188",151,"Public",8,"Anticipation","Emotion"
"189",151,"Public",8,"Positive","Sentiment"
"190",163,"Emergency",8,"Fear","Emotion"
"191",163,"Emergency",8,"Negative","Sentiment"
"192",163,"Emergency",8,"Sadness","Emotion"
"193",163,"Emergency",8,"Surprise","Emotion"
"194",170,"Emergency",8,"Fear","Emotion"
"195",170,"Emergency",8,"Negative","Sentiment"
"196",170,"Emergency",8,"Sadness","Emotion"
"197",170,"Emergency",8,"Surprise","Emotion"
"198",178,"Compliance",8,"Positive","Sentiment"
"199",178,"Compliance",8,"Trust","Emotion"
"200",186,"Enforcement",8,"Negative","Sentiment"
"201",186,"Law",8,"Trust","Emotion"
"202",204,"County",8,"Trust","Emotion"
"203",213,"County",8,"Trust","Emotion"
"204",222,"Waste",8,"Disgust","Emotion"
"205",222,"Waste",8,"Negative","Sentiment"
"206",229,"Library",8,"Positive","Sentiment"
"207",238,"County",8,"Trust","Emotion"
"208",256,"County",8,"Trust","Emotion"
"209",257,"County",8,"Trust","Emotion"
"210",277,"Budget",8,"Trust","Emotion"
"211",277,"County",8,"Trust","Emotion"
"212",280,"County",8,"Trust","Emotion"
"213",315,"Risk",8,"Anticipation","Emotion"
"214",315,"Risk",8,"Fear","Emotion"
"215",315,"Risk",8,"Negative","Sentiment"
"216",316,"County",8,"Trust","Emotion"
"217",328,"Base",8,"Trust","Emotion"
"218",331,"Building",8,"Positive","Sentiment"
"219",332,"Interior",8,"Disgust","Emotion"
"220",332,"Interior",8,"Positive","Sentiment"
"221",332,"Interior",8,"Trust","Emotion"
"222",343,"Plan",8,"Anticipation","Emotion"
"223",344,"Board",8,"Anticipation","Emotion"
"224",344,"Budget",8,"Trust","Emotion"
"225",362,"Building",8,"Positive","Sentiment"
"226",385,"Maintenance",8,"Trust","Emotion"
"227",389,"Budget",8,"Trust","Emotion"
"228",395,"Population",8,"Positive","Sentiment"
"229",421,"County",8,"Trust","Emotion"
"230",453,"Tax",8,"Negative","Sentiment"
"231",453,"Tax",8,"Sadness","Emotion"
"232",466,"Offense",8,"Anger","Emotion"
"233",466,"Offense",8,"Disgust","Emotion"
"234",466,"Offense",8,"Fear","Emotion"
"235",466,"Offense",8,"Negative","Sentiment"
"236",466,"Offense",8,"Sadness","Emotion"
"237",469,"Fee",8,"Anger","Emotion"
"238",469,"Fee",8,"Negative","Sentiment"
"239",476,"Jail",8,"Fear","Emotion"
"240",476,"Jail",8,"Negative","Sentiment"
"241",476,"Jail",8,"Sadness","Emotion"
"242",478,"Full",8,"Positive","Sentiment"
"243",479,"Full",8,"Positive","Sentiment"
"244",480,"Full",8,"Positive","Sentiment"
"245",482,"Full",8,"Positive","Sentiment"
"246",491,"Copy",8,"Negative","Sentiment"
"247",492,"Badge",8,"Trust","Emotion"
"248",494,"Improve",8,"Anticipation","Emotion"
"249",494,"Improve",8,"Joy","Emotion"
"250",494,"Improve",8,"Positive","Sentiment"
"251",494,"Improve",8,"Trust","Emotion"
"252",11,"County",7,"Trust","Emotion"
"253",13,"Tax",7,"Negative","Sentiment"
"254",13,"Tax",7,"Sadness","Emotion"
"255",15,"Budget",7,"Trust","Emotion"
"256",15,"County",7,"Trust","Emotion"
"257",19,"Public",7,"Anticipation","Emotion"
"258",19,"Public",7,"Positive","Sentiment"
"259",20,"Budget",7,"Trust","Emotion"
"260",20,"County",7,"Trust","Emotion"
"261",21,"Budget",7,"Trust","Emotion"
"262",21,"County",7,"Trust","Emotion"
"263",22,"County",7,"Trust","Emotion"
"264",24,"Budget",7,"Trust","Emotion"
"265",30,"County",7,"Trust","Emotion"
"266",31,"Information",7,"Positive","Sentiment"
"267",31,"County",7,"Trust","Emotion"
"268",34,"Board",7,"Anticipation","Emotion"
"269",40,"County",7,"Trust","Emotion"
"270",63,"County",7,"Trust","Emotion"
"271",63,"Maintenance",7,"Trust","Emotion"
"272",66,"Budget",7,"Trust","Emotion"
"273",69,"County",7,"Trust","Emotion"
"274",70,"Increase",7,"Positive","Sentiment"
"275",70,"County",7,"Trust","Emotion"
"276",72,"Expenses",7,"Negative","Sentiment"
"277",72,"County",7,"Trust","Emotion"
"278",96,"Tax",7,"Negative","Sentiment"
"279",96,"Tax",7,"Sadness","Emotion"
"280",97,"Tax",7,"Negative","Sentiment"
"281",97,"Tax",7,"Sadness","Emotion"
"282",100,"Increase",7,"Positive","Sentiment"
"283",104,"Expenses",7,"Negative","Sentiment"
"284",105,"County",7,"Trust","Emotion"
"285",113,"Debt",7,"Negative","Sentiment"
"286",113,"Debt",7,"Sadness","Emotion"
"287",114,"County",7,"Trust","Emotion"
"288",121,"Child",7,"Anticipation","Emotion"
"289",121,"Child",7,"Joy","Emotion"
"290",121,"Child",7,"Positive","Sentiment"
"291",127,"Youth",7,"Anger","Emotion"
"292",127,"Youth",7,"Anticipation","Emotion"
"293",127,"Youth",7,"Fear","Emotion"
"294",127,"Youth",7,"Joy","Emotion"
"295",127,"Youth",7,"Positive","Sentiment"
"296",127,"Youth",7,"Surprise","Emotion"
"297",128,"Center",7,"Positive","Sentiment"
"298",128,"Center",7,"Trust","Emotion"
"299",151,"Budget",7,"Trust","Emotion"
"300",163,"Fire",7,"Fear","Emotion"
"301",165,"Fire",7,"Fear","Emotion"
"302",183,"Building",7,"Positive","Sentiment"
"303",201,"Cooperative",7,"Positive","Sentiment"
"304",201,"Cooperative",7,"Trust","Emotion"
"305",216,"Conservation",7,"Anticipation","Emotion"
"306",216,"Conservation",7,"Positive","Sentiment"
"307",216,"Conservation",7,"Trust","Emotion"
"308",218,"Conservation",7,"Anticipation","Emotion"
"309",218,"Conservation",7,"Positive","Sentiment"
"310",218,"Conservation",7,"Trust","Emotion"
"311",219,"Share",7,"Anticipation","Emotion"
"312",219,"Share",7,"Joy","Emotion"
"313",219,"Share",7,"Positive","Sentiment"
"314",219,"Share",7,"Trust","Emotion"
"315",222,"Solid",7,"Positive","Sentiment"
"316",223,"Waste",7,"Disgust","Emotion"
"317",223,"Waste",7,"Negative","Sentiment"
"318",227,"Waste",7,"Disgust","Emotion"
"319",227,"Waste",7,"Negative","Sentiment"
"320",237,"Management",7,"Positive","Sentiment"
"321",237,"Management",7,"Trust","Emotion"
"322",243,"County",7,"Trust","Emotion"
"323",261,"County",7,"Trust","Emotion"
"324",274,"Tax",7,"Negative","Sentiment"
"325",274,"Tax",7,"Sadness","Emotion"
"326",283,"Maintenance",7,"Trust","Emotion"
"327",290,"Emergency",7,"Fear","Emotion"
"328",290,"Emergency",7,"Negative","Sentiment"
"329",290,"Emergency",7,"Sadness","Emotion"
"330",290,"Emergency",7,"Surprise","Emotion"
"331",297,"Bonds",7,"Negative","Sentiment"
"332",300,"General",7,"Positive","Sentiment"
"333",300,"General",7,"Trust","Emotion"
"334",303,"Tax",7,"Negative","Sentiment"
"335",303,"Tax",7,"Sadness","Emotion"
"336",308,"Fire",7,"Fear","Emotion"
"337",319,"County",7,"Trust","Emotion"
"338",321,"Machine",7,"Trust","Emotion"
"339",324,"Interior",7,"Disgust","Emotion"
"340",324,"Interior",7,"Positive","Sentiment"
"341",324,"Interior",7,"Trust","Emotion"
"342",325,"Building",7,"Positive","Sentiment"
"343",337,"Interior",7,"Disgust","Emotion"
"344",337,"Interior",7,"Positive","Sentiment"
"345",337,"Interior",7,"Trust","Emotion"
"346",341,"Emergency",7,"Fear","Emotion"
"347",341,"Emergency",7,"Negative","Sentiment"
"348",341,"Emergency",7,"Sadness","Emotion"
"349",341,"Emergency",7,"Surprise","Emotion"
"350",348,"Board",7,"Anticipation","Emotion"
"351",348,"Expenses",7,"Negative","Sentiment"
"352",364,"Detention",7,"Negative","Sentiment"
"353",364,"Detention",7,"Sadness","Emotion"
"354",369,"County",7,"Trust","Emotion"
"355",383,"School",7,"Trust","Emotion"
"356",400,"Coming",7,"Anticipation","Emotion"
"357",403,"County",7,"Trust","Emotion"
"358",458,"Board",7,"Anticipation","Emotion"
"359",458,"County",7,"Trust","Emotion"
"360",459,"Board",7,"Anticipation","Emotion"
"361",485,"Case",7,"Fear","Emotion"
"362",485,"Case",7,"Negative","Sentiment"
"363",485,"Case",7,"Sadness","Emotion"
"364",7,"Budget",6,"Trust","Emotion"
"365",7,"County",6,"Trust","Emotion"
"366",12,"Budget",6,"Trust","Emotion"
"367",13,"Balance",6,"Positive","Sentiment"
"368",14,"Tax",6,"Negative","Sentiment"
"369",14,"Tax",6,"Sadness","Emotion"
"370",16,"Balance",6,"Positive","Sentiment"
"371",16,"Budget",6,"Trust","Emotion"
"372",18,"Increase",6,"Positive","Sentiment"
"373",23,"County",6,"Trust","Emotion"
"374",24,"Balance",6,"Positive","Sentiment"
"375",36,"County",6,"Trust","Emotion"
"376",38,"General",6,"Positive","Sentiment"
"377",38,"General",6,"Trust","Emotion"
"378",41,"County",6,"Trust","Emotion"
"379",42,"Budget",6,"Trust","Emotion"
"380",42,"Ordinance",6,"Trust","Emotion"
"381",44,"County",6,"Trust","Emotion"
"382",48,"Balance",6,"Positive","Sentiment"
"383",53,"General",6,"Positive","Sentiment"
"384",53,"General",6,"Trust","Emotion"
"385",62,"General",6,"Positive","Sentiment"
"386",62,"General",6,"Trust","Emotion"
"387",72,"Budget",6,"Trust","Emotion"
"388",77,"Debt",6,"Negative","Sentiment"
"389",77,"Debt",6,"Sadness","Emotion"
"390",77,"Budget",6,"Trust","Emotion"
"391",77,"County",6,"Trust","Emotion"
"392",79,"County",6,"Trust","Emotion"
"393",81,"Budget",6,"Trust","Emotion"
"394",83,"Budget",6,"Trust","Emotion"
"395",83,"County",6,"Trust","Emotion"
"396",86,"Budget",6,"Trust","Emotion"
"397",88,"Budget",6,"Trust","Emotion"
"398",90,"Community",6,"Positive","Sentiment"
"399",92,"County",6,"Trust","Emotion"
"400",102,"Bonds",6,"Negative","Sentiment"
"401",108,"Juvenile",6,"Negative","Sentiment"
"402",111,"County",6,"Trust","Emotion"
"403",114,"Debt",6,"Negative","Sentiment"
"404",114,"Debt",6,"Sadness","Emotion"
"405",119,"Budget",6,"Trust","Emotion"
"406",122,"Budget",6,"Trust","Emotion"
"407",126,"Council",6,"Anticipation","Emotion"
"408",126,"Council",6,"Positive","Sentiment"
"409",126,"Budget",6,"Trust","Emotion"
"410",126,"Council",6,"Trust","Emotion"
"411",127,"Focus",6,"Positive","Sentiment"
"412",129,"County",6,"Trust","Emotion"
"413",142,"Assistance",6,"Positive","Sentiment"
"414",151,"County",6,"Trust","Emotion"
"415",154,"Continue",6,"Anticipation","Emotion"
"416",154,"Continue",6,"Positive","Sentiment"
"417",154,"Continue",6,"Trust","Emotion"
"418",155,"Shelter",6,"Positive","Sentiment"
"419",155,"Shelter",6,"Trust","Emotion"
"420",157,"Court",6,"Anger","Emotion"
"421",157,"Court",6,"Anticipation","Emotion"
"422",157,"Court",6,"Fear","Emotion"
"423",158,"Youth",6,"Anger","Emotion"
"424",158,"Youth",6,"Anticipation","Emotion"
"425",158,"Youth",6,"Fear","Emotion"
"426",158,"Youth",6,"Joy","Emotion"
"427",158,"Youth",6,"Positive","Sentiment"
"428",158,"Youth",6,"Surprise","Emotion"
"429",162,"County",6,"Trust","Emotion"
"430",164,"Fire",6,"Fear","Emotion"
"431",165,"County",6,"Trust","Emotion"
"432",170,"Planning",6,"Anticipation","Emotion"
"433",170,"Fire",6,"Fear","Emotion"
"434",170,"Planning",6,"Positive","Sentiment"
"435",170,"County",6,"Trust","Emotion"
"436",170,"Planning",6,"Trust","Emotion"
"437",173,"Elder",6,"Positive","Sentiment"
"438",173,"Elder",6,"Trust","Emotion"
"439",187,"County",6,"Trust","Emotion"
"440",188,"County",6,"Trust","Emotion"
"441",189,"Grant",6,"Anticipation","Emotion"
"442",189,"Grant",6,"Joy","Emotion"
"443",189,"Enforcement",6,"Negative","Sentiment"
"444",189,"Grant",6,"Positive","Sentiment"
"445",189,"Grant",6,"Trust","Emotion"
"446",189,"Law",6,"Trust","Emotion"
"447",192,"Court",6,"Anger","Emotion"
"448",192,"Court",6,"Anticipation","Emotion"
"449",192,"Court",6,"Fear","Emotion"
"450",193,"Court",6,"Anger","Emotion"
"451",193,"Court",6,"Anticipation","Emotion"
"452",193,"Court",6,"Fear","Emotion"
"453",208,"Demand",6,"Anger","Emotion"
"454",208,"Demand",6,"Negative","Sentiment"
"455",217,"School",6,"Trust","Emotion"
"456",218,"Soil",6,"Disgust","Emotion"
"457",218,"Soil",6,"Negative","Sentiment"
"458",219,"Soil",6,"Disgust","Emotion"
"459",219,"Soil",6,"Negative","Sentiment"
"460",225,"Waste",6,"Disgust","Emotion"
"461",225,"Waste",6,"Negative","Sentiment"
"462",225,"School",6,"Trust","Emotion"
"463",227,"Solid",6,"Positive","Sentiment"
"464",227,"County",6,"Trust","Emotion"
"465",235,"Government",6,"Fear","Emotion"
"466",235,"Government",6,"Negative","Sentiment"
"467",235,"General",6,"Positive","Sentiment"
"468",235,"Budget",6,"Trust","Emotion"
"469",235,"General",6,"Trust","Emotion"
"470",236,"County",6,"Trust","Emotion"
"471",237,"County",6,"Trust","Emotion"
"472",242,"County",6,"Trust","Emotion"
"473",245,"Continue",6,"Anticipation","Emotion"
"474",245,"Continue",6,"Positive","Sentiment"
"475",245,"Continue",6,"Trust","Emotion"
"476",247,"County",6,"Trust","Emotion"
"477",249,"Board",6,"Anticipation","Emotion"
"478",251,"County",6,"Trust","Emotion"
"479",261,"Talent",6,"Positive","Sentiment"
"480",262,"County",6,"Trust","Emotion"
"481",263,"County",6,"Trust","Emotion"
"482",271,"County",6,"Trust","Emotion"
"483",281,"Center",6,"Positive","Sentiment"
"484",281,"Center",6,"Trust","Emotion"
"485",285,"County",6,"Trust","Emotion"
"486",286,"Recovery",6,"Positive","Sentiment"
"487",288,"Fleet",6,"Positive","Sentiment"
"488",288,"County",6,"Trust","Emotion"
"489",290,"Public",6,"Anticipation","Emotion"
"490",290,"Public",6,"Positive","Sentiment"
"491",293,"Debt",6,"Negative","Sentiment"
"492",293,"Debt",6,"Sadness","Emotion"
"493",294,"Bonds",6,"Negative","Sentiment"
"494",294,"Budget",6,"Trust","Emotion"
"495",294,"County",6,"Trust","Emotion"
"496",302,"Debt",6,"Negative","Sentiment"
"497",302,"Debt",6,"Sadness","Emotion"
"498",304,"Fire",6,"Fear","Emotion"
"499",306,"Tax",6,"Negative","Sentiment"
"500",306,"Tax",6,"Sadness","Emotion"
