"","page_number","word","sent_count","sentiment","category"
"1",88,"Director",44,"Positive","Sentiment"
"2",88,"Director",44,"Trust","Emotion"
"3",102,"Debt",28,"Negative","Sentiment"
"4",102,"Debt",28,"Sadness","Emotion"
"5",161,"Balance",25,"Positive","Sentiment"
"6",92,"Budget",23,"Trust","Emotion"
"7",354,"County",22,"Trust","Emotion"
"8",20,"County",21,"Trust","Emotion"
"9",39,"Labor",20,"Anticipation","Emotion"
"10",39,"Labor",20,"Joy","Emotion"
"11",39,"Labor",20,"Positive","Sentiment"
"12",39,"Labor",20,"Surprise","Emotion"
"13",39,"Labor",20,"Trust","Emotion"
"14",354,"Debt",20,"Negative","Sentiment"
"15",354,"Debt",20,"Sadness","Emotion"
"16",109,"Tax",19,"Negative","Sentiment"
"17",109,"Tax",19,"Sadness","Emotion"
"18",175,"County",19,"Trust","Emotion"
"19",91,"Budget",18,"Trust","Emotion"
"20",101,"Debt",18,"Negative","Sentiment"
"21",101,"Debt",18,"Sadness","Emotion"
"22",116,"Fee",18,"Anger","Emotion"
"23",116,"Fee",18,"Negative","Sentiment"
"24",443,"Library",18,"Positive","Sentiment"
"25",238,"Library",17,"Positive","Sentiment"
"26",358,"Fire",17,"Fear","Emotion"
"27",469,"Fire",17,"Fear","Emotion"
"28",52,"Budget",16,"Trust","Emotion"
"29",85,"Specialist",16,"Trust","Emotion"
"30",98,"Budget",16,"Trust","Emotion"
"31",103,"County",16,"Trust","Emotion"
"32",105,"Long",16,"Anticipation","Emotion"
"33",125,"County",16,"Trust","Emotion"
"34",289,"Child",16,"Anticipation","Emotion"
"35",289,"Child",16,"Joy","Emotion"
"36",289,"Child",16,"Positive","Sentiment"
"37",290,"Child",16,"Anticipation","Emotion"
"38",290,"Child",16,"Joy","Emotion"
"39",290,"Child",16,"Positive","Sentiment"
"40",322,"Fire",16,"Fear","Emotion"
"41",375,"Fleet",16,"Positive","Sentiment"
"42",489,"Budget",16,"Trust","Emotion"
"43",52,"Board",15,"Anticipation","Emotion"
"44",57,"Tax",15,"Negative","Sentiment"
"45",57,"Tax",15,"Sadness","Emotion"
"46",93,"Budget",15,"Trust","Emotion"
"47",98,"County",15,"Trust","Emotion"
"48",119,"Budget",15,"Trust","Emotion"
"49",444,"County",15,"Trust","Emotion"
"50",181,"Budget",14,"Trust","Emotion"
"51",387,"Debt",14,"Negative","Sentiment"
"52",387,"Debt",14,"Sadness","Emotion"
"53",419,"County",14,"Trust","Emotion"
"54",457,"County",14,"Trust","Emotion"
"55",479,"Waste",14,"Disgust","Emotion"
"56",479,"Waste",14,"Negative","Sentiment"
"57",487,"Model",14,"Positive","Sentiment"
"58",39,"Ordinance",13,"Trust","Emotion"
"59",101,"County",13,"Trust","Emotion"
"60",102,"County",13,"Trust","Emotion"
"61",106,"County",13,"Trust","Emotion"
"62",108,"Tax",13,"Negative","Sentiment"
"63",108,"Tax",13,"Sadness","Emotion"
"64",115,"Fee",13,"Anger","Emotion"
"65",115,"Fee",13,"Negative","Sentiment"
"66",128,"Tax",13,"Negative","Sentiment"
"67",128,"Tax",13,"Sadness","Emotion"
"68",161,"Debt",13,"Negative","Sentiment"
"69",161,"Debt",13,"Sadness","Emotion"
"70",170,"Board",13,"Anticipation","Emotion"
"71",336,"Detention",13,"Negative","Sentiment"
"72",336,"Detention",13,"Sadness","Emotion"
"73",345,"Risk",13,"Anticipation","Emotion"
"74",345,"Risk",13,"Fear","Emotion"
"75",345,"Risk",13,"Negative","Sentiment"
"76",353,"Debt",13,"Negative","Sentiment"
"77",353,"Debt",13,"Sadness","Emotion"
"78",355,"Debt",13,"Negative","Sentiment"
"79",355,"Debt",13,"Sadness","Emotion"
"80",10,"County",12,"Trust","Emotion"
"81",24,"Budget",12,"Trust","Emotion"
"82",33,"Budget",12,"Trust","Emotion"
"83",34,"Budget",12,"Trust","Emotion"
"84",50,"Fee",12,"Anger","Emotion"
"85",50,"Fee",12,"Negative","Sentiment"
"86",104,"Grant",12,"Anticipation","Emotion"
"87",104,"Grant",12,"Joy","Emotion"
"88",104,"Grant",12,"Positive","Sentiment"
"89",104,"Grant",12,"Trust","Emotion"
"90",125,"Debt",12,"Negative","Sentiment"
"91",125,"Debt",12,"Sadness","Emotion"
"92",174,"County",12,"Trust","Emotion"
"93",181,"Management",12,"Positive","Sentiment"
"94",181,"Management",12,"Trust","Emotion"
"95",200,"Network",12,"Anticipation","Emotion"
"96",208,"Tax",12,"Negative","Sentiment"
"97",208,"Tax",12,"Sadness","Emotion"
"98",244,"Agreed",12,"Positive","Sentiment"
"99",244,"Agreed",12,"Trust","Emotion"
"100",356,"Debt",12,"Negative","Sentiment"
"101",356,"Debt",12,"Sadness","Emotion"
"102",377,"Waste",12,"Disgust","Emotion"
"103",377,"Waste",12,"Negative","Sentiment"
"104",378,"Waste",12,"Disgust","Emotion"
"105",378,"Waste",12,"Negative","Sentiment"
"106",382,"County",12,"Trust","Emotion"
"107",389,"Budget",12,"Trust","Emotion"
"108",436,"Sewer",12,"Disgust","Emotion"
"109",454,"County",12,"Trust","Emotion"
"110",3,"Budget",11,"Trust","Emotion"
"111",21,"Population",11,"Positive","Sentiment"
"112",39,"Sheriff",11,"Trust","Emotion"
"113",49,"Fee",11,"Anger","Emotion"
"114",49,"Fee",11,"Negative","Sentiment"
"115",57,"Fire",11,"Fear","Emotion"
"116",60,"Waste",11,"Disgust","Emotion"
"117",60,"Waste",11,"Negative","Sentiment"
"118",88,"Deputy",11,"Trust","Emotion"
"119",99,"Fee",11,"Anger","Emotion"
"120",99,"Fee",11,"Negative","Sentiment"
"121",107,"Tax",11,"Negative","Sentiment"
"122",107,"Tax",11,"Sadness","Emotion"
"123",110,"Tax",11,"Negative","Sentiment"
"124",110,"Tax",11,"Sadness","Emotion"
"125",126,"Waste",11,"Disgust","Emotion"
"126",126,"Waste",11,"Negative","Sentiment"
"127",170,"County",11,"Trust","Emotion"
"128",198,"Information",11,"Positive","Sentiment"
"129",212,"Soil",11,"Disgust","Emotion"
"130",212,"Soil",11,"Negative","Sentiment"
"131",230,"Plan",11,"Anticipation","Emotion"
"132",239,"Library",11,"Positive","Sentiment"
"133",325,"System",11,"Trust","Emotion"
"134",354,"Bonds",11,"Negative","Sentiment"
"135",370,"County",11,"Trust","Emotion"
"136",386,"County",11,"Trust","Emotion"
"137",429,"Justice",11,"Positive","Sentiment"
"138",429,"Justice",11,"Trust","Emotion"
"139",457,"System",11,"Trust","Emotion"
"140",472,"Fire",11,"Fear","Emotion"
"141",479,"Solid",11,"Positive","Sentiment"
"142",21,"County",10,"Trust","Emotion"
"143",23,"Budget",10,"Trust","Emotion"
"144",29,"Budget",10,"Trust","Emotion"
"145",38,"Director",10,"Positive","Sentiment"
"146",38,"Director",10,"Trust","Emotion"
"147",44,"Tax",10,"Negative","Sentiment"
"148",44,"Tax",10,"Sadness","Emotion"
"149",52,"County",10,"Trust","Emotion"
"150",56,"Debt",10,"Negative","Sentiment"
"151",56,"Debt",10,"Sadness","Emotion"
"152",59,"Major",10,"Positive","Sentiment"
"153",60,"Solid",10,"Positive","Sentiment"
"154",68,"Fire",10,"Fear","Emotion"
"155",70,"Community",10,"Positive","Sentiment"
"156",81,"General",10,"Positive","Sentiment"
"157",81,"General",10,"Trust","Emotion"
"158",86,"Deputy",10,"Trust","Emotion"
"159",87,"Analyst",10,"Anticipation","Emotion"
"160",87,"Analyst",10,"Positive","Sentiment"
"161",87,"Analyst",10,"Trust","Emotion"
"162",103,"Debt",10,"Negative","Sentiment"
"163",103,"Debt",10,"Sadness","Emotion"
"164",105,"Board",10,"Anticipation","Emotion"
"165",105,"Growth",10,"Positive","Sentiment"
"166",112,"General",10,"Positive","Sentiment"
"167",112,"General",10,"Trust","Emotion"
"168",117,"Fee",10,"Anger","Emotion"
"169",117,"Fee",10,"Negative","Sentiment"
"170",121,"Budget",10,"Trust","Emotion"
"171",125,"Budget",10,"Trust","Emotion"
"172",182,"Budget",10,"Trust","Emotion"
"173",194,"Resources",10,"Joy","Emotion"
"174",194,"Resources",10,"Positive","Sentiment"
"175",194,"Resources",10,"Trust","Emotion"
"176",198,"County",10,"Trust","Emotion"
